MiniDOT Logger Concatenated Data File,,,,,,,
Sensor:             7450-207070,,,,,,,
Concatenation Date: 2020Aug28 16:47:51 CDT,,,,,,,
,,,,,,,
DO concentration compensated for salinity: 0.0 (ppt),,,,,,,
Saturation computed at pressure: 1013.0 (mbar),,,,,,,
,,,,,,,
            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
1594406340,           2020-07-10 18:39:00,           2020-07-10 13:39:00,3.13,25.482,3.422,41.792536,0.964
1594408140,           2020-07-10 19:09:00,           2020-07-10 14:09:00,3.13,25.541,3.201,39.1357,0.964
1594409940,           2020-07-10 19:39:00,           2020-07-10 14:39:00,3.12,25.583,2.656,32.497423,0.937
1594411740,           2020-07-10 20:09:00,           2020-07-10 15:09:00,3.12,25.676,2.965,36.339851,0.96
1594413540,           2020-07-10 20:39:00,           2020-07-10 15:39:00,3.12,25.769,3.148,38.648249,0.959
1594415340,           2020-07-10 21:09:00,           2020-07-10 16:09:00,3.12,25.87,3.303,40.625863,0.963
1594417140,           2020-07-10 21:39:00,           2020-07-10 16:39:00,3.12,25.938,2.339,28.804578,0.953
1594418940,           2020-07-10 22:09:00,           2020-07-10 17:09:00,3.12,26.005,3.523,43.4383,0.959
1594420740,           2020-07-10 22:39:00,           2020-07-10 17:39:00,3.12,26.09,3.975,49.087122,0.964
1594422540,           2020-07-10 23:09:00,           2020-07-10 18:09:00,3.12,26.14,3.909,48.315894,0.964
1594424340,           2020-07-10 23:39:00,           2020-07-10 18:39:00,3.12,26.182,2.889,35.735722,0.959
1594426140,           2020-07-11 00:09:00,           2020-07-10 19:09:00,3.12,26.199,3.211,39.730965,0.963
1594427940,           2020-07-11 00:39:00,           2020-07-10 19:39:00,3.12,26.216,0.528,6.535164,0.963
1594429740,           2020-07-11 01:09:00,           2020-07-10 20:09:00,3.12,26.25,0.895,11.084421,0.965
1594431540,           2020-07-11 01:39:00,           2020-07-10 20:39:00,3.12,26.284,1.241,15.379035,0.966
1594433340,           2020-07-11 02:09:00,           2020-07-10 21:09:00,3.11,26.292,1.486,18.417852,0.966
1594435140,           2020-07-11 02:39:00,           2020-07-10 21:39:00,3.11,26.36,1.408,17.472578,0.966
1594436940,           2020-07-11 03:09:00,           2020-07-10 22:09:00,3.11,26.36,1.545,19.17268,0.966
1594438740,           2020-07-11 03:39:00,           2020-07-10 22:39:00,3.11,26.385,1.63,20.236631,0.966
1594440540,           2020-07-11 04:09:00,           2020-07-10 23:09:00,3.11,26.411,1.769,21.972652,0.966
1594442340,           2020-07-11 04:39:00,           2020-07-10 23:39:00,3.12,26.444,1.849,22.980021,0.966
1594444140,           2020-07-11 05:09:00,           2020-07-11 00:09:00,3.12,26.47,1.859,23.115153,0.966
1594445940,           2020-07-11 05:39:00,           2020-07-11 00:39:00,3.12,26.537,1.892,23.55394,0.966
1594447740,           2020-07-11 06:09:00,           2020-07-11 01:09:00,3.12,26.546,1.855,23.097068,0.966
1594449540,           2020-07-11 06:39:00,           2020-07-11 01:39:00,3.12,26.58,1.927,24.00827,0.966
1594451340,           2020-07-11 07:09:00,           2020-07-11 02:09:00,3.12,26.546,1.964,24.454254,0.966
1594453140,           2020-07-11 07:39:00,           2020-07-11 02:39:00,3.12,26.487,2.036,25.323774,0.966
1594454940,           2020-07-11 08:09:00,           2020-07-11 03:09:00,3.11,26.385,2.12,26.320035,0.966
1594456740,           2020-07-11 08:39:00,           2020-07-11 03:39:00,3.11,26.343,2.141,26.560577,0.966
1594458540,           2020-07-11 09:09:00,           2020-07-11 04:09:00,3.11,26.242,2.092,25.905308,0.966
1594460340,           2020-07-11 09:39:00,           2020-07-11 04:39:00,3.11,26.115,2.043,25.240374,0.966
1594462140,           2020-07-11 10:09:00,           2020-07-11 05:09:00,3.12,26.014,1.948,24.022607,0.966
1594463940,           2020-07-11 10:39:00,           2020-07-11 05:39:00,3.12,25.887,1.85,22.76146,0.966
1594465740,           2020-07-11 11:09:00,           2020-07-11 06:09:00,3.12,25.803,1.757,21.584199,0.966
1594467540,           2020-07-11 11:39:00,           2020-07-11 06:39:00,3.12,25.668,1.675,20.526261,0.966
1594469340,           2020-07-11 12:09:00,           2020-07-11 07:09:00,3.12,25.583,1.579,19.319816,0.967
1594471140,           2020-07-11 12:39:00,           2020-07-11 07:39:00,3.12,25.541,1.445,17.666694,0.966
1594472940,           2020-07-11 13:09:00,           2020-07-11 08:09:00,3.12,25.575,1.348,16.49101,0.966
