MiniDOT Logger Concatenated Data File
Sensor:             7450-203238
Concatenation Date: 2020May29 09:58:42 CDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at pressure: 1013.0 (mbar)

            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1589048400,           2020-05-09 18:20:00,           2020-05-09 13:20:00,      3.160000,     15.516000,         11.699000,                   117.340983,      0.967000
                1589050200,           2020-05-09 18:50:00,           2020-05-09 13:50:00,      3.170000,     15.721000,         11.804000,                   118.913698,      0.968000
                1589052000,           2020-05-09 19:20:00,           2020-05-09 14:20:00,      3.170000,     15.909000,         11.879000,                   120.149162,      0.968000
                1589053800,           2020-05-09 19:50:00,           2020-05-09 14:50:00,      3.170000,     16.122000,         12.649000,                   128.516739,      0.969000
                1589055600,           2020-05-09 20:20:00,           2020-05-09 15:20:00,      3.160000,     16.276000,         12.372000,                   126.112465,      0.968000
                1589057400,           2020-05-09 20:50:00,           2020-05-09 15:50:00,      3.160000,     16.582000,         12.792000,                   131.237060,      0.969000
                1589059200,           2020-05-09 21:20:00,           2020-05-09 16:20:00,      3.160000,     16.794000,         12.671000,                   130.575088,      0.969000
                1589061000,           2020-05-09 21:50:00,           2020-05-09 16:50:00,      3.160000,     16.760000,         12.423000,                   127.928301,      0.968000
                1589062800,           2020-05-09 22:20:00,           2020-05-09 17:20:00,      3.170000,     16.879000,         12.923000,                   133.409032,      0.968000
                1589064600,           2020-05-09 22:50:00,           2020-05-09 17:50:00,      3.170000,     16.887000,         12.427000,                   128.310097,      0.968000
                1589066400,           2020-05-09 23:20:00,           2020-05-09 18:20:00,      3.160000,     16.607000,         12.569000,                   129.016984,      0.969000
                1589068200,           2020-05-09 23:50:00,           2020-05-09 18:50:00,      3.160000,     16.335000,         12.501000,                   127.586240,      0.969000
                1589070000,           2020-05-10 00:20:00,           2020-05-09 19:20:00,      3.160000,     16.097000,         12.417000,                   126.092773,      0.969000
                1589071800,           2020-05-10 00:50:00,           2020-05-09 19:50:00,      3.170000,     15.909000,         12.272000,                   124.124128,      0.969000
                1589073600,           2020-05-10 01:20:00,           2020-05-09 20:20:00,      3.170000,     15.772000,         12.246000,                   123.500585,      0.969000
                1589075400,           2020-05-10 01:50:00,           2020-05-09 20:50:00,      3.160000,     15.678000,         12.203000,                   122.820525,      0.968000
                1589077200,           2020-05-10 02:20:00,           2020-05-09 21:20:00,      3.160000,     15.584000,         12.157000,                   122.112168,      0.968000
                1589079000,           2020-05-10 02:50:00,           2020-05-09 21:50:00,      3.160000,     15.516000,         12.102000,                   121.383073,      0.969000
                1589080800,           2020-05-10 03:20:00,           2020-05-09 22:20:00,      3.160000,     15.439000,         12.035000,                   120.512212,      0.968000
                1589082600,           2020-05-10 03:50:00,           2020-05-09 22:50:00,      3.160000,     15.310000,         11.890000,                   118.731280,      0.968000
                1589084400,           2020-05-10 04:20:00,           2020-05-09 23:20:00,      3.170000,     15.147000,         11.819000,                   117.609349,      0.968000
                1589086200,           2020-05-10 04:50:00,           2020-05-09 23:50:00,      3.170000,     15.104000,         11.982000,                   119.120954,      0.968000
                1589088000,           2020-05-10 05:20:00,           2020-05-10 00:20:00,      3.170000,     14.975000,         11.979000,                   118.760176,      0.969000
                1589089800,           2020-05-10 05:50:00,           2020-05-10 00:50:00,      3.170000,     14.889000,         12.029000,                   119.034428,      0.969000
                1589091600,           2020-05-10 06:20:00,           2020-05-10 01:20:00,      3.170000,     14.794000,         11.883000,                   117.348108,      0.968000
                1589093400,           2020-05-10 06:50:00,           2020-05-10 01:50:00,      3.170000,     14.700000,         11.797000,                   116.261647,      0.968000
                1589095200,           2020-05-10 07:20:00,           2020-05-10 02:20:00,      3.170000,     14.605000,         11.631000,                   114.389450,      0.968000
                1589097000,           2020-05-10 07:50:00,           2020-05-10 02:50:00,      3.160000,     14.501000,         11.530000,                   113.139872,      0.968000
                1589098800,           2020-05-10 08:20:00,           2020-05-10 03:20:00,      3.160000,     14.432000,         11.393000,                   111.627608,      0.968000
                1589100600,           2020-05-10 08:50:00,           2020-05-10 03:50:00,      3.160000,     14.302000,         11.274000,                   110.148713,      0.968000
                1589102400,           2020-05-10 09:20:00,           2020-05-10 04:20:00,      3.170000,     14.094000,         11.123000,                   108.179797,      0.966000
                1589104200,           2020-05-10 09:50:00,           2020-05-10 04:50:00,      3.170000,     13.990000,         11.024000,                   106.972505,      0.968000
                1589106000,           2020-05-10 10:20:00,           2020-05-10 05:20:00,      3.170000,     13.825000,         10.905000,                   105.434389,      0.967000
                1589107800,           2020-05-10 10:50:00,           2020-05-10 05:50:00,      3.170000,     13.668000,         10.814000,                   104.193075,      0.967000
                1589109600,           2020-05-10 11:20:00,           2020-05-10 06:20:00,      3.170000,     13.529000,         10.712000,                   102.893501,      0.967000
                1589111400,           2020-05-10 11:50:00,           2020-05-10 06:50:00,      3.170000,     13.441000,         10.656000,                   102.156186,      0.967000
                1589113200,           2020-05-10 12:20:00,           2020-05-10 07:20:00,      3.160000,     13.328000,         10.620000,                   101.555989,      0.967000
                1589115000,           2020-05-10 12:50:00,           2020-05-10 07:50:00,      3.170000,     13.223000,         10.607000,                   101.195070,      0.967000
                1589116800,           2020-05-10 13:20:00,           2020-05-10 08:20:00,      3.170000,     13.179000,         10.605000,                   101.076894,      0.966000
                1589118600,           2020-05-10 13:50:00,           2020-05-10 08:50:00,      3.170000,     13.100000,         10.638000,                   101.212999,      0.966000
                1589120400,           2020-05-10 14:20:00,           2020-05-10 09:20:00,      3.170000,     13.126000,         10.694000,                   101.804821,      0.966000
                1589122200,           2020-05-10 14:50:00,           2020-05-10 09:50:00,      3.170000,     13.205000,         10.765000,                   102.661301,      0.967000
                1589124000,           2020-05-10 15:20:00,           2020-05-10 10:20:00,      3.160000,     13.345000,         10.928000,                   104.540782,      0.966000
                1589125800,           2020-05-10 15:50:00,           2020-05-10 10:50:00,      3.160000,     13.363000,         11.031000,                   105.568311,      0.966000
                1589127600,           2020-05-10 16:20:00,           2020-05-10 11:20:00,      3.160000,     13.371000,         11.138000,                   106.611254,      0.967000
                1589129400,           2020-05-10 16:50:00,           2020-05-10 11:50:00,      3.160000,     13.310000,         11.197000,                   107.030847,      0.966000
                1589131200,           2020-05-10 17:20:00,           2020-05-10 12:20:00,      3.160000,     13.258000,         11.272000,                   107.623237,      0.967000
                1589133000,           2020-05-10 17:50:00,           2020-05-10 12:50:00,      3.160000,     13.275000,         11.397000,                   108.857875,      0.967000
