pond_id,treatment,date,doy,week,period,ch4_flux,co2_flux,n2o_flux,ch4_lake,co2_lake,n2o_lake,GPP,R,NEP,flag,tn,tp,nox,srp,temp,do_sat,do,ph,chla,cond,sp_cond,phyco,salinity,bottom_temp,bottom_do_sat,bottom_do,bottom_ph,bottom_chla,bottom_cond,bottom_sp_cond,bottom_phyco,bottom_salinity,wind_speed,wind_U10,methanogenesis,DEA,sonde_zmix,sonde_strat,ch4_ebu_flux
A,pulsed,2020-05-24,145,1,BASE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.53317901347222,168.24722222222223,16.05625,8.975833333333334,9.85138888888889,280.60555555555555,327.2861111111111,0.35388888888888886,0.15527777777777776,14.89930555375,29.268749999999997,2.9528125,7.574375,21.7965625,382.515625,473.89375,0.95,0.22875,0.5549999999999999,0.6326180159814161,NA,NA,1.6,mixed,NA
A,pulsed,2020-05-25,146,1,BASE,4.15363097994475,-7.91962160161188,0.00244061683138251,8.61351165153571,0.769426197144035,0.0120362838203639,6.228130582,-2.500637367,3.727493215,NA,0.427385,33.95,0.03,3.9,18.587606837307693,178.2923076923077,16.61423076923077,8.76596153846154,9.708076923076923,272.4,310.4384615384615,0.01730769230769231,0.14711538461538462,14.756944442916666,42.44333333333333,4.293916666666666,7.319000000000001,17.6325,451.84416666666664,561.7475,1.2633333333333334,0.2735,0.29354166666666665,0.3345941383325133,0.00597073364614077,1.9562079257936e-4,1.9,mixed,NA
A,pulsed,2020-05-26,147,1,BASE,NA,NA,NA,NA,NA,NA,0.337826879,-0.234182163,0.103644717,NA,NA,NA,NA,NA,19.661904761142857,144.78857142857143,13.226285714285714,8.67142857142857,9.042,241.56285714285715,269.1514285714286,-0.05171428571428572,0.126,16.039351851666666,59.9625,5.9025,7.4470833333333335,27.196666666666665,349.58333333333337,421.725,0.19208333333333333,0.20500000000000002,0.51375,0.5855991093882028,NA,NA,1.6,mixed,NA
A,pulsed,2020-05-27,148,1,BASE,1.99024009034264,-7.89358460618118,0.00138862426695566,4.04268521736959,0.788675913692996,0.0107208055204909,NA,NA,NA,NA,0.0483,31.5,0.043632,3.9,20.172705313804347,163.85,14.829673913043479,8.781630434782608,7.6070652173913045,262.5108695652174,289.5869565217391,-0.09217391304347826,0.13858695652173914,15.23530595865942,34.15760869565217,3.4204710144927537,7.194202898550724,169.37728260869565,405.49746376811595,498.47644927536237,0.6310507246376812,0.24282608695652175,0.17729166666666668,0.20208631066073016,NA,NA,1.6,mixed,NA
A,pulsed,2020-05-28,149,1,BASE,NA,NA,NA,NA,NA,NA,3.264406914,-3.94107066,-0.676663746,NA,NA,NA,NA,NA,20.933489827042255,139.1169014084507,12.41943661971831,8.56323943661972,8.734225352112675,249.9943661971831,271.3816901408451,-0.07859154929577465,0.12943661971830986,15.126543212222222,40.06944444444444,4.017777777777778,6.944722222222222,88.93333333333334,442.20416666666665,544.9152777777779,0.9561111111111111,0.265,1.0485416666666667,1.1951826105234487,NA,NA,1.39837495033793,stratified,NA
A,pulsed,2020-05-29,150,1,BASE,2.19281408533618,-8.89171422014885,0.00177491620500098,3.78325774441806,0.807318518591426,0.0109905834085966,NA,NA,NA,NA,0.069543,40.5,0.051769,3.9,20.37646198657895,159.56315789473683,14.388684210526316,8.786052631578947,5.0575,248.8921052631579,272.99078947368423,-0.11157894736842106,0.13,15.40833333275,44.060625,4.39475,6.968624999999999,41.323375,429.405,525.82875,1.2636249999999998,0.2558125,0.954375,1.0878465207248,NA,NA,1.3683595858354078,stratified,NA
A,pulsed,2020-05-30,151,1,BASE,NA,NA,NA,NA,NA,NA,2.800101933,-8.174198648,-5.374096715,NA,NA,NA,NA,NA,20.70495495364865,167.54594594594596,15.01,8.92662162162162,8.169054054054055,259.7891891891892,282.9662162162162,0.0058108108108108104,0.13054054054054054,16.1510416665625,36.59583333333333,3.5896875,7.043333333333333,28.263437500000002,455.76458333333335,548.3520833333333,0.9614583333333333,0.26593750000000005,0.4510416666666667,0.5141208725975097,NA,NA,1.350835363802021,stratified,NA
A,pulsed,2020-05-31,152,2,BASE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.74054373595745,160.8712765957447,14.40468085106383,8.727553191489362,5.568297872340425,256.918085106383,279.6914893617021,-0.07542553191489362,0.13106382978723405,15.83012820423077,47.13461538461539,4.657884615384615,6.8713461538461535,42.86307692307692,461.27307692307693,559.1288461538462,1.6119230769230768,0.2709615384615385,0.6295833333333334,0.7176319986095494,NA,NA,1.2567316238043649,stratified,NA
A,pulsed,2020-06-01,153,2,BASE,5.96256915568138,-10.4659130164943,8.972973025177e-4,9.07721660029951,0.604059844877569,0.00878385528587994,2.129394439,-0.482393178,1.647001261,NA,0.19521,234.45,0.03,3.9,19.919753084444444,149.14444444444445,13.573055555555555,8.760833333333332,3.865277777777778,252.94444444444446,280.1388888888889,-0.23083333333333333,0.13,17.519360269141416,81.0060606060606,7.7260606060606065,7.095757575757576,51.93681818181818,404.73383838383836,472.2353535353535,0.6024747474747475,0.22883838383838384,1.5616666666666668,1.7800693122359967,0.00771465407340203,1.6459372490838e-4,1.3496232853904924,stratified,NA
A,pulsed,2020-06-02,154,2,BASE,NA,NA,NA,NA,NA,NA,1.955577526,-1.072053473,0.883524052,NA,NA,NA,NA,NA,21.9488888886,136.102,11.9016,8.4294,2.0622,260.058,276.144,-0.1968,0.13,17.412927351153847,90.46538461538461,8.642519230769231,6.750615384615385,85.0855,434.0592307692308,507.7990384615385,1.9689999999999999,0.2455,1.4364583333333334,1.6373503078798288,NA,NA,1.5,mixed,NA
