MiniDOT Logger Concatenated Data File
Sensor:             7450-375572
Concatenation Date: 2020May29 10:16:11 CDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at pressure: 1013.0 (mbar)

            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1589051400,           2020-05-09 19:10:00,           2020-05-09 14:10:00,      3.170000,     15.731000,         14.198000,                   143.061393,      0.962000
                1589053200,           2020-05-09 19:40:00,           2020-05-09 14:40:00,      3.170000,     16.021000,         14.057000,                   142.516908,      0.961000
                1589055000,           2020-05-09 20:10:00,           2020-05-09 15:10:00,      3.170000,     16.328000,         13.696000,                   139.761861,      0.961000
                1589056800,           2020-05-09 20:40:00,           2020-05-09 15:40:00,      3.160000,     16.557000,         13.819000,                   141.698889,      0.961000
                1589058600,           2020-05-09 21:10:00,           2020-05-09 16:10:00,      3.160000,     16.540000,         13.971000,                   143.206286,      0.961000
                1589060400,           2020-05-09 21:40:00,           2020-05-09 16:40:00,      3.160000,     16.642000,         14.157000,                   145.424170,      0.960000
                1589062200,           2020-05-09 22:10:00,           2020-05-09 17:10:00,      3.170000,     16.829000,         14.570000,                   150.254397,      0.961000
                1589064000,           2020-05-09 22:40:00,           2020-05-09 17:40:00,      3.160000,     16.702000,         14.506000,                   149.196901,      0.961000
                1589065800,           2020-05-09 23:10:00,           2020-05-09 18:10:00,      3.160000,     16.625000,         15.161000,                   155.681924,      0.961000
                1589067600,           2020-05-09 23:40:00,           2020-05-09 18:40:00,      3.160000,     16.498000,         14.857000,                   152.153515,      0.960000
                1589069400,           2020-05-10 00:10:00,           2020-05-09 19:10:00,      3.170000,     16.379000,         14.853000,                   151.731712,      0.961000
                1589071200,           2020-05-10 00:40:00,           2020-05-09 19:40:00,      3.170000,     16.226000,         14.635000,                   149.022535,      0.960000
                1589073000,           2020-05-10 01:10:00,           2020-05-09 20:10:00,      3.170000,     16.124000,         14.606000,                   148.406593,      0.960000
                1589074800,           2020-05-10 01:40:00,           2020-05-09 20:40:00,      3.170000,     16.021000,         14.344000,                   145.426658,      0.961000
                1589076600,           2020-05-10 02:10:00,           2020-05-09 21:10:00,      3.170000,     15.928000,         14.138000,                   143.055382,      0.961000
                1589078400,           2020-05-10 02:40:00,           2020-05-09 21:40:00,      3.170000,     15.834000,         14.017000,                   141.547818,      0.960000
                1589080200,           2020-05-10 03:10:00,           2020-05-09 22:10:00,      3.170000,     15.748000,         13.957000,                   140.684009,      0.961000
                1589082000,           2020-05-10 03:40:00,           2020-05-09 22:40:00,      3.160000,     15.629000,         13.863000,                   139.382189,      0.961000
                1589083800,           2020-05-10 04:10:00,           2020-05-09 23:10:00,      3.160000,     15.517000,         13.680000,                   137.213351,      0.960000
                1589085600,           2020-05-10 04:40:00,           2020-05-09 23:40:00,      3.170000,     15.406000,         13.472000,                   134.806206,      0.960000
                1589087400,           2020-05-10 05:10:00,           2020-05-10 00:10:00,      3.170000,     15.269000,         13.191000,                   131.606862,      0.959000
                1589089200,           2020-05-10 05:40:00,           2020-05-10 00:40:00,      3.170000,     15.132000,         13.067000,                   129.986039,      0.960000
                1589091000,           2020-05-10 06:10:00,           2020-05-10 01:10:00,      3.170000,     14.977000,         12.859000,                   127.490030,      0.960000
                1589092800,           2020-05-10 06:40:00,           2020-05-10 01:40:00,      3.170000,     14.865000,         12.617000,                   124.788248,      0.959000
                1589094600,           2020-05-10 07:10:00,           2020-05-10 02:10:00,      3.170000,     14.736000,         12.411000,                   122.408285,      0.958000
                1589096400,           2020-05-10 07:40:00,           2020-05-10 02:40:00,      3.170000,     14.615000,         12.241000,                   120.414891,      0.959000
                1589098200,           2020-05-10 08:10:00,           2020-05-10 03:10:00,      3.170000,     14.511000,         12.053000,                   118.297640,      0.959000
                1589100000,           2020-05-10 08:40:00,           2020-05-10 03:40:00,      3.170000,     14.373000,         11.807000,                   115.535177,      0.959000
                1589101800,           2020-05-10 09:10:00,           2020-05-10 04:10:00,      3.170000,     14.226000,         11.519000,                   112.355561,      0.959000
                1589103600,           2020-05-10 09:40:00,           2020-05-10 04:40:00,      3.170000,     14.009000,         11.332000,                   110.007111,      0.959000
                1589105400,           2020-05-10 10:10:00,           2020-05-10 05:10:00,      3.170000,     13.818000,         11.147000,                   107.757533,      0.958000
                1589107200,           2020-05-10 10:40:00,           2020-05-10 05:40:00,      3.170000,     13.670000,         10.974000,                   105.739349,      0.959000
                1589109000,           2020-05-10 11:10:00,           2020-05-10 06:10:00,      3.170000,     13.487000,         10.823000,                   103.863030,      0.959000
                1589110800,           2020-05-10 11:40:00,           2020-05-10 06:40:00,      3.170000,     13.330000,         10.707000,                   102.392495,      0.958000
                1589112600,           2020-05-10 12:10:00,           2020-05-10 07:10:00,      3.170000,     13.207000,         10.611000,                   101.197174,      0.958000
                1589114400,           2020-05-10 12:40:00,           2020-05-10 07:40:00,      3.170000,     13.146000,         10.580000,                   100.764486,      0.958000
                1589116200,           2020-05-10 13:10:00,           2020-05-10 08:10:00,      3.170000,     13.041000,         10.616000,                   100.870753,      0.958000
                1589118000,           2020-05-10 13:40:00,           2020-05-10 08:40:00,      3.170000,     13.050000,         10.685000,                   101.546782,      0.958000
                1589119800,           2020-05-10 14:10:00,           2020-05-10 09:10:00,      3.170000,     13.050000,         10.850000,                   103.114889,      0.959000
                1589121600,           2020-05-10 14:40:00,           2020-05-10 09:40:00,      3.170000,     13.146000,         10.986000,                   104.631252,      0.958000
                1589123400,           2020-05-10 15:10:00,           2020-05-10 10:10:00,      3.170000,     13.295000,         11.388000,                   108.820300,      0.958000
                1589125200,           2020-05-10 15:40:00,           2020-05-10 10:40:00,      3.170000,     13.461000,         11.802000,                   113.192764,      0.958000
                1589127000,           2020-05-10 16:10:00,           2020-05-10 11:10:00,      3.170000,     13.478000,         11.964000,                   114.789751,      0.959000
                1589128800,           2020-05-10 16:40:00,           2020-05-10 11:40:00,      3.170000,     13.574000,         12.546000,                   120.629978,      0.959000
                1589130600,           2020-05-10 17:10:00,           2020-05-10 12:10:00,      3.170000,     13.531000,         12.419000,                   119.295275,      0.958000
                1589132400,           2020-05-10 17:40:00,           2020-05-10 12:40:00,      3.170000,     13.426000,         12.313000,                   118.002130,      0.959000
                1589134200,           2020-05-10 18:10:00,           2020-05-10 13:10:00,      3.170000,     13.400000,         12.404000,                   118.805674,      0.958000
                1589136000,           2020-05-10 18:40:00,           2020-05-10 13:40:00,      3.170000,     13.347000,         12.373000,                   118.369378,      0.959000
                1589137800,           2020-05-10 19:10:00,           2020-05-10 14:10:00,      3.170000,     13.356000,         12.556000,                   120.144108,      0.959000
                1589139600,           2020-05-10 19:40:00,           2020-05-10 14:40:00,      3.170000,     13.347000,         12.736000,                   121.842107,      0.960000
                1589141400,           2020-05-10 20:10:00,           2020-05-10 15:10:00,      3.170000,     13.513000,         12.922000,                   124.077555,      0.959000
                1589143200,           2020-05-10 20:40:00,           2020-05-10 15:40:00,      3.170000,     13.505000,         12.905000,                   123.892364,      0.959000
                1589145000,           2020-05-10 21:10:00,           2020-05-10 16:10:00,      3.170000,     13.566000,         12.955000,                   124.540471,      0.958000
                1589146800,           2020-05-10 21:40:00,           2020-05-10 16:40:00,      3.170000,     13.679000,         13.128000,                   126.519241,      0.960000
                1589148600,           2020-05-10 22:10:00,           2020-05-10 17:10:00,      3.170000,     13.601000,         13.201000,                   127.003644,      0.958000
                1589150400,           2020-05-10 22:40:00,           2020-05-10 17:40:00,      3.170000,     13.531000,         13.251000,                   127.287357,      0.959000
                1589152200,           2020-05-10 23:10:00,           2020-05-10 18:10:00,      3.170000,     13.356000,         13.214000,                   126.440287,      0.959000
                1589154000,           2020-05-10 23:40:00,           2020-05-10 18:40:00,      3.170000,     13.286000,         13.120000,                   125.345684,      0.959000
                1589155800,           2020-05-11 00:10:00,           2020-05-10 19:10:00,      3.170000,     13.164000,         13.043000,                   124.272077,      0.959000
                1589157600,           2020-05-11 00:40:00,           2020-05-10 19:40:00,      3.170000,     13.050000,         12.932000,                   122.901543,      0.959000
                1589159400,           2020-05-11 01:10:00,           2020-05-10 20:10:00,      3.170000,     12.936000,         12.865000,                   121.953649,      0.959000
                1589161200,           2020-05-11 01:40:00,           2020-05-10 20:40:00,      3.170000,     12.830000,         12.727000,                   120.359422,      0.958000
                1589163000,           2020-05-11 02:10:00,           2020-05-10 21:10:00,      3.170000,     12.733000,         12.665000,                   119.512722,      0.959000
                1589164800,           2020-05-11 02:40:00,           2020-05-10 21:40:00,      3.170000,     12.645000,         12.502000,                   117.741517,      0.958000
                1589166600,           2020-05-11 03:10:00,           2020-05-10 22:10:00,      3.170000,     12.575000,         12.481000,                   117.358735,      0.959000
                1589168400,           2020-05-11 03:40:00,           2020-05-10 22:40:00,      3.170000,     12.513000,         12.445000,                   116.856889,      0.959000
                1589170200,           2020-05-11 04:10:00,           2020-05-10 23:10:00,      3.170000,     12.416000,         12.296000,                   115.205412,      0.958000
                1589172000,           2020-05-11 04:40:00,           2020-05-10 23:40:00,      3.170000,     12.354000,         12.271000,                   114.810251,      0.958000
