sample_id,pond_id,week,date,vol_water,vol_air,notes
E20A146,A,1,5/25/2020,40,20,
E20B146,B,1,5/25/2020,40,20,
E20C146,C,1,5/25/2020,40,20,
E20D146,D,1,5/25/2020,40,20,
E20E146,E,1,5/25/2020,40,20,
E20F146,F,1,5/25/2020,40,20,
E20Y146,Y,1,5/25/2020,40,20,
E20A148,A,1,5/27/2020,40,20,
E20B148,B,1,5/27/2020,40,20,
E20C148,C,1,5/27/2020,40,20,
E20D148,D,1,5/27/2020,40,20,
E20E148,E,1,5/27/2020,40,20,
E20F148,F,1,5/27/2020,40,20,
E20Y148,Y,1,5/27/2020,40,20,
E20A150,A,1,5/29/2020,40,20,
E20B150,B,1,5/29/2020,40,20,
E20C150,C,1,5/29/2020,40,20,
E20D150,D,1,5/29/2020,40,20,
E20E150,E,1,5/29/2020,40,20,
E20F150,F,1,5/29/2020,40,20,
E20Y150,Y,1,5/29/2020,40,20,
E20A153,A,2,6/1/2020,40,20,
E20B153,B,2,6/1/2020,40,20,
E20C153,C,2,6/1/2020,40,20,
E20D153,D,2,6/1/2020,40,20,
E20E153,E,2,6/1/2020,40,20,
E20F153,F,2,6/1/2020,40,20,
E20Y153,Y,2,6/1/2020,40,20,
E20A155,A,2,6/3/2020,40,20,
E20B155,B,2,6/3/2020,40,20,
E20C155,C,2,6/3/2020,40,20,
E20D155,D,2,6/3/2020,40,20,
E20E155,E,2,6/3/2020,40,20,
E20F155,F,2,6/3/2020,40,20,
E20Y155,Y,2,6/3/2020,40,20,
E20A157,A,2,6/5/2020,40,20,
E20B157,B,2,6/5/2020,40,20,
E20C157,C,2,6/5/2020,40,20,
E20D157,D,2,6/5/2020,40,20,
E20E157,E,2,6/5/2020,40,20,
E20F157,F,2,6/5/2020,40,20,
E20Y157,Y,2,6/5/2020,40,20,
E20A160,A,3,6/8/2020,40,20,
E20B160,B,3,6/8/2020,40,20,
E20C160,C,3,6/8/2020,40,20,
E20D160,D,3,6/8/2020,40,20,
E20E160,E,3,6/8/2020,40,20,
E20F160,F,3,6/8/2020,40,20,
E20Y160,Y,3,6/8/2020,40,20,
E20A162,A,3,6/10/2020,40,20,
E20B162,B,3,6/10/2020,40,20,
E20C162,C,3,6/10/2020,40,20,
