Plot Title: 2020_Hort-Farm,,,,
#,"Date Time, GMT-05:00","Wind Speed, m/s (LGR S/N: 20849581, SEN S/N: 20843154)","Gust Speed, m/s (LGR S/N: 20849581, SEN S/N: 20843154)","PAR, µmol/m²/s (LGR S/N: 20849581, SEN S/N: 20856725)"
1,5/23/2020 18:00,1.01,5.03,836.2
2,5/23/2020 18:30,1.51,4.53,611.2
3,5/23/2020 19:00,1.01,3.52,441.2
4,5/23/2020 19:30,0.5,3.02,263.7
5,5/23/2020 20:00,0,2.01,71.2
6,5/23/2020 20:30,0,1.51,13.7
7,5/23/2020 21:00,0,0,1.2
8,5/23/2020 21:30,0,0.5,1.2
9,5/23/2020 22:00,0,0,1.2
10,5/23/2020 22:30,0,0,1.2
11,5/23/2020 23:00,0,0,1.2
12,5/23/2020 23:30,0,0,1.2
13,5/24/2020 0:00,0,0,1.2
14,5/24/2020 0:30,0,0,1.2
15,5/24/2020 1:00,0,0,1.2
16,5/24/2020 1:30,0,0.5,1.2
17,5/24/2020 2:00,0,0,1.2
18,5/24/2020 2:30,0,0,1.2
19,5/24/2020 3:00,0,0,1.2
20,5/24/2020 3:30,0,0,1.2
21,5/24/2020 4:00,0,0,1.2
22,5/24/2020 4:30,0,1.51,1.2
23,5/24/2020 5:00,0,2.01,1.2
24,5/24/2020 5:30,0,2.52,1.2
25,5/24/2020 6:00,0,2.01,21.2
26,5/24/2020 6:30,0.5,3.02,61.2
27,5/24/2020 7:00,0.5,3.52,56.2
28,5/24/2020 7:30,0.5,3.02,98.7
29,5/24/2020 8:00,0,2.01,66.2
30,5/24/2020 8:30,1.51,8.56,6.2
31,5/24/2020 9:00,2.01,6.04,36.2
32,5/24/2020 9:30,1.01,4.03,93.7
33,5/24/2020 10:00,0.5,3.02,253.7
34,5/24/2020 10:30,0,2.01,411.2
35,5/24/2020 11:00,0.5,3.02,376.2
36,5/24/2020 11:30,0.5,3.02,281.2
37,5/24/2020 12:00,0,3.52,558.7
38,5/24/2020 12:30,1.51,4.53,373.7
39,5/24/2020 13:00,1.51,5.54,963.7
