"Plot Title: 4_PondF_Deep_1.5m"
"#","Date Time, GMT-05:00","Abs Pres, psi (LGR S/N: 830343, SEN S/N: 830343)","Temp, °F (LGR S/N: 830343, SEN S/N: 830343)","Coupler Detached (LGR S/N: 830343)","Coupler Attached (LGR S/N: 830343)","Host Connected (LGR S/N: 830343)","Stopped (LGR S/N: 830343)","End Of File (LGR S/N: 830343)"
1,05/09/20 08:00:00 PM,16.5362,59.680,Logged,,,,
2,05/09/20 08:30:00 PM,16.5362,59.680,,,,,
3,05/09/20 09:00:00 PM,16.5385,59.680,,,,,
4,05/09/20 09:30:00 PM,16.5362,59.680,,,,,
5,05/09/20 10:00:00 PM,16.5385,59.680,,,,,
6,05/09/20 10:30:00 PM,16.5456,59.680,,,,,
7,05/09/20 11:00:00 PM,16.5456,59.680,,,,,
8,05/09/20 11:30:00 PM,16.5385,59.680,,,,,
9,05/10/20 12:00:00 AM,16.5379,59.508,,,,,
10,05/10/20 12:30:00 AM,16.5398,59.337,,,,,
11,05/10/20 01:00:00 AM,16.5369,59.164,,,,,
12,05/10/20 01:30:00 AM,16.5363,58.993,,,,,
13,05/10/20 02:00:00 AM,16.5263,58.820,,,,,
14,05/10/20 02:30:00 AM,16.5257,58.647,,,,,
15,05/10/20 03:00:00 AM,16.5252,58.476,,,,,
16,05/10/20 03:30:00 AM,16.5317,58.303,,,,,
17,05/10/20 04:00:00 AM,16.5430,58.131,,,,,
18,05/10/20 04:30:00 AM,16.5442,57.785,,,,,
19,05/10/20 05:00:00 AM,16.5555,57.614,,,,,
20,05/10/20 05:30:00 AM,16.5656,57.096,,,,,
21,05/10/20 06:00:00 AM,16.5697,56.923,,,,,
22,05/10/20 06:30:00 AM,16.5762,56.750,,,,,
23,05/10/20 07:00:00 AM,16.5875,56.577,,,,,
24,05/10/20 07:30:00 AM,16.5841,56.230,,,,,
25,05/10/20 08:00:00 AM,16.5912,56.230,,,,,
26,05/10/20 08:30:00 AM,16.5912,56.230,,,,,
27,05/10/20 09:00:00 AM,16.6023,56.057,,,,,
28,05/10/20 09:30:00 AM,16.6094,56.057,,,,,
29,05/10/20 10:00:00 AM,16.6083,56.404,,,,,
30,05/10/20 10:30:00 AM,16.6154,56.404,,,,,
31,05/10/20 11:00:00 AM,16.6158,56.577,,,,,
32,05/10/20 11:30:00 AM,16.6277,56.577,,,,,
33,05/10/20 12:00:00 PM,16.6342,56.404,,,,,
34,05/10/20 12:30:00 PM,16.6413,56.404,,,,,
35,05/10/20 01:00:00 PM,16.6408,56.230,,,,,
36,05/10/20 01:30:00 PM,16.6431,56.230,,,,,
37,05/10/20 02:00:00 PM,16.6455,56.230,,,,,
38,05/10/20 02:30:00 PM,16.6525,56.230,,,,,
39,05/10/20 03:00:00 PM,16.6479,56.230,,,,,
40,05/10/20 03:30:00 PM,16.6508,56.404,,,,,
