location,site_id,date,sample_type,water_column,replicate,methane,carbon_dioxide,nitrous_oxide
ISU Hort Farm,Pond A,7/21/2019,atmosphere,atmosphere,a,1.760686305,438.9611047,1.066285967
ISU Hort Farm,Pond F,7/21/2019,atmosphere,atmosphere,a,3.568127399,446.5070089,1.05898278
ISU Hort Farm,Pond A,7/21/2019,water,surface,a,122.3194789,99.82220491,0.904842843
ISU Hort Farm,Pond A,7/21/2019,water,surface,b,125.4785808,44.59842653,0.912638503
ISU Hort Farm,Pond B,7/21/2019,water,surface,a,92.98530256,100.0336514,0.953963339
ISU Hort Farm,Pond B,7/21/2019,water,surface,b,89.70315324,91.27897527,0.954780963
ISU Hort Farm,Pond C,7/21/2019,water,surface,a,88.26777766,24.83938779,0.991760319
ISU Hort Farm,Pond C,7/21/2019,water,surface,b,87.68336905,19.41892201,0.985757431
ISU Hort Farm,Pond D,7/21/2019,water,surface,a,117.9423939,-20.77837239,4.548441837
ISU Hort Farm,Pond D,7/21/2019,water,surface,b,116.0685126,82.45536443,4.252119388
ISU Hort Farm,Pond E,7/21/2019,water,surface,a,774.8211281,210.3301266,0.535474457
ISU Hort Farm,Pond E,7/21/2019,water,surface,b,726.4821113,274.7814615,0.535829828
ISU Hort Farm,Pond F,7/21/2019,water,surface,a,1228.825562,2303.682843,0.46142229
ISU Hort Farm,Pond F,7/21/2019,water,surface,b,1120.343484,2793.583397,0.380910211
