sample_id,ch4_ppm,co2_ppm,n2o_ppm,data_flag,notes_gc
E20A160X1,164.04313,4600.781035,2.511156756,,
E20A160X2,152.0423045,5713.328008,3.350963273,,
E20B160X1,162.8139659,4513.777006,3.551845864,,
E20B160X2,199.7247715,5546.062329,4.163065374,,
E20B160X3,180.46904,5422.561219,6.237323484,,
E20C160X1,124.6191166,3921.614484,7.061115186,,
E20C160X2,205.4287401,5022.243115,7.277322655,,
E20C160X3,158.1740532,3854.460376,6.535034131,,
E20D160X1,104.1961366,3341.058494,10.94147142,,
E20D160X2,133.267122,3186.995219,11.02791529,,
E20E160X1,144.6136129,3484.64209,6.214704629,,
E20E160X2,206.8072989,4239.708564,6.06560073,,
E20E160X3,245.110735,4003.793717,5.720527463,,
E20F160X1,177.9077538,4602.918062,13.39223185,,
E20F160X2,187.9938883,4158.873394,11.59691122,,
E20F160X3,211.5358634,4221.209557,12.189245,,
E20A174X1,460.5467776,5695.161771,1.509217522,,
E20A174X2,396.7057632,4357.403854,1.362439846,,
E20A174X3,360.4438981,4069.297969,1.514815855,,
E20B174X1,189.0645111,5283.601199,3.616494804,,
E20B174X2,150.1437959,4341.496314,4.077654761,,
E20B174X3,174.630452,4836.633496,5.320548563,,
E20C174X1,178.184732,4308.898621,7.116051826,,
E20C174X2,236.6562155,5879.268295,8.569359921,,
E20C174X3,155.6552167,4842.944258,8.708283181,,
E20D174X1,178.9136467,4027.608896,9.91809806,,
E20D174X2,177.1842333,4376.583171,10.33891234,,
E20E174X1,218.1092294,3605.68149,8.404436749,,
E20E174X3,192.5838464,3725.594588,8.835022683,,
E20F174X1,232.6514062,3644.279535,9.983390939,,
E20F174X2,235.1327181,3744.881796,8.908246028,,
E20F174X3,282.1791437,4500.12701,9.912730589,,
E20A188X1,185.0721317,4252.47799,2.226247755,,
E20A188X2,247.8826278,4438.53704,3.066363612,,
E20A188X3,234.3367283,3981.016831,2.696456298,,
E20B188X1,295.517251,5209.919531,2.065974865,,
E20B188X2,387.6428767,5328.018977,1.872896947,,
E20B188X3,477.9966393,5912.447128,2.598874296,,
E20C188X1,278.9487476,4811.342233,3.12324614,,
E20C188X2,424.4922358,7432.200539,4.755227992,,
E20C188X3,343.3179203,5218.964486,3.169816825,,
E20D188X1,373.9442991,5725.757674,6.276807103,,
E20D188X2,401.8250522,5323.2888,5.845224342,,
E20D188X3,399.9138791,5131.850181,5.315665224,,
E20E188X1,301.9808576,4259.993414,4.789809789,,
E20E188X2,369.3721651,4382.239695,4.335440317,,
E20E188X3,398.2569349,5285.636128,4.641718966,,
E20F188X1,382.3172026,5515.116016,13.13110622,,
E20F188X2,487.8093135,5683.278177,11.43483558,,
E20F188X3,471.9153142,5874.131138,10.98865006,,
E20A203X1,146.3964989,5420.232006,2.592211938,,
E20A203X2,145.7843794,6471.799133,2.70141627,,
E20A203X3,175.5725531,5427.862107,2.319877154,,
E20B203X1,288.077302,4256.542752,4.847817368,,
E20B203X2,341.5683374,4909.441733,4.99039194,,
E20B203X3,337.3801267,5070.162992,6.170327709,,
E20C203X1,461.2491906,5597.528784,4.964011476,,
E20C203X2,-258.9030633,600.6358752,0.296816137,1,
E20C203X3,470.9108285,6001.281593,5.048207951,,
E20D203X1,341.5143958,5513.71083,4.7095247,,
E20D203X2,397.1309634,5356.697238,4.941125744,,
E20D203X3,453.3197806,6147.046312,5.095732131,,
E20E203X1,294.6844401,5685.119424,6.168087699,,
E20E203X2,314.9472371,5391.008456,5.816727253,,
E20E203X3,313.4007559,5603.382231,6.688508054,,
E20F203X1,297.3444628,5112.134181,14.0372545,,
E20F203X2,305.6022128,4665.768494,11.27105076,,
E20F203X3,325.9044106,5184.30003,11.876036,,
E20A216X1,231.6412917,5428.238482,1.577184819,,
E20A216X2,212.9983834,5006.399441,1.371260603,,
E20A216X3,173.439516,4093.897219,1.506621672,,
E20B216X1,139.5492036,4824.826124,2.681090183,,
E20B216X2,160.3366409,4518.049892,2.685288988,,
E20B216X3,158.7174559,5308.517709,3.407470857,,
E20C216X1,278.5312868,5273.335918,6.678973112,,
E20C216X2,313.0123766,6207.483371,6.590948823,,
E20C216X3,361.7131665,5722.432948,7.386199849,,
E20D216X1,252.8199227,5135.863722,6.773443732,,
E20D216X2,258.2616884,4879.249444,6.344859854,,
E20D216X3,253.0628942,4816.775048,6.720136365,,
E20E216X1,258.6547583,5625.692681,3.548572231,,
E20E216X2,259.872665,5098.835598,3.387170166,,
E20E216X3,259.5138363,5754.436718,4.031674442,,
E20F216X1,246.7240568,5079.703095,4.948609291,,
E20F216X2,285.4332272,5175.112838,4.863471873,,
E20F216X3,334.104232,5817.531145,5.207306338,,
E20A181X1,396.9105175,4885.813512,2.174655001,,
E20A181X2,466.1165986,4645.086116,1.873739904,,
E20A181X3,382.5508607,4219.964865,2.410180382,,
E20B181X1,271.4658163,3871.021458,3.209759492,,
E20B181X2,282.0397081,3990.995448,3.805699949,,
E20C181X1,300.4502683,3070.947852,5.252434023,,
E20C181X2,321.6261771,3866.848075,5.474794132,,
E20C181X3,462.3279039,4152.954164,5.075591198,,
E20D181X1,181.0870491,3369.793574,7.812423221,,
E20D181X2,216.6372633,3338.780027,7.627361465,,
E20E181X1,229.3993519,3564.288009,5.828144267,,
E20E181X2,219.0727272,3414.606979,5.18902608,,
E20E181X3,195.6345,3161.177625,5.366102,,
E20F181X1,-349.653063,744.6512695,0.686320232,1,
E20F181X2,162.0700399,3228.350745,6.828101571,,
E20F181X3,251.9645269,3867.552762,7.305660722,,
E20A210X1,302.1251807,4880.333446,2.499645252,,
E20A210X2,293.8812834,5446.37478,2.815284346,,
E20A210X3,329.2753443,5452.3736,2.611454861,,
E20B210X1,425.2366647,5200.254038,3.861093154,,
E20B210X2,430.0041739,5363.702174,3.882598329,,
E20B210X3,395.3794536,5239.591972,4.120152407,,
E20C210X1,387.2480569,4815.11727,6.070428407,,
E20C210X2,400.7364195,6010.299394,7.258587476,,
E20C210X3,417.0929633,5146.518756,6.662120656,,
E20D210X1,292.1676989,4399.039582,6.412759492,,
E20D210X2,325.4766886,4272.756304,6.385799643,,
E20D210X3,353.701761,4948.187641,7.166989282,,
E20E210X1,452.3223748,4805.260239,3.409712729,,
E20E210X2,419.3259846,4151.844839,3.234507365,,
E20E210X3,423.2977859,4323.399981,3.175811328,,
E20F210X1,345.0597168,4321.032994,5.39604715,,
E20F210X2,290.3966921,4054.860021,4.954992684,,
E20F210X3,420.3370258,5285.970134,5.621745221,,
E20A230X1,280.1151848,6136.852768,2.483675585,,
E20A230X2,282.3118777,5740.939365,2.037005269,,
E20A230X3,264.3609883,4415.108138,2.265848112,,
E20B230X1,234.1697908,5005.300309,2.808701986,,
E20B230X2,218.0892251,4541.741164,2.421835402,,
E20B230X3,241.7621217,4744.073981,3.393605316,,
E20C230X1,351.6442291,6155.546269,5.975264247,,
E20C230X2,417.0299747,6661.030837,5.538765056,,
E20C230X3,349.0444088,6180.747791,5.842805045,,
E20D230X1,317.1990997,6985.569775,3.563525019,,
E20D230X2,266.5113919,6644.937815,3.774718263,,
E20D230X3,259.9453367,6847.24576,4.610213559,,
E20E230X1,292.1641832,6290.436332,2.325757067,,
E20E230X2,273.4852621,5612.863365,2.49880322,,
E20E230X3,252.8621886,5685.949282,2.889757356,,
