MiniDOT Logger Concatenated Data File
Sensor:             7450-200037
Concatenation Date: 2020May29 10:05:43 CDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at pressure: 1013.0 (mbar)

            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1589050380,           2020-05-09 18:53:00,           2020-05-09 13:53:00,      3.160000,     15.877000,         12.649000,                   127.850252,      0.965000
                1589052180,           2020-05-09 19:23:00,           2020-05-09 14:23:00,      3.160000,     16.184000,         12.523000,                   127.403641,      0.965000
                1589053980,           2020-05-09 19:53:00,           2020-05-09 14:53:00,      3.160000,     16.406000,         12.516000,                   127.930747,      0.965000
                1589055780,           2020-05-09 20:23:00,           2020-05-09 15:23:00,      3.160000,     16.635000,         12.427000,                   127.634427,      0.964000
                1589057580,           2020-05-09 20:53:00,           2020-05-09 15:53:00,      3.160000,     17.034000,         12.880000,                   133.396218,      0.965000
                1589059380,           2020-05-09 21:23:00,           2020-05-09 16:23:00,      3.160000,     16.856000,         12.524000,                   129.227826,      0.965000
                1589061180,           2020-05-09 21:53:00,           2020-05-09 16:53:00,      3.160000,     17.314000,         12.924000,                   134.634029,      0.964000
                1589062980,           2020-05-09 22:23:00,           2020-05-09 17:23:00,      3.160000,     17.119000,         12.956000,                   134.421256,      0.964000
                1589064780,           2020-05-09 22:53:00,           2020-05-09 17:53:00,      3.160000,     17.093000,         13.404000,                   138.994051,      0.964000
                1589066580,           2020-05-09 23:23:00,           2020-05-09 18:23:00,      3.160000,     16.864000,         13.197000,                   136.194908,      0.964000
                1589068380,           2020-05-09 23:53:00,           2020-05-09 18:53:00,      3.160000,     16.737000,         13.210000,                   135.967039,      0.964000
                1589070180,           2020-05-10 00:23:00,           2020-05-09 19:23:00,      3.160000,     16.542000,         12.852000,                   131.741794,      0.964000
                1589071980,           2020-05-10 00:53:00,           2020-05-09 19:53:00,      3.160000,     16.337000,         12.829000,                   130.939361,      0.964000
                1589073780,           2020-05-10 01:23:00,           2020-05-09 20:23:00,      3.160000,     16.244000,         12.704000,                   129.409139,      0.964000
                1589075580,           2020-05-10 01:53:00,           2020-05-09 20:53:00,      3.160000,     16.090000,         12.663000,                   128.571795,      0.964000
                1589077380,           2020-05-10 02:23:00,           2020-05-09 21:23:00,      3.160000,     16.013000,         12.687000,                   128.605332,      0.964000
                1589079180,           2020-05-10 02:53:00,           2020-05-09 21:53:00,      3.160000,     15.902000,         12.796000,                   129.404827,      0.964000
                1589080980,           2020-05-10 03:23:00,           2020-05-09 22:23:00,      3.160000,     15.826000,         12.717000,                   128.398169,      0.964000
                1589082780,           2020-05-10 03:53:00,           2020-05-09 22:53:00,      3.160000,     15.680000,         12.512000,                   125.935917,      0.964000
                1589084580,           2020-05-10 04:23:00,           2020-05-09 23:23:00,      3.160000,     15.552000,         12.353000,                   123.996053,      0.964000
                1589086380,           2020-05-10 04:53:00,           2020-05-09 23:53:00,      3.160000,     15.458000,         12.197000,                   122.184117,      0.965000
                1589088180,           2020-05-10 05:23:00,           2020-05-10 00:23:00,      3.160000,     15.329000,         12.061000,                   120.487992,      0.964000
                1589089980,           2020-05-10 05:53:00,           2020-05-10 00:53:00,      3.160000,     15.166000,         11.860000,                   118.065620,      0.964000
                1589091780,           2020-05-10 06:23:00,           2020-05-10 01:23:00,      3.160000,     15.028000,         11.681000,                   115.938363,      0.963000
                1589093580,           2020-05-10 06:53:00,           2020-05-10 01:53:00,      3.160000,     14.856000,         11.517000,                   113.886533,      0.963000
                1589095380,           2020-05-10 07:23:00,           2020-05-10 02:23:00,      3.160000,     14.709000,         11.305000,                   111.434653,      0.964000
                1589097180,           2020-05-10 07:53:00,           2020-05-10 02:53:00,      3.160000,     14.580000,         11.144000,                   109.540317,      0.964000
                1589098980,           2020-05-10 08:23:00,           2020-05-10 03:23:00,      3.160000,     14.468000,         10.930000,                   107.175224,      0.962000
