MiniDOT Logger Concatenated Data File
Sensor:             7450-375572
Concatenation Date: 2020Jun12 14:33:25 CDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at pressure: 1013.0 (mbar)

            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1590767280,           2020-05-29 15:48:00,           2020-05-29 10:48:00,      3.150000,     21.565000,         11.902000,                   135.022769,      0.960000
                1590769080,           2020-05-29 16:18:00,           2020-05-29 11:18:00,      3.150000,     21.698000,         11.919000,                   135.564383,      0.958000
                1590770880,           2020-05-29 16:48:00,           2020-05-29 11:48:00,      3.150000,     21.874000,         12.163000,                   138.810840,      0.959000
                1590772680,           2020-05-29 17:18:00,           2020-05-29 12:18:00,      3.140000,     22.149000,         12.067000,                   138.446400,      0.959000
                1590774480,           2020-05-29 17:48:00,           2020-05-29 12:48:00,      3.150000,     22.333000,         12.285000,                   141.446052,      0.959000
                1590776280,           2020-05-29 18:18:00,           2020-05-29 13:18:00,      3.150000,     22.526000,         12.313000,                   142.292912,      0.960000
                1590778080,           2020-05-29 18:48:00,           2020-05-29 13:48:00,      3.140000,     22.668000,         12.157000,                   140.871375,      0.960000
                1590779880,           2020-05-29 19:18:00,           2020-05-29 14:18:00,      3.140000,     22.885000,         12.312000,                   143.257929,      0.960000
                1590781680,           2020-05-29 19:48:00,           2020-05-29 14:48:00,      3.140000,     23.111000,         12.395000,                   144.843335,      0.959000
                1590783480,           2020-05-29 20:18:00,           2020-05-29 15:18:00,      3.140000,     23.337000,         13.496000,                   158.384513,      0.960000
                1590785280,           2020-05-29 20:48:00,           2020-05-29 15:48:00,      3.140000,     23.513000,         14.048000,                   165.410454,      0.960000
                1590787080,           2020-05-29 21:18:00,           2020-05-29 16:18:00,      3.140000,     23.697000,         13.475000,                   159.213370,      0.960000
                1590788880,           2020-05-29 21:48:00,           2020-05-29 16:48:00,      3.140000,     23.898000,         13.794000,                   163.597797,      0.962000
                1590790680,           2020-05-29 22:18:00,           2020-05-29 17:18:00,      3.140000,     23.956000,         13.772000,                   163.514234,      0.961000
                1590792480,           2020-05-29 22:48:00,           2020-05-29 17:48:00,      3.140000,     23.973000,         13.585000,                   161.345280,      0.960000
                1590794280,           2020-05-29 23:18:00,           2020-05-29 18:18:00,      3.140000,     23.940000,         13.590000,                   161.305074,      0.960000
                1590796080,           2020-05-29 23:48:00,           2020-05-29 18:48:00,      3.140000,     23.889000,         13.496000,                   160.036531,      0.961000
                1590797880,           2020-05-30 00:18:00,           2020-05-29 19:18:00,      3.140000,     23.730000,         13.366000,                   158.023335,      0.960000
                1590799680,           2020-05-30 00:48:00,           2020-05-29 19:48:00,      3.140000,     23.588000,         13.319000,                   157.048184,      0.962000
                1590801480,           2020-05-30 01:18:00,           2020-05-29 20:18:00,      3.140000,     23.412000,         13.305000,                   156.364069,      0.961000
                1590803280,           2020-05-30 01:48:00,           2020-05-29 20:48:00,      3.140000,     23.278000,         13.308000,                   156.004309,      0.961000
                1590805080,           2020-05-30 02:18:00,           2020-05-29 21:18:00,      3.140000,     23.136000,         13.297000,                   155.457340,      0.960000
                1590806880,           2020-05-30 02:48:00,           2020-05-29 21:48:00,      3.140000,     23.002000,         13.296000,                   155.051427,      0.959000
                1590808680,           2020-05-30 03:18:00,           2020-05-29 22:18:00,      3.140000,     22.852000,         13.347000,                   155.203432,      0.960000
                1590810480,           2020-05-30 03:48:00,           2020-05-29 22:48:00,      3.140000,     22.709000,         13.385000,                   155.222283,      0.961000
                1590812280,           2020-05-30 04:18:00,           2020-05-29 23:18:00,      3.140000,     22.592000,         13.374000,                   154.749072,      0.961000
                1590814080,           2020-05-30 04:48:00,           2020-05-29 23:48:00,      3.140000,     22.467000,         13.391000,                   154.576204,      0.961000
                1590815880,           2020-05-30 05:18:00,           2020-05-30 00:18:00,      3.140000,     22.358000,         13.383000,                   154.161933,      0.960000
                1590817680,           2020-05-30 05:48:00,           2020-05-30 00:48:00,      3.140000,     22.241000,         13.418000,                   154.218806,      0.961000
                1590819480,           2020-05-30 06:18:00,           2020-05-30 01:18:00,      3.140000,     22.141000,         13.414000,                   153.877065,      0.961000
                1590821280,           2020-05-30 06:48:00,           2020-05-30 01:48:00,      3.140000,     22.041000,         13.373000,                   153.111992,      0.960000
                1590823080,           2020-05-30 07:18:00,           2020-05-30 02:18:00,      3.140000,     21.949000,         13.341000,                   152.475198,      0.960000
                1590824880,           2020-05-30 07:48:00,           2020-05-30 02:48:00,      3.140000,     21.840000,         13.336000,                   152.097916,      0.960000
                1590826680,           2020-05-30 08:18:00,           2020-05-30 03:18:00,      3.140000,     21.732000,         13.294000,                   151.302839,      0.960000
                1590828480,           2020-05-30 08:48:00,           2020-05-30 03:48:00,      3.140000,     21.631000,         13.269000,                   150.723406,      0.960000
                1590830280,           2020-05-30 09:18:00,           2020-05-30 04:18:00,      3.140000,     21.514000,         13.221000,                   149.837935,      0.959000
                1590832080,           2020-05-30 09:48:00,           2020-05-30 04:48:00,      3.140000,     21.414000,         13.189000,                   149.185296,      0.960000
                1590833880,           2020-05-30 10:18:00,           2020-05-30 05:18:00,      3.140000,     21.314000,         13.162000,                   148.590625,      0.960000
                1590835680,           2020-05-30 10:48:00,           2020-05-30 05:48:00,      3.140000,     21.222000,         13.114000,                   147.783683,      0.960000
                1590837480,           2020-05-30 11:18:00,           2020-05-30 06:18:00,      3.140000,     21.122000,         13.051000,                   146.787118,      0.959000
                1590839280,           2020-05-30 11:48:00,           2020-05-30 06:48:00,      3.140000,     21.030000,         12.973000,                   145.647832,      0.959000
                1590841080,           2020-05-30 12:18:00,           2020-05-30 07:18:00,      3.140000,     20.996000,         12.885000,                   144.563709,      0.959000
                1590842880,           2020-05-30 12:48:00,           2020-05-30 07:48:00,      3.140000,     20.971000,         12.817000,                   143.730465,      0.959000
                1590844680,           2020-05-30 13:18:00,           2020-05-30 08:18:00,      3.140000,     20.980000,         12.737000,                   142.858496,      0.959000
                1590846480,           2020-05-30 13:48:00,           2020-05-30 08:48:00,      3.140000,     21.088000,         12.619000,                   141.834134,      0.959000
                1590848280,           2020-05-30 14:18:00,           2020-05-30 09:18:00,      3.140000,     21.230000,         12.536000,                   141.292140,      0.959000
                1590850080,           2020-05-30 14:48:00,           2020-05-30 09:48:00,      3.140000,     21.372000,         12.518000,                   141.479825,      0.958000
                1590851880,           2020-05-30 15:18:00,           2020-05-30 10:18:00,      3.140000,     21.648000,         12.483000,                   141.841871,      0.959000
                1590853680,           2020-05-30 15:48:00,           2020-05-30 10:48:00,      3.140000,     21.849000,         12.491000,                   142.485392,      0.959000
                1590855480,           2020-05-30 16:18:00,           2020-05-30 11:18:00,      3.140000,     21.949000,         12.500000,                   142.863351,      0.958000
                1590857280,           2020-05-30 16:48:00,           2020-05-30 11:48:00,      3.140000,     22.183000,         12.865000,                   147.698403,      0.961000
                1590859080,           2020-05-30 17:18:00,           2020-05-30 12:18:00,      3.140000,     22.500000,         13.233000,                   152.848763,      0.959000
                1590860880,           2020-05-30 17:48:00,           2020-05-30 12:48:00,      3.140000,     22.601000,         13.744000,                   159.057619,      0.960000
                1590862680,           2020-05-30 18:18:00,           2020-05-30 13:18:00,      3.140000,     22.860000,         14.040000,                   163.286701,      0.959000
                1590864480,           2020-05-30 18:48:00,           2020-05-30 13:48:00,      3.140000,     22.743000,         14.368000,                   166.729815,      0.961000
                1590866280,           2020-05-30 19:18:00,           2020-05-30 14:18:00,      3.140000,     22.985000,         14.136000,                   164.793939,      0.961000
                1590868080,           2020-05-30 19:48:00,           2020-05-30 14:48:00,      3.140000,     23.253000,         14.096000,                   165.163679,      0.960000
                1590869880,           2020-05-30 20:18:00,           2020-05-30 15:18:00,      3.140000,     23.462000,         14.145000,                   166.392706,      0.960000
