DATE,TIME,SITE,DATA ID,GPS Latitude (°),GPS Longitude (°),Barometer (mmHg),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Temp (°F),Sigma-T (s t),Sigma (s),Chlorophyll (RFU),Chlorophyll (µg/L),PC (RFU),PC (ug/L),ODO (% Sat),ODO (mg/L),ODO (% LocalB),pH,pH (mV),Pressure (psi a),Depth (m),Vertical Position (m)
6/13/2020,10:11:57 AM,Pond F,,89.99999 °,179.99998 °,740.3,255.4,260.8,0.12,261.4,170,75,-2.6,-2.6,0.32,1.53,-0.34,-0.33,124.6,10.5,127.9,9.21,-196,-0.002,-0.001,-0.005
6/13/2020,10:11:57 AM,Pond F,,89.99999 °,179.99998 °,740.3,255.4,260.8,0.12,261.4,170,75,-2.6,-2.6,0.32,1.53,-0.34,-0.33,124.6,10.5,127.9,9.21,-196,-0.002,-0.001,-0.005
6/13/2020,10:11:57 AM,Pond F,,89.99999 °,179.99998 °,740.3,255.4,260.8,0.12,261.4,170,75,-2.6,-2.6,0.32,1.53,-0.34,-0.33,124.6,10.5,127.9,9.22,-196.1,-0.003,-0.002,-0.005
6/13/2020,10:11:57 AM,Pond F,,89.99999 °,179.99998 °,740.2,255.4,260.8,0.12,261.4,170,75,-2.6,-2.6,0.32,1.55,-0.34,-0.33,124.6,10.5,128,9.22,-196.2,-0.003,-0.002,-0.004
6/13/2020,10:11:58 AM,Pond F,,89.99999 °,179.99998 °,740.2,255.4,260.8,0.12,261.4,170,75,-2.6,-2.6,0.32,1.55,-0.34,-0.33,124.7,10.51,128,9.22,-196.2,-0.003,-0.002,-0.004
6/13/2020,10:11:58 AM,Pond F,,89.99999 °,179.99998 °,740.2,255.4,260.8,0.12,261.4,170,75,-2.6,-2.6,0.32,1.55,-0.34,-0.33,124.7,10.51,128,9.22,-196.3,-0.003,-0.002,-0.002
6/13/2020,10:11:58 AM,Pond F,,89.99999 °,179.99998 °,740.2,255.4,260.8,0.12,261.4,170,75,-2.6,-2.6,0.32,1.55,-0.34,-0.33,124.7,10.51,128,9.22,-196.3,-0.003,-0.002,-0.002
6/13/2020,10:11:58 AM,Pond F,,89.99999 °,179.99998 °,740.2,255.4,260.8,0.12,261.4,170,75,-2.6,-2.6,0.32,1.54,-0.34,-0.33,124.7,10.51,128.1,9.22,-196.3,-0.003,-0.002,-0.001
6/13/2020,10:11:59 AM,Pond F,,89.99999 °,179.99998 °,740.2,255.4,260.8,0.12,261.4,170,75,-2.6,-2.6,0.32,1.56,-0.34,-0.33,124.7,10.51,128.1,9.22,-196.3,-0.003,-0.002,-0.001
6/13/2020,10:11:59 AM,Pond F,,89.99999 °,179.99998 °,740.2,255.4,260.8,0.12,261.4,170,75,-2.6,-2.6,0.33,1.58,-0.34,-0.33,124.8,10.51,128.1,9.22,-196.3,-0.003,-0.002,0
6/13/2020,10:11:59 AM,Pond F,,89.99999 °,179.99998 °,740.2,255.4,260.9,0.12,261.4,170,75,-2.6,-2.6,0.33,1.59,-0.34,-0.33,124.8,10.52,128.1,9.22,-196.3,-0.002,-0.001,0.009
6/13/2020,10:11:59 AM,Pond F,,89.99999 °,179.99998 °,740.2,255.4,260.9,0.12,261.4,170,75,-2.6,-2.6,0.33,1.57,-0.33,-0.33,124.8,10.52,128.1,9.22,-196.4,-0.001,-0.001,0.013
6/13/2020,10:12:00 AM,Pond F,,89.99999 °,179.99998 °,740.2,255.4,260.9,0.12,261.4,170,75,-2.6,-2.6,0.32,1.56,-0.33,-0.32,124.8,10.52,128.2,9.22,-196.4,0,0,0.031
6/13/2020,10:12:00 AM,Pond F,,89.99999 °,179.99998 °,740.2,255.4,260.9,0.12,261.4,170,75,-2.6,-2.6,0.33,1.58,-0.33,-0.32,124.8,10.52,128.2,9.22,-196.4,0.002,0.001,0.038
6/13/2020,10:12:00 AM,Pond F,,89.99999 °,179.99998 °,740.2,255.4,260.9,0.12,261.4,170,75,-2.6,-2.6,0.33,1.59,-0.32,-0.32,124.8,10.52,128.2,9.22,-196.4,0.004,0.003,0.042
6/13/2020,10:12:00 AM,Pond F,,89.99999 °,179.99998 °,740.2,255.4,260.9,0.12,261.4,170,75,-2.6,-2.6,0.33,1.59,-0.32,-0.32,124.9,10.52,128.2,9.22,-196.5,0.005,0.004,0.041
6/13/2020,10:12:01 AM,Pond F,,89.99999 °,179.99998 °,740.2,255.4,260.9,0.12,261.4,170,75,-2.6,-2.6,0.33,1.58,-0.32,-0.32,124.9,10.52,128.2,9.22,-196.5,0.007,0.005,0.037
6/13/2020,10:12:01 AM,Pond F,,89.99999 °,179.99998 °,740.2,255.4,260.9,0.12,261.4,170,75,-2.6,-2.6,0.33,1.59,-0.32,-0.32,124.9,10.53,128.2,9.22,-196.5,0.009,0.006,0.042
6/13/2020,10:12:01 AM,Pond F,,89.99999 °,179.99998 °,740.2,255.4,260.9,0.12,261.5,170,75,-2.6,-2.6,0.32,1.57,-0.32,-0.32,124.9,10.53,128.3,9.22,-196.5,0.01,0.007,0.05
6/13/2020,10:12:01 AM,Pond F,,89.99999 °,179.99998 °,740.2,255.5,260.9,0.12,261.5,170,75,-2.6,-2.6,0.33,1.57,-0.32,-0.32,124.9,10.53,128.3,9.22,-196.6,0.012,0.008,0.061
6/13/2020,10:12:02 AM,Pond F,,89.99999 °,179.99998 °,740.2,255.5,260.9,0.12,261.5,170,75,-2.6,-2.6,0.33,1.58,-0.32,-0.32,124.9,10.53,128.3,9.22,-196.6,0.016,0.011,0.068
6/13/2020,10:12:02 AM,Pond F,,89.99999 °,179.99998 °,740.2,255.5,260.9,0.12,261.5,170,75,-2.6,-2.6,0.33,1.58,-0.31,-0.31,125,10.53,128.3,9.22,-196.6,0.017,0.012,0.066
6/13/2020,10:12:02 AM,Pond F,,89.99999 °,179.99998 °,740.2,255.5,260.9,0.12,261.5,170,75,-2.6,-2.6,0.33,1.58,-0.31,-0.31,125,10.53,128.3,9.22,-196.6,0.019,0.014,0.07
6/13/2020,10:12:02 AM,Pond F,,89.99999 °,179.99998 °,740.2,255.5,261,0.12,261.5,170,75,-2.6,-2.6,0.33,1.6,-0.31,-0.31,125,10.53,128.3,9.22,-196.7,0.023,0.017,0.086
6/13/2020,10:12:03 AM,Pond F,,89.99999 °,179.99998 °,740.2,255.5,261,0.12,261.5,170,75,-2.6,-2.6,0.34,1.61,-0.31,-0.31,125,10.54,128.4,9.22,-196.7,0.026,0.018,0.097
6/13/2020,10:12:03 AM,Pond F,,89.99999 °,179.99998 °,740.2,255.5,261,0.12,261.5,170,75,-2.6,-2.6,0.34,1.61,-0.31,-0.31,125.1,10.54,128.4,9.23,-196.7,0.028,0.02,0.106
6/13/2020,10:12:03 AM,Pond F,,89.99999 °,179.99998 °,740.1,255.5,261,0.12,261.6,170,75,-2.6,-2.6,0.34,1.61,-0.31,-0.31,125.1,10.54,128.5,9.23,-196.8,0.033,0.023,0.111
6/13/2020,10:12:03 AM,Pond F,,89.99999 °,179.99998 °,740.1,255.5,261,0.12,261.6,170,75,-2.6,-2.6,0.34,1.62,-0.32,-0.32,125.1,10.55,128.5,9.23,-196.8,0.036,0.025,0.118
6/13/2020,10:12:04 AM,Pond F,,89.99999 °,179.99998 °,740.1,255.6,261,0.12,261.6,170,75,-2.6,-2.6,0.33,1.61,-0.32,-0.32,125.2,10.55,128.5,9.23,-196.8,0.038,0.027,0.133
6/13/2020,10:12:04 AM,Pond F,,89.99999 °,179.99998 °,740.1,255.6,261,0.12,261.6,170,75,-2.6,-2.6,0.33,1.6,-0.31,-0.31,125.2,10.55,128.6,9.23,-196.8,0.045,0.031,0.153
6/13/2020,10:12:04 AM,Pond F,,89.99999 °,179.99998 °,740.1,255.6,261.1,0.12,261.6,170,75,-2.6,-2.6,0.33,1.58,-0.31,-0.31,125.2,10.56,128.6,9.23,-196.8,0.048,0.034,0.159
6/13/2020,10:12:04 AM,Pond F,,89.99999 °,179.99998 °,740.1,255.6,261.1,0.12,261.6,170,75,-2.6,-2.6,0.33,1.58,-0.31,-0.31,125.3,10.56,128.6,9.23,-196.8,0.051,0.036,0.161
6/13/2020,10:12:05 AM,Pond F,,89.99999 °,179.99998 °,740.1,255.6,261.1,0.12,261.6,170,75,-2.6,-2.6,0.33,1.57,-0.31,-0.31,125.3,10.56,128.7,9.23,-196.8,0.054,0.038,0.169
6/13/2020,10:12:05 AM,Pond F,,89.99999 °,179.99998 °,740.1,255.6,261.1,0.12,261.7,170,75,-2.6,-2.6,0.32,1.55,-0.3,-0.31,125.4,10.57,128.7,9.23,-196.8,0.061,0.043,0.193
6/13/2020,10:12:05 AM,Pond F,,89.99999 °,179.99998 °,740.1,255.6,261.1,0.12,261.7,170,75,-2.6,-2.6,0.32,1.54,-0.3,-0.31,125.4,10.57,128.8,9.23,-196.8,0.064,0.045,0.202
6/13/2020,10:12:05 AM,Pond F,,89.99999 °,179.99998 °,740.1,255.7,261.1,0.12,261.7,170,75,-2.6,-2.6,0.32,1.56,-0.3,-0.31,125.4,10.57,128.8,9.23,-196.8,0.068,0.048,0.211
6/13/2020,10:12:06 AM,Pond F,,89.99999 °,179.99998 °,740.1,255.7,261.2,0.12,261.7,170,75,-2.6,-2.6,0.32,1.55,-0.3,-0.31,125.5,10.57,128.8,9.23,-196.8,0.076,0.054,0.22
6/13/2020,10:12:06 AM,Pond F,,89.99999 °,179.99998 °,740.1,255.7,261.2,0.12,261.7,170,75,-2.6,-2.6,0.33,1.57,-0.3,-0.31,125.5,10.58,128.9,9.23,-196.8,0.08,0.056,0.223
6/13/2020,10:12:06 AM,Pond F,,89.99999 °,179.99998 °,740,255.7,261.2,0.12,261.8,170,75,-2.6,-2.6,0.32,1.56,-0.3,-0.31,125.5,10.58,128.9,9.23,-196.8,0.083,0.059,0.233
6/13/2020,10:12:06 AM,Pond F,,89.99999 °,179.99998 °,740,255.7,261.2,0.12,261.8,170,75,-2.6,-2.6,0.33,1.57,-0.3,-0.31,125.6,10.58,128.9,9.23,-196.8,0.091,0.064,0.255
6/13/2020,10:12:07 AM,Pond F,,89.99999 °,179.99998 °,740,255.7,261.2,0.12,261.8,170,75,-2.6,-2.6,0.32,1.55,-0.31,-0.31,125.6,10.59,129,9.23,-196.8,0.095,0.067,0.264
6/13/2020,10:12:07 AM,Pond F,,89.99999 °,179.99998 °,740,255.7,261.2,0.12,261.8,170,75,-2.6,-2.6,0.32,1.56,-0.31,-0.31,125.6,10.59,129,9.23,-196.8,0.099,0.07,0.269
6/13/2020,10:12:07 AM,Pond F,,89.99999 °,179.99998 °,740.2,255.8,261.3,0.12,261.8,170,75,-2.6,-2.6,0.32,1.55,-0.31,-0.31,125.6,10.59,129,9.23,-196.8,0.107,0.076,0.279
6/13/2020,10:12:07 AM,Pond F,,89.99999 °,179.99998 °,740.2,255.8,261.3,0.12,261.8,170,75,-2.6,-2.6,0.32,1.56,-0.31,-0.31,125.7,10.59,129,9.23,-196.8,0.111,0.078,0.284
6/13/2020,10:12:08 AM,Pond F,,89.99999 °,179.99998 °,740.2,255.8,261.3,0.12,261.9,170,75,-2.6,-2.6,0.33,1.57,-0.3,-0.31,125.7,10.59,129,9.23,-196.8,0.115,0.081,0.287
6/13/2020,10:12:08 AM,Pond F,,89.99999 °,179.99998 °,740.2,255.8,261.3,0.12,261.9,170,75,-2.6,-2.6,0.32,1.54,-0.3,-0.31,125.7,10.6,129.1,9.23,-196.8,0.123,0.087,0.29
6/13/2020,10:12:08 AM,Pond F,,89.99999 °,179.99998 °,740.1,255.8,261.3,0.12,261.9,170,75,-2.6,-2.6,0.32,1.56,-0.31,-0.31,125.7,10.6,129.1,9.23,-196.8,0.126,0.089,0.29
6/13/2020,10:12:08 AM,Pond F,,89.99999 °,179.99998 °,740.1,255.8,261.3,0.12,261.9,170,75,-2.6,-2.6,0.32,1.55,-0.31,-0.31,125.7,10.6,129.1,9.23,-196.8,0.13,0.092,0.29
6/13/2020,10:12:09 AM,Pond F,,89.99999 °,179.99998 °,740.1,255.8,261.4,0.12,261.9,170,75,-2.6,-2.6,0.32,1.55,-0.31,-0.31,125.8,10.6,129.2,9.23,-196.8,0.133,0.094,0.293
6/13/2020,10:12:09 AM,Pond F,,89.99999 °,179.99998 °,740.1,255.8,261.4,0.12,261.9,170,75,-2.6,-2.6,0.33,1.59,-0.3,-0.31,125.8,10.6,129.2,9.23,-196.8,0.14,0.099,0.3
6/13/2020,10:12:09 AM,Pond F,,89.99999 °,179.99998 °,740.2,255.9,261.4,0.12,262,170,75,-2.6,-2.6,0.33,1.6,-0.31,-0.31,125.8,10.6,129.2,9.23,-196.8,0.144,0.101,0.302
6/13/2020,10:12:09 AM,Pond F,,89.99999 °,179.99998 °,740.2,255.9,261.4,0.12,262,170,75,-2.6,-2.6,0.34,1.61,-0.3,-0.31,125.8,10.6,129.2,9.23,-196.8,0.147,0.104,0.303
6/13/2020,10:12:10 AM,Pond F,,89.99999 °,179.99998 °,740.2,255.9,261.4,0.12,262,170,75,-2.6,-2.6,0.33,1.59,-0.3,-0.31,125.8,10.61,129.2,9.23,-196.8,0.154,0.108,0.308
6/13/2020,10:12:10 AM,Pond F,,89.99999 °,179.99998 °,740.2,255.9,261.4,0.12,262,170,75,-2.6,-2.6,0.33,1.58,-0.3,-0.31,125.8,10.61,129.2,9.23,-196.8,0.157,0.111,0.313
6/13/2020,10:12:10 AM,Pond F,,89.99999 °,179.99998 °,740.2,255.9,261.5,0.12,262,170,75,-2.6,-2.6,0.33,1.58,-0.3,-0.31,125.8,10.61,129.2,9.23,-196.8,0.16,0.113,0.317
6/13/2020,10:12:10 AM,Pond F,,89.99999 °,179.99998 °,740.2,255.9,261.5,0.12,262,170,75,-2.6,-2.6,0.33,1.6,-0.3,-0.31,125.8,10.61,129.2,9.23,-196.9,0.164,0.115,0.323
