sample_id,pond_id,week,date_start,time_start,date_end,time_end,incubation_temp,purge_time,purge_rate_psi,vol_bottle,vol_sediment,vol_water,notes
E20A146R1,A,1,5/25/2020,17:29,5/26/2020,16:11,22.6,15,9,120,20,20,
E20A146R2,A,1,5/25/2020,17:29,5/26/2020,16:14,22.6,15,9,120,20,20,
E20A146R3,A,1,5/25/2020,17:29,5/26/2020,16:16,22.6,15,9,120,20,20,
E20B146R1,B,1,5/25/2020,17:29,5/26/2020,16:17,22.6,15,9,120,20,20,
E20B146R2,B,1,5/25/2020,17:29,5/26/2020,16:19,22.6,15,9,120,20,20,
E20B146R3,B,1,5/25/2020,17:29,5/26/2020,16:30,22.6,15,9,120,20,20,
E20C146R1,C,1,5/25/2020,17:29,5/26/2020,16:30,22.6,15,9,120,20,20,
E20C146R2,C,1,5/25/2020,17:29,5/26/2020,16:30,22.6,15,9,120,20,20,
E20C146R3,C,1,5/25/2020,17:29,5/26/2020,16:30,22.6,15,9,120,20,20,
E20D146R1,D,1,5/25/2020,17:57,5/26/2020,16:35,22.6,15,9,120,20,20,
E20D146R2,D,1,5/25/2020,17:57,5/26/2020,16:35,22.6,15,9,120,20,20,
E20D146R3,D,1,5/25/2020,17:57,5/26/2020,16:35,22.6,15,9,120,20,20,
E20E146R1,E,1,5/25/2020,17:57,5/26/2020,16:40,22.6,15,9,120,20,20,
E20E146R2,E,1,5/25/2020,17:57,5/26/2020,16:40,22.6,15,9,120,20,20,
E20E146R3,E,1,5/25/2020,17:57,5/26/2020,16:40,22.6,15,9,120,20,20,
E20F146R1,F,1,5/25/2020,17:57,5/26/2020,16:43,22.6,15,9,120,20,20,
E20F146R2,F,1,5/25/2020,17:57,5/26/2020,16:43,22.6,15,9,120,20,20,
E20F146R3,F,1,5/25/2020,17:57,5/26/2020,16:43,22.6,15,9,120,20,20,
E20A153R1,A,2,6/1/2020,18:30,6/2/2020,15:55,25.1,15,9,120,20,20,
E20A153R2,A,2,6/1/2020,18:30,6/2/2020,15:55,25.1,15,9,120,20,20,
E20A153R3,A,2,6/1/2020,18:30,6/2/2020,15:55,25.1,15,9,120,20,20,
E20B153R1,B,2,6/1/2020,18:30,6/2/2020,16:00,25.1,15,9,120,20,20,
E20B153R2,B,2,6/1/2020,18:30,6/2/2020,16:00,25.1,15,9,120,20,20,
E20B153R3,B,2,6/1/2020,18:30,6/2/2020,16:00,25.1,15,9,120,20,20,
E20C153R1,C,2,6/1/2020,18:30,6/2/2020,16:06,25.1,15,9,120,20,20,
E20C153R2,C,2,6/1/2020,18:30,6/2/2020,16:06,25.1,15,9,120,20,20,
E20C153R3,C,2,6/1/2020,18:30,6/2/2020,16:06,25.1,15,9,120,20,20,
E20D153R1,D,2,6/1/2020,18:50,6/2/2020,16:12,25.1,15,9,120,20,20,
E20D153R2,D,2,6/1/2020,18:50,6/2/2020,16:12,25.1,15,9,120,20,20,
E20D153R3,D,2,6/1/2020,18:50,6/2/2020,16:12,25.1,15,9,120,20,20,
E20E153R1,E,2,6/1/2020,18:50,6/2/2020,16:16,25.1,15,9,120,20,20,
E20E153R2,E,2,6/1/2020,18:50,6/2/2020,16:16,25.1,15,9,120,20,20,
