"Plot Title: 6_PondF_Deep_0m"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 20365506, SEN S/N: 20365506)","Coupler Attached (LGR S/N: 20365506)","Host Connected (LGR S/N: 20365506)","Stopped (LGR S/N: 20365506)","End Of File (LGR S/N: 20365506)"
1,05/09/20 08:00:00 PM,60.883,,,,
2,05/09/20 08:30:00 PM,60.539,,,,
3,05/09/20 09:00:00 PM,60.539,,,,
4,05/09/20 09:30:00 PM,60.195,,,,
5,05/09/20 10:00:00 PM,60.195,,,,
6,05/09/20 10:30:00 PM,60.024,,,,
7,05/09/20 11:00:00 PM,59.680,,,,
8,05/09/20 11:30:00 PM,59.508,,,,
9,05/10/20 12:00:00 AM,59.337,,,,
10,05/10/20 12:30:00 AM,59.164,,,,
11,05/10/20 01:00:00 AM,58.993,,,,
12,05/10/20 01:30:00 AM,58.820,,,,
13,05/10/20 02:00:00 AM,58.647,,,,
14,05/10/20 02:30:00 AM,58.476,,,,
15,05/10/20 03:00:00 AM,58.303,,,,
16,05/10/20 03:30:00 AM,58.131,,,,
17,05/10/20 04:00:00 AM,57.958,,,,
18,05/10/20 04:30:00 AM,57.614,,,,
19,05/10/20 05:00:00 AM,57.268,,,,
20,05/10/20 05:30:00 AM,57.096,,,,
21,05/10/20 06:00:00 AM,56.923,,,,
22,05/10/20 06:30:00 AM,56.750,,,,
23,05/10/20 07:00:00 AM,56.750,,,,
24,05/10/20 07:30:00 AM,56.923,,,,
25,05/10/20 08:00:00 AM,57.268,,,,
26,05/10/20 08:30:00 AM,57.096,,,,
27,05/10/20 09:00:00 AM,57.441,,,,
28,05/10/20 09:30:00 AM,58.131,,,,
29,05/10/20 10:00:00 AM,58.647,,,,
30,05/10/20 10:30:00 AM,57.958,,,,
31,05/10/20 11:00:00 AM,58.820,,,,
32,05/10/20 11:30:00 AM,58.131,,,,
33,05/10/20 12:00:00 PM,56.750,,,,
34,05/10/20 12:30:00 PM,56.923,,,,
35,05/10/20 01:00:00 PM,56.923,,,,
36,05/10/20 01:30:00 PM,56.923,,,,
37,05/10/20 02:00:00 PM,57.441,,,,
38,05/10/20 02:30:00 PM,57.096,,,,
39,05/10/20 03:00:00 PM,58.303,,,,
40,05/10/20 03:30:00 PM,58.476,,,,
41,05/10/20 04:00:00 PM,57.441,,,,
42,05/10/20 04:30:00 PM,59.508,,,,
43,05/10/20 05:00:00 PM,56.577,,,,
44,05/10/20 05:30:00 PM,56.577,,,,
45,05/10/20 06:00:00 PM,56.230,,,,
46,05/10/20 06:30:00 PM,56.057,,,,
47,05/10/20 07:00:00 PM,55.884,,,,
48,05/10/20 07:30:00 PM,55.711,,,,
49,05/10/20 08:00:00 PM,55.537,,,,
50,05/10/20 08:30:00 PM,55.364,,,,
51,05/10/20 09:00:00 PM,55.189,,,,
52,05/10/20 09:30:00 PM,55.017,,,,
53,05/10/20 10:00:00 PM,54.842,,,,
54,05/10/20 10:30:00 PM,54.842,,,,
55,05/10/20 11:00:00 PM,54.669,,,,
56,05/10/20 11:30:00 PM,54.495,,,,
57,05/11/20 12:00:00 AM,54.495,,,,
58,05/11/20 12:30:00 AM,54.322,,,,
59,05/11/20 01:00:00 AM,54.322,,,,
60,05/11/20 01:30:00 AM,54.147,,,,
61,05/11/20 02:00:00 AM,53.973,,,,
62,05/11/20 02:30:00 AM,53.973,,,,
63,05/11/20 03:00:00 AM,53.798,,,,
64,05/11/20 03:30:00 AM,53.623,,,,
65,05/11/20 04:00:00 AM,53.623,,,,
66,05/11/20 04:30:00 AM,53.449,,,,
67,05/11/20 05:00:00 AM,53.274,,,,
68,05/11/20 05:30:00 AM,53.274,,,,
69,05/11/20 06:00:00 AM,53.100,,,,
70,05/11/20 06:30:00 AM,53.100,,,,
71,05/11/20 07:00:00 AM,53.100,,,,
72,05/11/20 07:30:00 AM,53.100,,,,
73,05/11/20 08:00:00 AM,53.274,,,,
74,05/11/20 08:30:00 AM,53.274,,,,
75,05/11/20 09:00:00 AM,53.449,,,,
76,05/11/20 09:30:00 AM,53.798,,,,
77,05/11/20 10:00:00 AM,54.147,,,,
78,05/11/20 10:30:00 AM,55.017,,,,
79,05/11/20 11:00:00 AM,55.884,,,,
80,05/11/20 11:30:00 AM,55.537,,,,
81,05/11/20 12:00:00 PM,56.230,,,,
82,05/11/20 12:30:00 PM,56.923,,,,
83,05/11/20 01:00:00 PM,57.785,,,,
84,05/11/20 01:30:00 PM,59.164,,,,
85,05/11/20 02:00:00 PM,59.680,,,,
86,05/11/20 02:30:00 PM,59.164,,,,
87,05/11/20 03:00:00 PM,61.912,,,,
88,05/11/20 03:30:00 PM,63.282,,,,
89,05/11/20 04:00:00 PM,62.598,,,,
90,05/11/20 04:30:00 PM,63.111,,,,
91,05/11/20 05:00:00 PM,62.425,,,,
92,05/11/20 05:30:00 PM,61.398,,,,
93,05/11/20 06:00:00 PM,61.227,,,,
94,05/11/20 06:30:00 PM,60.883,,,,
95,05/11/20 07:00:00 PM,59.337,,,,
96,05/11/20 07:30:00 PM,58.993,,,,
97,05/11/20 08:00:00 PM,58.303,,,,
98,05/11/20 08:30:00 PM,57.958,,,,
99,05/11/20 09:00:00 PM,57.785,,,,
100,05/11/20 09:30:00 PM,57.268,,,,
101,05/11/20 10:00:00 PM,57.096,,,,
102,05/11/20 10:30:00 PM,56.750,,,,
103,05/11/20 11:00:00 PM,56.577,,,,
104,05/11/20 11:30:00 PM,56.404,,,,
105,05/12/20 12:00:00 AM,56.230,,,,
106,05/12/20 12:30:00 AM,55.884,,,,
107,05/12/20 01:00:00 AM,55.884,,,,
108,05/12/20 01:30:00 AM,55.711,,,,
