"Plot Title: 11_PondF_Deep_0.5m"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 20578746, SEN S/N: 20578746)","End Of File (LGR S/N: 20578746)"
1,05/09/20 08:00:00 PM,60.712,
2,05/09/20 08:30:00 PM,60.368,
3,05/09/20 09:00:00 PM,60.195,
4,05/09/20 09:30:00 PM,60.195,
5,05/09/20 10:00:00 PM,59.851,
6,05/09/20 10:30:00 PM,59.851,
7,05/09/20 11:00:00 PM,59.508,
8,05/09/20 11:30:00 PM,59.337,
9,05/10/20 12:00:00 AM,59.164,
10,05/10/20 12:30:00 AM,58.993,
11,05/10/20 01:00:00 AM,58.820,
12,05/10/20 01:30:00 AM,58.647,
13,05/10/20 02:00:00 AM,58.476,
14,05/10/20 02:30:00 AM,58.303,
15,05/10/20 03:00:00 AM,58.131,
16,05/10/20 03:30:00 AM,57.958,
17,05/10/20 04:00:00 AM,57.785,
18,05/10/20 04:30:00 AM,57.441,
19,05/10/20 05:00:00 AM,57.096,
20,05/10/20 05:30:00 AM,56.923,
21,05/10/20 06:00:00 AM,56.577,
22,05/10/20 06:30:00 AM,56.404,
23,05/10/20 07:00:00 AM,56.404,
24,05/10/20 07:30:00 AM,56.230,
25,05/10/20 08:00:00 AM,56.230,
26,05/10/20 08:30:00 AM,56.057,
27,05/10/20 09:00:00 AM,56.230,
28,05/10/20 09:30:00 AM,56.577,
29,05/10/20 10:00:00 AM,56.750,
30,05/10/20 10:30:00 AM,57.096,
31,05/10/20 11:00:00 AM,57.441,
32,05/10/20 11:30:00 AM,57.268,
33,05/10/20 12:00:00 PM,56.404,
34,05/10/20 12:30:00 PM,56.404,
35,05/10/20 01:00:00 PM,56.404,
36,05/10/20 01:30:00 PM,56.404,
37,05/10/20 02:00:00 PM,56.750,
38,05/10/20 02:30:00 PM,56.404,
39,05/10/20 03:00:00 PM,57.096,
40,05/10/20 03:30:00 PM,57.268,
41,05/10/20 04:00:00 PM,56.923,
42,05/10/20 04:30:00 PM,57.614,
43,05/10/20 05:00:00 PM,56.230,
44,05/10/20 05:30:00 PM,56.230,
45,05/10/20 06:00:00 PM,56.057,
46,05/10/20 06:30:00 PM,55.711,
47,05/10/20 07:00:00 PM,55.537,
48,05/10/20 07:30:00 PM,55.537,
49,05/10/20 08:00:00 PM,55.364,
50,05/10/20 08:30:00 PM,55.189,
51,05/10/20 09:00:00 PM,55.017,
52,05/10/20 09:30:00 PM,54.842,
53,05/10/20 10:00:00 PM,54.669,
54,05/10/20 10:30:00 PM,54.669,
55,05/10/20 11:00:00 PM,54.495,
56,05/10/20 11:30:00 PM,54.322,
57,05/11/20 12:00:00 AM,54.322,
58,05/11/20 12:30:00 AM,54.147,
59,05/11/20 01:00:00 AM,54.147,
60,05/11/20 01:30:00 AM,53.973,
61,05/11/20 02:00:00 AM,53.798,
62,05/11/20 02:30:00 AM,53.798,
63,05/11/20 03:00:00 AM,53.623,
64,05/11/20 03:30:00 AM,53.449,
65,05/11/20 04:00:00 AM,53.274,
66,05/11/20 04:30:00 AM,53.274,
67,05/11/20 05:00:00 AM,53.100,
68,05/11/20 05:30:00 AM,53.100,
69,05/11/20 06:00:00 AM,52.925,
70,05/11/20 06:30:00 AM,52.925,
71,05/11/20 07:00:00 AM,52.750,
72,05/11/20 07:30:00 AM,52.750,
73,05/11/20 08:00:00 AM,52.925,
74,05/11/20 08:30:00 AM,52.925,
75,05/11/20 09:00:00 AM,53.100,
76,05/11/20 09:30:00 AM,53.274,
77,05/11/20 10:00:00 AM,53.623,
78,05/11/20 10:30:00 AM,53.973,
79,05/11/20 11:00:00 AM,54.495,
80,05/11/20 11:30:00 AM,54.669,
81,05/11/20 12:00:00 PM,55.189,
82,05/11/20 12:30:00 PM,55.884,
83,05/11/20 01:00:00 PM,55.884,
84,05/11/20 01:30:00 PM,57.096,
85,05/11/20 02:00:00 PM,57.785,
86,05/11/20 02:30:00 PM,58.303,
87,05/11/20 03:00:00 PM,57.441,
88,05/11/20 03:30:00 PM,58.820,
89,05/11/20 04:00:00 PM,58.993,
90,05/11/20 04:30:00 PM,59.337,
91,05/11/20 05:00:00 PM,59.508,
92,05/11/20 05:30:00 PM,59.508,
93,05/11/20 06:00:00 PM,59.508,
94,05/11/20 06:30:00 PM,58.993,
95,05/11/20 07:00:00 PM,59.164,
96,05/11/20 07:30:00 PM,57.958,
97,05/11/20 08:00:00 PM,57.958,
98,05/11/20 08:30:00 PM,57.614,
99,05/11/20 09:00:00 PM,57.268,
100,05/11/20 09:30:00 PM,57.096,
101,05/11/20 10:00:00 PM,56.750,
102,05/11/20 10:30:00 PM,56.577,
103,05/11/20 11:00:00 PM,56.404,
104,05/11/20 11:30:00 PM,56.057,
105,05/12/20 12:00:00 AM,55.884,
106,05/12/20 12:30:00 AM,55.711,
107,05/12/20 01:00:00 AM,55.537,
108,05/12/20 01:30:00 AM,55.537,
109,05/12/20 02:00:00 AM,55.364,
110,05/12/20 02:30:00 AM,55.189,
111,05/12/20 03:00:00 AM,55.017,
112,05/12/20 03:30:00 AM,54.842,
113,05/12/20 04:00:00 AM,54.669,
114,05/12/20 04:30:00 AM,54.669,
115,05/12/20 05:00:00 AM,54.495,
116,05/12/20 05:30:00 AM,54.322,
117,05/12/20 06:00:00 AM,54.322,
118,05/12/20 06:30:00 AM,54.322,
119,05/12/20 07:00:00 AM,54.322,
120,05/12/20 07:30:00 AM,54.322,
121,05/12/20 08:00:00 AM,54.495,
122,05/12/20 08:30:00 AM,54.669,
123,05/12/20 09:00:00 AM,54.669,
124,05/12/20 09:30:00 AM,54.842,
125,05/12/20 10:00:00 AM,55.017,
126,05/12/20 10:30:00 AM,55.537,
127,05/12/20 11:00:00 AM,55.884,
128,05/12/20 11:30:00 AM,56.057,
129,05/12/20 12:00:00 PM,56.750,
130,05/12/20 12:30:00 PM,56.923,
131,05/12/20 01:00:00 PM,57.096,
132,05/12/20 01:30:00 PM,57.268,
133,05/12/20 02:00:00 PM,57.785,
134,05/12/20 02:30:00 PM,57.614,
135,05/12/20 03:00:00 PM,58.820,
136,05/12/20 03:30:00 PM,59.337,
137,05/12/20 04:00:00 PM,59.680,
138,05/12/20 04:30:00 PM,58.647,
139,05/12/20 05:00:00 PM,58.993,
140,05/12/20 05:30:00 PM,60.024,
141,05/12/20 06:00:00 PM,59.508,
142,05/12/20 06:30:00 PM,58.820,
143,05/12/20 07:00:00 PM,58.476,
144,05/12/20 07:30:00 PM,58.476,
145,05/12/20 08:00:00 PM,58.131,
146,05/12/20 08:30:00 PM,57.958,
147,05/12/20 09:00:00 PM,58.131,
148,05/12/20 09:30:00 PM,57.958,
149,05/12/20 10:00:00 PM,58.131,
150,05/12/20 10:30:00 PM,58.131,
151,05/12/20 11:00:00 PM,58.131,
152,05/12/20 11:30:00 PM,58.131,
153,05/13/20 12:00:00 AM,58.131,
154,05/13/20 12:30:00 AM,57.958,
155,05/13/20 01:00:00 AM,57.958,
156,05/13/20 01:30:00 AM,57.785,
157,05/13/20 02:00:00 AM,57.441,
158,05/13/20 02:30:00 AM,57.268,
159,05/13/20 03:00:00 AM,57.096,
160,05/13/20 03:30:00 AM,57.096,
161,05/13/20 04:00:00 AM,56.923,
162,05/13/20 04:30:00 AM,56.750,
163,05/13/20 05:00:00 AM,56.577,
164,05/13/20 05:30:00 AM,56.577,
165,05/13/20 06:00:00 AM,56.404,
166,05/13/20 06:30:00 AM,56.404,
167,05/13/20 07:00:00 AM,56.404,
168,05/13/20 07:30:00 AM,56.577,
169,05/13/20 08:00:00 AM,57.096,
170,05/13/20 08:30:00 AM,57.614,
171,05/13/20 09:00:00 AM,58.647,
172,05/13/20 09:30:00 AM,57.268,
173,05/13/20 10:00:00 AM,57.441,
174,05/13/20 10:30:00 AM,57.785,
175,05/13/20 11:00:00 AM,57.614,
176,05/13/20 11:30:00 AM,57.958,
177,05/13/20 12:00:00 PM,58.131,
178,05/13/20 12:30:00 PM,58.131,
179,05/13/20 01:00:00 PM,58.303,
180,05/13/20 01:30:00 PM,58.131,
181,05/13/20 02:00:00 PM,58.303,
182,05/13/20 02:30:00 PM,58.303,
183,05/13/20 03:00:00 PM,58.131,
184,05/13/20 03:30:00 PM,58.303,
185,05/13/20 04:00:00 PM,58.131,
186,05/13/20 04:30:00 PM,58.131,
187,05/13/20 05:00:00 PM,57.958,
188,05/13/20 05:30:00 PM,57.958,
189,05/13/20 06:00:00 PM,57.958,
190,05/13/20 06:30:00 PM,57.958,
191,05/13/20 07:00:00 PM,57.785,
192,05/13/20 07:30:00 PM,57.785,
193,05/13/20 08:00:00 PM,57.614,
194,05/13/20 08:30:00 PM,57.614,
195,05/13/20 09:00:00 PM,57.441,
196,05/13/20 09:30:00 PM,57.441,
197,05/13/20 10:00:00 PM,57.441,
198,05/13/20 10:30:00 PM,57.441,
199,05/13/20 11:00:00 PM,57.268,
200,05/13/20 11:30:00 PM,57.268,
201,05/14/20 12:00:00 AM,57.268,
202,05/14/20 12:30:00 AM,57.268,
203,05/14/20 01:00:00 AM,57.268,
204,05/14/20 01:30:00 AM,57.096,
205,05/14/20 02:00:00 AM,57.096,
206,05/14/20 02:30:00 AM,57.096,
207,05/14/20 03:00:00 AM,57.096,
208,05/14/20 03:30:00 AM,57.096,
209,05/14/20 04:00:00 AM,57.096,
210,05/14/20 04:30:00 AM,57.096,
211,05/14/20 05:00:00 AM,57.096,
212,05/14/20 05:30:00 AM,57.096,
213,05/14/20 06:00:00 AM,56.923,
214,05/14/20 06:30:00 AM,57.096,
215,05/14/20 07:00:00 AM,57.096,
216,05/14/20 07:30:00 AM,57.096,
217,05/14/20 08:00:00 AM,57.096,
218,05/14/20 08:30:00 AM,57.096,
219,05/14/20 09:00:00 AM,57.441,
220,05/14/20 09:30:00 AM,57.441,
221,05/14/20 10:00:00 AM,57.614,
222,05/14/20 10:30:00 AM,57.441,
223,05/14/20 11:00:00 AM,58.303,
224,05/14/20 11:30:00 AM,58.131,
225,05/14/20 12:00:00 PM,58.131,
226,05/14/20 12:30:00 PM,58.131,
227,05/14/20 01:00:00 PM,58.303,
228,05/14/20 01:30:00 PM,58.647,
229,05/14/20 02:00:00 PM,58.647,
230,05/14/20 02:30:00 PM,60.024,
231,05/14/20 03:00:00 PM,58.993,
232,05/14/20 03:30:00 PM,59.164,
233,05/14/20 04:00:00 PM,58.476,
234,05/14/20 04:30:00 PM,58.476,
235,05/14/20 05:00:00 PM,58.647,
236,05/14/20 05:30:00 PM,58.647,
237,05/14/20 06:00:00 PM,58.647,
238,05/14/20 06:30:00 PM,58.993,
239,05/14/20 07:00:00 PM,58.647,
240,05/14/20 07:30:00 PM,58.820,
241,05/14/20 08:00:00 PM,58.647,
242,05/14/20 08:30:00 PM,58.820,
243,05/14/20 09:00:00 PM,58.647,
244,05/14/20 09:30:00 PM,58.647,
245,05/14/20 10:00:00 PM,58.647,
246,05/14/20 10:30:00 PM,58.647,
247,05/14/20 11:00:00 PM,58.647,
248,05/14/20 11:30:00 PM,58.647,
249,05/15/20 12:00:00 AM,58.647,
250,05/15/20 12:30:00 AM,58.647,
251,05/15/20 01:00:00 AM,58.647,
252,05/15/20 01:30:00 AM,58.647,
253,05/15/20 02:00:00 AM,58.647,
254,05/15/20 02:30:00 AM,58.647,
255,05/15/20 03:00:00 AM,58.820,
256,05/15/20 03:30:00 AM,58.820,
257,05/15/20 04:00:00 AM,58.820,
258,05/15/20 04:30:00 AM,58.820,
259,05/15/20 05:00:00 AM,58.647,
260,05/15/20 05:30:00 AM,58.647,
261,05/15/20 06:00:00 AM,58.647,
262,05/15/20 06:30:00 AM,58.647,
263,05/15/20 07:00:00 AM,58.820,
264,05/15/20 07:30:00 AM,58.820,
265,05/15/20 08:00:00 AM,59.164,
266,05/15/20 08:30:00 AM,59.164,
267,05/15/20 09:00:00 AM,59.337,
268,05/15/20 09:30:00 AM,60.024,
269,05/15/20 10:00:00 AM,60.195,
270,05/15/20 10:30:00 AM,60.712,
271,05/15/20 11:00:00 AM,61.398,
272,05/15/20 11:30:00 AM,61.227,
273,05/15/20 12:00:00 PM,62.083,
274,05/15/20 12:30:00 PM,62.083,
275,05/15/20 01:00:00 PM,62.940,
276,05/15/20 01:30:00 PM,63.626,
277,05/15/20 02:00:00 PM,63.968,
278,05/15/20 02:30:00 PM,64.481,
279,05/15/20 03:00:00 PM,64.996,
280,05/15/20 03:30:00 PM,65.167,
281,05/15/20 04:00:00 PM,65.509,
282,05/15/20 04:30:00 PM,66.022,
283,05/15/20 05:00:00 PM,64.996,
284,05/15/20 05:30:00 PM,65.680,
285,05/15/20 06:00:00 PM,65.680,
286,05/15/20 06:30:00 PM,65.167,
287,05/15/20 07:00:00 PM,64.481,
288,05/15/20 07:30:00 PM,64.139,
289,05/15/20 08:00:00 PM,63.797,
290,05/15/20 08:30:00 PM,63.797,
291,05/15/20 09:00:00 PM,63.626,
292,05/15/20 09:30:00 PM,63.626,
293,05/15/20 10:00:00 PM,63.797,
294,05/15/20 10:30:00 PM,63.626,
295,05/15/20 11:00:00 PM,63.797,
296,05/15/20 11:30:00 PM,63.626,
297,05/16/20 12:00:00 AM,63.626,
298,05/16/20 12:30:00 AM,63.626,
299,05/16/20 01:00:00 AM,63.626,
300,05/16/20 01:30:00 AM,63.626,
301,05/16/20 02:00:00 AM,63.626,
302,05/16/20 02:30:00 AM,63.455,
303,05/16/20 03:00:00 AM,63.282,
304,05/16/20 03:30:00 AM,63.282,
305,05/16/20 04:00:00 AM,62.940,
306,05/16/20 04:30:00 AM,62.940,
307,05/16/20 05:00:00 AM,62.598,
308,05/16/20 05:30:00 AM,62.425,
309,05/16/20 06:00:00 AM,62.254,
310,05/16/20 06:30:00 AM,62.254,
311,05/16/20 07:00:00 AM,62.254,
312,05/16/20 07:30:00 AM,62.425,
313,05/16/20 08:00:00 AM,63.282,
314,05/16/20 08:30:00 AM,63.968,
315,05/16/20 09:00:00 AM,64.139,
316,05/16/20 09:30:00 AM,64.310,
317,05/16/20 10:00:00 AM,64.996,
318,05/16/20 10:30:00 AM,64.996,
319,05/16/20 11:00:00 AM,64.652,
320,05/16/20 11:30:00 AM,64.996,
321,05/16/20 12:00:00 PM,65.338,
322,05/16/20 12:30:00 PM,65.338,
323,05/16/20 01:00:00 PM,65.680,
324,05/16/20 01:30:00 PM,65.851,
325,05/16/20 02:00:00 PM,66.708,
326,05/16/20 02:30:00 PM,65.680,
327,05/16/20 03:00:00 PM,65.680,
328,05/16/20 03:30:00 PM,66.022,
329,05/16/20 04:00:00 PM,65.680,
330,05/16/20 04:30:00 PM,65.509,
331,05/16/20 05:00:00 PM,65.509,
332,05/16/20 05:30:00 PM,65.509,
333,05/16/20 06:00:00 PM,65.680,
334,05/16/20 06:30:00 PM,65.680,
335,05/16/20 07:00:00 PM,65.680,
336,05/16/20 07:30:00 PM,65.509,
337,05/16/20 08:00:00 PM,65.338,
338,05/16/20 08:30:00 PM,65.338,
339,05/16/20 09:00:00 PM,65.338,
340,05/16/20 09:30:00 PM,65.338,
341,05/16/20 10:00:00 PM,65.338,
342,05/16/20 10:30:00 PM,65.338,
343,05/16/20 11:00:00 PM,65.509,
344,05/16/20 11:30:00 PM,65.338,
345,05/17/20 12:00:00 AM,65.167,
346,05/17/20 12:30:00 AM,65.338,
347,05/17/20 01:00:00 AM,65.338,
348,05/17/20 01:30:00 AM,65.167,
349,05/17/20 02:00:00 AM,65.338,
350,05/17/20 02:30:00 AM,65.338,
351,05/17/20 03:00:00 AM,65.680,
352,05/17/20 03:30:00 AM,65.851,
353,05/17/20 04:00:00 AM,65.680,
354,05/17/20 04:30:00 AM,65.509,
355,05/17/20 05:00:00 AM,65.338,
356,05/17/20 05:30:00 AM,65.338,
357,05/17/20 06:00:00 AM,65.509,
358,05/17/20 06:30:00 AM,65.338,
359,05/17/20 07:00:00 AM,65.338,
360,05/17/20 07:30:00 AM,65.338,
361,05/17/20 08:00:00 AM,65.338,
362,05/17/20 08:30:00 AM,65.338,
363,05/17/20 09:00:00 AM,65.338,
364,05/17/20 09:30:00 AM,65.338,
365,05/17/20 10:00:00 AM,65.338,
366,05/17/20 10:30:00 AM,65.509,
367,05/17/20 11:00:00 AM,65.509,
368,05/17/20 11:30:00 AM,65.680,
369,05/17/20 12:00:00 PM,65.338,
370,05/17/20 12:30:00 PM,65.338,
371,05/17/20 01:00:00 PM,65.509,
372,05/17/20 01:30:00 PM,65.680,
373,05/17/20 02:00:00 PM,65.851,
374,05/17/20 02:30:00 PM,66.366,
375,05/17/20 03:00:00 PM,66.193,
376,05/17/20 03:30:00 PM,66.022,
377,05/17/20 04:00:00 PM,66.022,
378,05/17/20 04:30:00 PM,65.851,
379,05/17/20 05:00:00 PM,67.221,
380,05/17/20 05:30:00 PM,66.022,
381,05/17/20 06:00:00 PM,65.851,
382,05/17/20 06:30:00 PM,65.509,
383,05/17/20 07:00:00 PM,65.338,
384,05/17/20 07:30:00 PM,65.167,
385,05/17/20 08:00:00 PM,64.996,
386,05/17/20 08:30:00 PM,64.825,
387,05/17/20 09:00:00 PM,64.652,
388,05/17/20 09:30:00 PM,64.481,
389,05/17/20 10:00:00 PM,64.310,
390,05/17/20 10:30:00 PM,64.139,
391,05/17/20 11:00:00 PM,64.139,
392,05/17/20 11:30:00 PM,63.968,
393,05/18/20 12:00:00 AM,63.797,
394,05/18/20 12:30:00 AM,63.626,
395,05/18/20 01:00:00 AM,63.455,
396,05/18/20 01:30:00 AM,63.455,
397,05/18/20 02:00:00 AM,63.282,
398,05/18/20 02:30:00 AM,63.111,
399,05/18/20 03:00:00 AM,62.940,
400,05/18/20 03:30:00 AM,62.940,
401,05/18/20 04:00:00 AM,62.769,
402,05/18/20 04:30:00 AM,62.598,
403,05/18/20 05:00:00 AM,62.425,
404,05/18/20 05:30:00 AM,62.425,
405,05/18/20 06:00:00 AM,62.254,
406,05/18/20 06:30:00 AM,62.083,
407,05/18/20 07:00:00 AM,62.083,
408,05/18/20 07:30:00 AM,62.083,
409,05/18/20 08:00:00 AM,62.083,
410,05/18/20 08:30:00 AM,62.425,
411,05/18/20 09:00:00 AM,62.425,
412,05/18/20 09:30:00 AM,62.425,
413,05/18/20 10:00:00 AM,62.598,
414,05/18/20 10:30:00 AM,62.598,
415,05/18/20 11:00:00 AM,62.940,
416,05/18/20 11:30:00 AM,62.769,
417,05/18/20 12:00:00 PM,62.598,
418,05/18/20 12:30:00 PM,62.769,
419,05/18/20 01:00:00 PM,62.598,
420,05/18/20 01:30:00 PM,63.455,
421,05/18/20 02:00:00 PM,62.940,
422,05/18/20 02:30:00 PM,62.940,
423,05/18/20 03:00:00 PM,63.111,
424,05/18/20 03:30:00 PM,62.940,
425,05/18/20 04:00:00 PM,62.940,
426,05/18/20 04:30:00 PM,62.769,
427,05/18/20 05:00:00 PM,62.940,
428,05/18/20 05:30:00 PM,62.940,
429,05/18/20 06:00:00 PM,62.769,
430,05/18/20 06:30:00 PM,62.598,
431,05/18/20 07:00:00 PM,62.425,
432,05/18/20 07:30:00 PM,62.425,
433,05/18/20 08:00:00 PM,62.425,
434,05/18/20 08:30:00 PM,62.254,
435,05/18/20 09:00:00 PM,62.254,
436,05/18/20 09:30:00 PM,62.083,
437,05/18/20 10:00:00 PM,62.083,
438,05/18/20 10:30:00 PM,62.083,
439,05/18/20 11:00:00 PM,61.912,
440,05/18/20 11:30:00 PM,61.912,
441,05/19/20 12:00:00 AM,61.912,
442,05/19/20 12:30:00 AM,61.741,
443,05/19/20 01:00:00 AM,61.741,
444,05/19/20 01:30:00 AM,61.741,
445,05/19/20 02:00:00 AM,61.569,
