MiniDOT Logger Concatenated Data File
Sensor:             7450-207070
Concatenation Date: 2020Jul10 13:06:36 CDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at pressure: 1013.0 (mbar)

            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1591993500,           2020-06-12 20:25:00,           2020-06-12 15:25:00,      3.140000,     24.087000,          6.994000,                    83.242909,      0.966000
                1591995300,           2020-06-12 20:55:00,           2020-06-12 15:55:00,      3.140000,     24.129000,          4.418000,                    52.624470,      0.915000
                1591997100,           2020-06-12 21:25:00,           2020-06-12 16:25:00,      3.140000,     24.171000,          5.318000,                    63.394349,      0.950000
                1591998900,           2020-06-12 21:55:00,           2020-06-12 16:55:00,      3.140000,     24.272000,          5.533000,                    66.081535,      0.956000
                1592000700,           2020-06-12 22:25:00,           2020-06-12 17:25:00,      3.140000,     24.339000,          6.337000,                    75.778260,      0.963000
                1592002500,           2020-06-12 22:55:00,           2020-06-12 17:55:00,      3.140000,     24.398000,          5.569000,                    66.667554,      0.958000
                1592004300,           2020-06-12 23:25:00,           2020-06-12 18:25:00,      3.140000,     24.457000,          5.898000,                    70.683501,      0.963000
                1592006100,           2020-06-12 23:55:00,           2020-06-12 18:55:00,      3.140000,     24.490000,          6.062000,                    72.693447,      0.964000
                1592007900,           2020-06-13 00:25:00,           2020-06-12 19:25:00,      3.140000,     24.499000,          6.184000,                    74.168816,      0.965000
                1592009700,           2020-06-13 00:55:00,           2020-06-12 19:55:00,      3.140000,     24.524000,          6.387000,                    76.639070,      0.965000
                1592011500,           2020-06-13 01:25:00,           2020-06-12 20:25:00,      3.140000,     24.532000,          6.555000,                    78.666613,      0.966000
                1592013300,           2020-06-13 01:55:00,           2020-06-12 20:55:00,      3.140000,     24.549000,          3.698000,                    44.393725,      0.965000
                1592015100,           2020-06-13 02:25:00,           2020-06-12 21:25:00,      3.140000,     24.566000,          4.251000,                    51.048463,      0.965000
                1592016900,           2020-06-13 02:55:00,           2020-06-12 21:55:00,      3.140000,     24.583000,          4.736000,                    56.890548,      0.965000
                1592018700,           2020-06-13 03:25:00,           2020-06-12 22:25:00,      3.140000,     24.616000,          5.136000,                    61.733231,      0.965000
                1592020500,           2020-06-13 03:55:00,           2020-06-12 22:55:00,      3.140000,     24.633000,          5.550000,                    66.730401,      0.966000
                1592022300,           2020-06-13 04:25:00,           2020-06-12 23:25:00,      3.140000,     24.650000,          5.766000,                    69.349305,      0.965000
                1592024100,           2020-06-13 04:55:00,           2020-06-12 23:55:00,      3.140000,     24.650000,          5.949000,                    71.550297,      0.965000
                1592025900,           2020-06-13 05:25:00,           2020-06-13 00:25:00,      3.140000,     24.658000,          6.178000,                    74.315552,      0.966000
                1592027700,           2020-06-13 05:55:00,           2020-06-13 00:55:00,      3.140000,     24.683000,          6.461000,                    77.755752,      0.966000
                1592029500,           2020-06-13 06:25:00,           2020-06-13 01:25:00,      3.140000,     24.574000,          6.760000,                    81.190024,      0.967000
                1592031300,           2020-06-13 06:55:00,           2020-06-13 01:55:00,      3.140000,     24.457000,          6.715000,                    80.474688,      0.967000
                1592033100,           2020-06-13 07:25:00,           2020-06-13 02:25:00,      3.130000,     24.297000,          4.647000,                    55.525724,      0.965000
                1592034900,           2020-06-13 07:55:00,           2020-06-13 02:55:00,      3.130000,     24.138000,          5.561000,                    66.250298,      0.966000
                1592036700,           2020-06-13 08:25:00,           2020-06-13 03:25:00,      3.130000,     23.987000,          5.789000,                    68.772348,      0.966000
