MiniDOT Logger Concatenated Data File
Sensor:             7450-200037
Concatenation Date: 2020Jul10 12:39:14 CDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at pressure: 1013.0 (mbar)

            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1591991760,           2020-06-12 19:56:00,           2020-06-12 14:56:00,      3.130000,     25.550000,         15.785000,                   193.020520,      0.984000
                1591993560,           2020-06-12 20:26:00,           2020-06-12 15:26:00,      3.130000,     25.812000,         17.079000,                   209.844606,      0.984000
                1591995360,           2020-06-12 20:56:00,           2020-06-12 15:56:00,      3.120000,     26.040000,         16.565000,                   204.374968,      0.983000
                1591997160,           2020-06-12 21:26:00,           2020-06-12 16:26:00,      3.120000,     26.243000,         16.454000,                   203.754137,      0.985000
                1591998960,           2020-06-12 21:56:00,           2020-06-12 16:56:00,      3.120000,     26.489000,         16.089000,                   200.122254,      0.983000
                1592000760,           2020-06-12 22:26:00,           2020-06-12 17:26:00,      3.120000,     26.624000,         12.595000,                   157.044120,      0.985000
                1592002560,           2020-06-12 22:56:00,           2020-06-12 17:56:00,      3.120000,     26.760000,         13.247000,                   165.578562,      0.984000
                1592004360,           2020-06-12 23:26:00,           2020-06-12 18:26:00,      3.120000,     26.879000,         13.833000,                   173.273255,      0.984000
                1592006160,           2020-06-12 23:56:00,           2020-06-12 18:56:00,      3.120000,     26.929000,         14.118000,                   177.001953,      0.985000
                1592007960,           2020-06-13 00:26:00,           2020-06-12 19:26:00,      3.120000,     26.913000,         14.263000,                   178.768534,      0.984000
                1592009760,           2020-06-13 00:56:00,           2020-06-12 19:56:00,      3.120000,     26.896000,         13.526000,                   169.479462,      0.984000
                1592011560,           2020-06-13 01:26:00,           2020-06-12 20:26:00,      3.120000,     26.929000,         13.220000,                   165.743435,      0.984000
                1592013360,           2020-06-13 01:56:00,           2020-06-12 20:56:00,      3.120000,     26.946000,         13.427000,                   168.390007,      0.984000
                1592015160,           2020-06-13 02:26:00,           2020-06-12 21:26:00,      3.120000,     26.963000,         12.532000,                   157.213606,      0.985000
