"Plot Title: 39_PondB_Deep_0.5m"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 20181769, SEN S/N: 20181769)","Coupler Attached (LGR S/N: 20181769)","Host Connected (LGR S/N: 20181769)","Stopped (LGR S/N: 20181769)","End Of File (LGR S/N: 20181769)"
1,05/09/20 08:00:00 PM,61.912,,,,
2,05/09/20 08:30:00 PM,61.569,,,,
3,05/09/20 09:00:00 PM,61.227,,,,
4,05/09/20 09:30:00 PM,61.398,,,,
5,05/09/20 10:00:00 PM,61.054,,,,
6,05/09/20 10:30:00 PM,60.712,,,,
7,05/09/20 11:00:00 PM,60.368,,,,
8,05/09/20 11:30:00 PM,60.024,,,,
9,05/10/20 12:00:00 AM,59.851,,,,
10,05/10/20 12:30:00 AM,59.508,,,,
11,05/10/20 01:00:00 AM,59.164,,,,
12,05/10/20 01:30:00 AM,58.993,,,,
13,05/10/20 02:00:00 AM,58.820,,,,
14,05/10/20 02:30:00 AM,58.647,,,,
15,05/10/20 03:00:00 AM,58.476,,,,
16,05/10/20 03:30:00 AM,58.131,,,,
17,05/10/20 04:00:00 AM,57.958,,,,
18,05/10/20 04:30:00 AM,57.785,,,,
19,05/10/20 05:00:00 AM,57.441,,,,
20,05/10/20 05:30:00 AM,57.096,,,,
21,05/10/20 06:00:00 AM,56.923,,,,
22,05/10/20 06:30:00 AM,56.750,,,,
23,05/10/20 07:00:00 AM,56.577,,,,
24,05/10/20 07:30:00 AM,56.577,,,,
25,05/10/20 08:00:00 AM,56.923,,,,
26,05/10/20 08:30:00 AM,56.750,,,,
27,05/10/20 09:00:00 AM,56.750,,,,
28,05/10/20 09:30:00 AM,57.785,,,,
29,05/10/20 10:00:00 AM,58.303,,,,
30,05/10/20 10:30:00 AM,57.958,,,,
31,05/10/20 11:00:00 AM,58.993,,,,
32,05/10/20 11:30:00 AM,58.131,,,,
33,05/10/20 12:00:00 PM,57.268,,,,
34,05/10/20 12:30:00 PM,57.268,,,,
35,05/10/20 01:00:00 PM,57.268,,,,
36,05/10/20 01:30:00 PM,57.096,,,,
37,05/10/20 02:00:00 PM,57.268,,,,
38,05/10/20 02:30:00 PM,57.268,,,,
39,05/10/20 03:00:00 PM,57.441,,,,
40,05/10/20 03:30:00 PM,57.785,,,,
41,05/10/20 04:00:00 PM,57.614,,,,
42,05/10/20 04:30:00 PM,58.131,,,,
43,05/10/20 05:00:00 PM,57.441,,,,
44,05/10/20 05:30:00 PM,57.268,,,,
45,05/10/20 06:00:00 PM,56.923,,,,
46,05/10/20 06:30:00 PM,56.750,,,,
47,05/10/20 07:00:00 PM,56.577,,,,
48,05/10/20 07:30:00 PM,56.404,,,,
49,05/10/20 08:00:00 PM,56.230,,,,
50,05/10/20 08:30:00 PM,56.057,,,,
51,05/10/20 09:00:00 PM,55.884,,,,
52,05/10/20 09:30:00 PM,55.711,,,,
53,05/10/20 10:00:00 PM,55.537,,,,
54,05/10/20 10:30:00 PM,55.364,,,,
55,05/10/20 11:00:00 PM,55.189,,,,
56,05/10/20 11:30:00 PM,55.189,,,,
57,05/11/20 12:00:00 AM,55.017,,,,
58,05/11/20 12:30:00 AM,54.842,,,,
59,05/11/20 01:00:00 AM,54.669,,,,
60,05/11/20 01:30:00 AM,54.669,,,,
61,05/11/20 02:00:00 AM,54.495,,,,
62,05/11/20 02:30:00 AM,54.322,,,,
63,05/11/20 03:00:00 AM,54.147,,,,
64,05/11/20 03:30:00 AM,53.973,,,,
65,05/11/20 04:00:00 AM,53.973,,,,
66,05/11/20 04:30:00 AM,53.798,,,,
67,05/11/20 05:00:00 AM,53.623,,,,
68,05/11/20 05:30:00 AM,53.449,,,,
69,05/11/20 06:00:00 AM,53.274,,,,
70,05/11/20 06:30:00 AM,53.274,,,,
71,05/11/20 07:00:00 AM,53.100,,,,
72,05/11/20 07:30:00 AM,53.100,,,,
73,05/11/20 08:00:00 AM,53.100,,,,
74,05/11/20 08:30:00 AM,53.274,,,,
75,05/11/20 09:00:00 AM,53.274,,,,
76,05/11/20 09:30:00 AM,53.623,,,,
77,05/11/20 10:00:00 AM,53.798,,,,
78,05/11/20 10:30:00 AM,54.495,,,,
79,05/11/20 11:00:00 AM,54.842,,,,
80,05/11/20 11:30:00 AM,54.495,,,,
81,05/11/20 12:00:00 PM,55.017,,,,
82,05/11/20 12:30:00 PM,55.189,,,,
83,05/11/20 01:00:00 PM,55.884,,,,
84,05/11/20 01:30:00 PM,56.230,,,,
85,05/11/20 02:00:00 PM,56.577,,,,
86,05/11/20 02:30:00 PM,56.404,,,,
87,05/11/20 03:00:00 PM,56.923,,,,
88,05/11/20 03:30:00 PM,57.268,,,,
89,05/11/20 04:00:00 PM,57.268,,,,
90,05/11/20 04:30:00 PM,57.441,,,,
91,05/11/20 05:00:00 PM,58.820,,,,
92,05/11/20 05:30:00 PM,57.958,,,,
93,05/11/20 06:00:00 PM,58.131,,,,
94,05/11/20 06:30:00 PM,57.958,,,,
95,05/11/20 07:00:00 PM,57.785,,,,
96,05/11/20 07:30:00 PM,57.785,,,,
97,05/11/20 08:00:00 PM,57.785,,,,
98,05/11/20 08:30:00 PM,57.785,,,,
99,05/11/20 09:00:00 PM,57.785,,,,
100,05/11/20 09:30:00 PM,57.785,,,,
101,05/11/20 10:00:00 PM,57.785,,,,
102,05/11/20 10:30:00 PM,57.785,,,,
103,05/11/20 11:00:00 PM,57.785,,,,
104,05/11/20 11:30:00 PM,57.785,,,,
105,05/12/20 12:00:00 AM,57.441,,,,
106,05/12/20 12:30:00 AM,57.096,,,,
107,05/12/20 01:00:00 AM,56.923,,,,
108,05/12/20 01:30:00 AM,56.577,,,,
109,05/12/20 02:00:00 AM,56.404,,,,
110,05/12/20 02:30:00 AM,56.057,,,,
111,05/12/20 03:00:00 AM,55.884,,,,
112,05/12/20 03:30:00 AM,55.711,,,,
113,05/12/20 04:00:00 AM,55.537,,,,
114,05/12/20 04:30:00 AM,55.364,,,,
115,05/12/20 05:00:00 AM,55.189,,,,
116,05/12/20 05:30:00 AM,55.017,,,,
117,05/12/20 06:00:00 AM,54.842,,,,
118,05/12/20 06:30:00 AM,54.669,,,,
119,05/12/20 07:00:00 AM,54.669,,,,
120,05/12/20 07:30:00 AM,54.669,,,,
121,05/12/20 08:00:00 AM,54.842,,,,
122,05/12/20 08:30:00 AM,55.017,,,,
123,05/12/20 09:00:00 AM,55.189,,,,
124,05/12/20 09:30:00 AM,55.189,,,,
125,05/12/20 10:00:00 AM,55.364,,,,
126,05/12/20 10:30:00 AM,55.884,,,,
127,05/12/20 11:00:00 AM,56.057,,,,
128,05/12/20 11:30:00 AM,56.577,,,,
129,05/12/20 12:00:00 PM,56.750,,,,
130,05/12/20 12:30:00 PM,57.096,,,,
131,05/12/20 01:00:00 PM,57.268,,,,
132,05/12/20 01:30:00 PM,57.441,,,,
133,05/12/20 02:00:00 PM,57.614,,,,
134,05/12/20 02:30:00 PM,57.785,,,,
135,05/12/20 03:00:00 PM,58.131,,,,
136,05/12/20 03:30:00 PM,58.303,,,,
137,05/12/20 04:00:00 PM,58.647,,,,
138,05/12/20 04:30:00 PM,58.993,,,,
139,05/12/20 05:00:00 PM,59.164,,,,
140,05/12/20 05:30:00 PM,59.337,,,,
141,05/12/20 06:00:00 PM,58.993,,,,
142,05/12/20 06:30:00 PM,58.993,,,,
143,05/12/20 07:00:00 PM,58.993,,,,
144,05/12/20 07:30:00 PM,58.993,,,,
145,05/12/20 08:00:00 PM,58.993,,,,
146,05/12/20 08:30:00 PM,58.820,,,,
147,05/12/20 09:00:00 PM,58.820,,,,
148,05/12/20 09:30:00 PM,58.820,,,,
149,05/12/20 10:00:00 PM,58.820,,,,
150,05/12/20 10:30:00 PM,58.993,,,,
151,05/12/20 11:00:00 PM,58.993,,,,
152,05/12/20 11:30:00 PM,58.993,,,,
153,05/13/20 12:00:00 AM,58.993,,,,
154,05/13/20 12:30:00 AM,58.993,,,,
155,05/13/20 01:00:00 AM,58.993,,,,
156,05/13/20 01:30:00 AM,58.820,,,,
157,05/13/20 02:00:00 AM,58.820,,,,
158,05/13/20 02:30:00 AM,58.476,,,,
159,05/13/20 03:00:00 AM,58.303,,,,
160,05/13/20 03:30:00 AM,58.131,,,,
161,05/13/20 04:00:00 AM,57.958,,,,
162,05/13/20 04:30:00 AM,57.614,,,,
163,05/13/20 05:00:00 AM,57.441,,,,
164,05/13/20 05:30:00 AM,57.441,,,,
165,05/13/20 06:00:00 AM,57.096,,,,
166,05/13/20 06:30:00 AM,57.096,,,,
167,05/13/20 07:00:00 AM,57.268,,,,
168,05/13/20 07:30:00 AM,57.441,,,,
169,05/13/20 08:00:00 AM,57.614,,,,
170,05/13/20 08:30:00 AM,58.131,,,,
171,05/13/20 09:00:00 AM,58.647,,,,
172,05/13/20 09:30:00 AM,57.785,,,,
173,05/13/20 10:00:00 AM,57.958,,,,
174,05/13/20 10:30:00 AM,58.131,,,,
175,05/13/20 11:00:00 AM,58.131,,,,
176,05/13/20 11:30:00 AM,58.476,,,,
177,05/13/20 12:00:00 PM,58.476,,,,
178,05/13/20 12:30:00 PM,58.647,,,,
179,05/13/20 01:00:00 PM,58.476,,,,
180,05/13/20 01:30:00 PM,58.476,,,,
181,05/13/20 02:00:00 PM,58.476,,,,
182,05/13/20 02:30:00 PM,58.476,,,,
183,05/13/20 03:00:00 PM,58.476,,,,
184,05/13/20 03:30:00 PM,58.647,,,,
185,05/13/20 04:00:00 PM,58.647,,,,
186,05/13/20 04:30:00 PM,58.476,,,,
187,05/13/20 05:00:00 PM,58.476,,,,
188,05/13/20 05:30:00 PM,58.303,,,,
189,05/13/20 06:00:00 PM,58.303,,,,
190,05/13/20 06:30:00 PM,58.303,,,,
191,05/13/20 07:00:00 PM,58.131,,,,
192,05/13/20 07:30:00 PM,58.131,,,,
193,05/13/20 08:00:00 PM,58.131,,,,
194,05/13/20 08:30:00 PM,57.958,,,,
195,05/13/20 09:00:00 PM,57.958,,,,
196,05/13/20 09:30:00 PM,57.785,,,,
197,05/13/20 10:00:00 PM,57.785,,,,
198,05/13/20 10:30:00 PM,57.785,,,,
199,05/13/20 11:00:00 PM,57.614,,,,
200,05/13/20 11:30:00 PM,57.614,,,,
201,05/14/20 12:00:00 AM,57.614,,,,
202,05/14/20 12:30:00 AM,57.441,,,,
203,05/14/20 01:00:00 AM,57.441,,,,
204,05/14/20 01:30:00 AM,57.441,,,,
205,05/14/20 02:00:00 AM,57.441,,,,
206,05/14/20 02:30:00 AM,57.268,,,,
207,05/14/20 03:00:00 AM,57.268,,,,
208,05/14/20 03:30:00 AM,57.268,,,,
209,05/14/20 04:00:00 AM,57.268,,,,
210,05/14/20 04:30:00 AM,57.268,,,,
211,05/14/20 05:00:00 AM,57.096,,,,
212,05/14/20 05:30:00 AM,57.096,,,,
213,05/14/20 06:00:00 AM,57.096,,,,
214,05/14/20 06:30:00 AM,57.096,,,,
215,05/14/20 07:00:00 AM,57.096,,,,
216,05/14/20 07:30:00 AM,57.096,,,,
217,05/14/20 08:00:00 AM,57.096,,,,
218,05/14/20 08:30:00 AM,57.268,,,,
219,05/14/20 09:00:00 AM,57.441,,,,
220,05/14/20 09:30:00 AM,57.441,,,,
221,05/14/20 10:00:00 AM,57.614,,,,
222,05/14/20 10:30:00 AM,57.441,,,,
223,05/14/20 11:00:00 AM,57.785,,,,
224,05/14/20 11:30:00 AM,58.131,,,,
225,05/14/20 12:00:00 PM,57.958,,,,
226,05/14/20 12:30:00 PM,57.958,,,,
227,05/14/20 01:00:00 PM,58.303,,,,
228,05/14/20 01:30:00 PM,58.647,,,,
229,05/14/20 02:00:00 PM,58.647,,,,
230,05/14/20 02:30:00 PM,59.851,,,,
231,05/14/20 03:00:00 PM,59.508,,,,
232,05/14/20 03:30:00 PM,59.680,,,,
233,05/14/20 04:00:00 PM,59.164,,,,
234,05/14/20 04:30:00 PM,59.164,,,,
235,05/14/20 05:00:00 PM,59.164,,,,
236,05/14/20 05:30:00 PM,59.508,,,,
237,05/14/20 06:00:00 PM,59.337,,,,
238,05/14/20 06:30:00 PM,59.851,,,,
239,05/14/20 07:00:00 PM,59.508,,,,
240,05/14/20 07:30:00 PM,59.337,,,,
241,05/14/20 08:00:00 PM,59.337,,,,
242,05/14/20 08:30:00 PM,59.337,,,,
243,05/14/20 09:00:00 PM,59.337,,,,
244,05/14/20 09:30:00 PM,59.337,,,,
