MiniDOT Logger Concatenated Data File
Sensor:             7450-192908
Concatenation Date: 2020May29 10:32:16 CDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at pressure: 1013.0 (mbar)

            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1589053740,           2020-05-09 19:49:00,           2020-05-09 14:49:00,      3.170000,     16.118000,         15.493000,                   157.399096,      0.966000
                1589055540,           2020-05-09 20:19:00,           2020-05-09 15:19:00,      3.170000,     16.424000,         15.908000,                   162.663348,      0.966000
                1589057340,           2020-05-09 20:49:00,           2020-05-09 15:49:00,      3.170000,     16.620000,         15.459000,                   158.725293,      0.965000
                1589059140,           2020-05-09 21:19:00,           2020-05-09 16:19:00,      3.170000,     16.628000,         15.405000,                   158.197423,      0.966000
                1589060940,           2020-05-09 21:49:00,           2020-05-09 16:49:00,      3.170000,     17.010000,         14.504000,                   150.140555,      0.966000
                1589062740,           2020-05-09 22:19:00,           2020-05-09 17:19:00,      3.170000,     16.993000,         15.832000,                   163.829438,      0.967000
                1589064540,           2020-05-09 22:49:00,           2020-05-09 17:49:00,      3.170000,     16.866000,         15.993000,                   165.056928,      0.968000
                1589066340,           2020-05-09 23:19:00,           2020-05-09 18:19:00,      3.170000,     16.917000,         15.290000,                   157.969903,      0.966000
                1589068140,           2020-05-09 23:49:00,           2020-05-09 18:49:00,      3.170000,     17.103000,         15.371000,                   159.424255,      0.967000
                1589069940,           2020-05-10 00:19:00,           2020-05-09 19:19:00,      3.170000,     16.985000,         15.257000,                   157.852982,      0.965000
                1589071740,           2020-05-10 00:49:00,           2020-05-09 19:49:00,      3.170000,     16.798000,         15.066000,                   155.268649,      0.967000
                1589073540,           2020-05-10 01:19:00,           2020-05-09 20:19:00,      3.170000,     16.611000,         14.834000,                   152.279318,      0.965000
                1589075340,           2020-05-10 01:49:00,           2020-05-09 20:49:00,      3.170000,     16.450000,         14.834000,                   151.764526,      0.965000
                1589077140,           2020-05-10 02:19:00,           2020-05-09 21:19:00,      3.170000,     16.339000,         14.764000,                   150.695324,      0.966000
                1589078940,           2020-05-10 02:49:00,           2020-05-09 21:49:00,      3.170000,     16.220000,         14.537000,                   148.005863,      0.966000
                1589080740,           2020-05-10 03:19:00,           2020-05-09 22:19:00,      3.170000,     16.084000,         14.724000,                   149.478830,      0.965000
                1589082540,           2020-05-10 03:49:00,           2020-05-09 22:49:00,      3.170000,     15.870000,         14.611000,                   147.659258,      0.965000
                1589084340,           2020-05-10 04:19:00,           2020-05-09 23:19:00,      3.170000,     15.691000,         14.654000,                   147.530219,      0.966000
                1589086140,           2020-05-10 04:49:00,           2020-05-09 23:49:00,      3.170000,     15.511000,         14.665000,                   147.074229,      0.965000
