sample_id,pond_id,site_id,week,date,time,diam_chamber,vol_chamber,notes
E20A152P1,A,deep,2,5/31/2020,14:58,23,4.5,
E20B152P1,B,deep,2,5/31/2020,14:51,23,4.5,
E20B152P2,B,deep,2,5/31/2020,15:52,23,4.5,
E20B152P3,B,deep,2,5/31/2020,14:54,23,4.5,
E20C152P1,C,deep,2,5/31/2020,14:47,23,4.5,
E20D152P1,D,deep,2,5/31/2020,14:43,23,4.5,
E20E152P1,E,deep,2,5/31/2020,14:40,23,4.5,
E20F152P1,F,deep,2,5/31/2020,14:31,23,4.5,
E20F152P2,F,deep,2,5/31/2020,14:33,23,4.5,
E20F152P3,F,deep,2,5/31/2020,14:35,23,4.5,
E20A153P1,A,deep,2,6/1/2020,13:21,23,4.5,under dock at end
E20B153P1,B,deep,2,6/1/2020,13:13,23,4.5,
E20B153P2,B,deep,2,6/1/2020,13:15,23,4.5,
E20B153P3,B,deep,2,6/1/2020,13:17,23,4.5,
E20C153P1,C,deep,2,6/1/2020,13:10,23,4.5,
E20D153P1,D,deep,2,6/1/2020,13:07,23,4.5,
E20E153P1,E,deep,2,6/1/2020,13:04,23,4.5,
E20F153P1,F,deep,2,6/1/2020,12:59,23,4.5,
E20F153P2,F,deep,2,6/1/2020,13:00,23,4.5,
E20F153P3,F,deep,2,6/1/2020,13:01,23,4.5,
E20A159P1,A,deep,3,6/7/2020,13:11,23,4.5,
E20B159P1,B,deep,3,6/7/2020,13:17,23,4.5,
E20B159P2,B,deep,3,6/7/2020,13:18,23,4.5,
E20B159P3,B,deep,3,6/7/2020,13:19,23,4.5,
E20C159P1,C,deep,3,6/7/2020,13:23,23,4.5,
E20D159P1,D,deep,3,6/7/2020,13:25,23,4.5,
E20E159P1,E,deep,3,6/7/2020,13:28,23,4.5,
E20F159P1,F,deep,3,6/7/2020,13:31,23,4.5,
E20F159P2,F,deep,3,6/7/2020,13:32,23,4.5,
E20F159P3,F,deep,3,6/7/2020,13:34,23,4.5,
E20A160P1,A,deep,3,6/8/2020,12:10,23,4.5,
E20B160P1,B,deep,3,6/8/2020,12:03,23,4.5,
E20B160P2,B,deep,3,6/8/2020,12:04,23,4.5,
E20B160P3,B,deep,3,6/8/2020,12:05,23,4.5,
E20C160P1,C,deep,3,6/8/2020,12:00,23,4.5,
E20D160P1,D,deep,3,6/8/2020,11:54,23,4.5,
E20E160P1,E,deep,3,6/8/2020,11:51,23,4.5,
E20F160P1,F,deep,3,6/8/2020,11:45,23,4.5,
E20F160P2,F,deep,3,6/8/2020,11:47,23,4.5,
E20F160P3,F,deep,3,6/8/2020,11:48,23,4.5,
E20A166P1,A,deep,4,6/14/2020,13:47,23,4.5,
E20B166P1,B,deep,4,6/14/2020,13:42,23,4.5,
E20B166P2,B,deep,4,6/14/2020,13:43,23,4.5,
E20B166P3,B,deep,4,6/14/2020,13:45,23,4.5,
E20C166P1,C,deep,4,6/14/2020,13:38,23,4.5,
E20D166P1,D,deep,4,6/14/2020,13:35,23,4.5,
E20E166P1,E,deep,4,6/14/2020,13:31,23,4.5,
E20F166P1,F,deep,4,6/14/2020,13:24,23,4.5,
E20F166P2,F,deep,4,6/14/2020,13:26,23,4.5,
E20F166P3,F,deep,4,6/14/2020,13:29,23,4.5,
E20A167P1,A,deep,4,6/15/2020,12:44,23,4.5,
E20B167P1,B,deep,4,6/15/2020,12:33,23,4.5,
E20B167P2,B,deep,4,6/15/2020,12:40,23,4.5,under dock at end
E20B167P3,B,deep,4,6/15/2020,12:38,23,4.5,
E20C167P1,C,deep,4,6/15/2020,12:27,23,4.5,
E20D167P1,D,deep,4,6/15/2020,12:24,23,4.5,
