"pond_id","week","doy","ch4_ebu_flux","flag"
"A",2,153,NA,"a"
"A",3,160,NA,"a"
"A",4,167,NA,"a"
"A",5,174,8.66653869194148,NA
"A",6,180,0.169788677670214,NA
"A",7,189,1.43994948371483,NA
"A",8,195,3.24029331833447,NA
"A",9,202,0,NA
"A",10,209,5.81501079160793,NA
"A",11,216,2.51555734650229,NA
"A",12,222,7.90554994510713,NA
"A",13,229,0,NA
"A",14,236,1.69709567519268,NA
"B",2,153,0,NA
"B",3,160,8.18257662696761,NA
"B",4,167,7.7144067291074,NA
"B",5,174,7.79077926676806,NA
"B",6,180,13.7522022882763,NA
"B",7,189,11.9879345328345,NA
"B",8,195,0,NA
"B",9,202,0,NA
"B",10,209,0,NA
"B",11,216,1.31978125664714,NA
"B",12,222,0,NA
"B",13,229,0,NA
"B",14,236,1.7644656220549,NA
"C",2,153,NA,"a"
"C",3,160,NA,"a"
"C",4,167,NA,"a"
"C",5,174,1.73826667706582,NA
"C",6,180,0,NA
"C",7,189,0,NA
"C",8,195,2.17099143737774,NA
"C",9,202,0,NA
"C",10,209,0,NA
"C",11,216,0,NA
"C",12,222,7.16524438340444,NA
"C",13,229,0,NA
"C",14,236,0,NA
"D",2,153,NA,"a"
"D",3,160,NA,"a"
"D",4,167,NA,"a"
"D",5,174,0,NA
"D",6,180,0,NA
"D",7,189,7.38226920947159,NA
"D",8,195,0,NA
"D",9,202,9.07191636060531,NA
"D",10,209,0,NA
"D",11,216,0,NA
"D",12,222,12.4833953276867,NA
"D",13,229,0,NA
"D",14,236,0,NA
"E",2,153,NA,"a"
"E",3,160,NA,"a"
"E",4,167,NA,"a"
"E",5,174,2.13491417107778,NA
"E",6,180,0.382482511900173,NA
"E",7,189,5.2201722582057,NA
"E",8,195,3.10955772197569,NA
"E",9,202,10.6820685547261,NA
"E",10,209,0,NA
"E",11,216,1.38929227350668,NA
"E",12,222,0,NA
"E",13,229,0,NA
"E",14,236,1.91371721537997,NA
"F",2,153,0.643582031225678,NA
"F",3,160,0,NA
"F",4,167,0,NA
"F",5,174,7.25870447321638,NA
"F",6,180,4.49555645243626,NA
"F",7,189,2.0390925099949,NA
"F",8,195,0,NA
"F",9,202,4.38926318154327,NA
"F",10,209,0,NA
"F",11,216,3.94308630747221,NA
"F",12,222,11.1435330054559,NA
"F",13,229,0.347307283974772,NA
"F",14,236,0,NA
