pond_id,treatment,date,doy,week,period,ch4_flux,co2_flux,n2o_flux,ch4_lake,co2_lake,n2o_lake,GPP,R,NEP,tn,tp,temp,do_sat,do,bottom_temp,bottom_do_sat,bottom_do,wind_speed,wind_U10,methanogenesis,ch4_ebu_flux
A,pulsed,2020-05-21,142,NA,BASE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.37037037,173.15925925925927,16.941481481481482,15.009722222250002,98.0625,9.82675,NA,NA,NA,NA
A,pulsed,2020-05-22,143,NA,BASE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2484,43.2,16.212962961666666,126.11666666666667,12.385555555555555,15.75,83.04166666666666,8.220833333333333,NA,NA,NA,NA
A,pulsed,2020-05-23,144,NA,BASE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.12018140632653,163.24081632653062,15.716326530612244,15.37376543211111,55.79666666666667,5.5696666666666665,0.3358333333333333,0.3828003910518179,NA,NA
A,pulsed,2020-05-24,145,1,BASE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.53317901347222,168.24722222222223,16.05625,14.89930555375,29.268749999999997,2.9528125,0.5549999999999999,0.6326180159814161,NA,NA
A,pulsed,2020-05-25,146,1,BASE,4.15363097994475,-7.91962160161188,0.00244061683138251,8.61351165153571,0.769426197144035,0.0120362838203639,6.228130582,-2.500637367,3.727493215,0.427385,33.95,18.587606837307693,178.2923076923077,16.61423076923077,14.756944442916666,42.44333333333333,4.293916666666666,0.29354166666666665,0.3345941383325133,0.00597073364614077,NA
A,pulsed,2020-05-26,147,1,BASE,NA,NA,NA,NA,NA,NA,0.337826879,-0.234182163,0.103644717,NA,NA,19.661904761142857,144.78857142857143,13.226285714285714,16.039351851666666,59.9625,5.9025,0.51375,0.5855991093882028,NA,NA
A,pulsed,2020-05-27,148,1,BASE,1.99024009034264,-7.89358460618118,0.00138862426695566,4.04268521736959,0.788675913692996,0.0107208055204909,NA,NA,NA,0.0483,31.5,20.172705313804347,163.85,14.829673913043479,15.23530595865942,34.15760869565217,3.4204710144927537,0.17729166666666668,0.20208631066073016,NA,NA
A,pulsed,2020-05-28,149,1,BASE,NA,NA,NA,NA,NA,NA,3.264406914,-3.94107066,-0.676663746,NA,NA,20.933489827042255,139.1169014084507,12.41943661971831,15.126543212222222,40.06944444444444,4.017777777777778,1.0485416666666667,1.1951826105234487,NA,NA
A,pulsed,2020-05-29,150,1,BASE,2.19281408533618,-8.89171422014885,0.00177491620500098,3.78325774441806,0.807318518591426,0.0109905834085966,NA,NA,NA,0.069543,40.5,20.37646198657895,159.56315789473683,14.388684210526316,15.40833333275,44.060625,4.39475,0.954375,1.0878465207248,NA,NA
A,pulsed,2020-05-30,151,1,BASE,NA,NA,NA,NA,NA,NA,2.800101933,-8.174198648,-5.374096715,NA,NA,20.70495495364865,167.54594594594596,15.01,16.1510416665625,36.59583333333333,3.5896875,0.4510416666666667,0.5141208725975097,NA,NA
A,pulsed,2020-05-31,152,2,BASE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.74054373595745,160.8712765957447,14.40468085106383,15.83012820423077,47.13461538461539,4.657884615384615,0.6295833333333334,0.7176319986095494,NA,NA
A,pulsed,2020-06-01,153,2,BASE,5.96256915568138,-10.4659130164943,8.972973025177e-4,9.07721660029951,0.604059844877569,0.00878385528587994,2.129394439,-0.482393178,1.647001261,0.19521,234.45,19.919753084444444,149.14444444444445,13.573055555555555,17.519360269141416,81.0060606060606,7.7260606060606065,1.5616666666666668,1.7800693122359967,0.00771465407340203,NA
A,pulsed,2020-06-02,154,2,BASE,NA,NA,NA,NA,NA,NA,1.955577526,-1.072053473,0.883524052,NA,NA,21.9488888886,136.102,11.9016,17.412927351153847,90.46538461538461,8.642519230769231,1.4364583333333334,1.6373503078798288,NA,NA
A,pulsed,2020-06-03,155,2,BASE,4.86022469014757,-7.56008891773866,0.00116392897826114,8.23461904938255,0.711129571882819,0.00838095881309035,1.144218609,-0.872486236,0.271732374,0.19158,23.75,23.92877492948718,127.88205128205128,10.773461538461538,18.064644609430147,107.67683823529413,10.165183823529413,0.5972916666666667,0.6808242687007207,NA,NA
A,pulsed,2020-06-04,156,2,BASE,NA,NA,NA,NA,NA,NA,1.870316302,-2.056843415,-0.186527113,NA,NA,24.87912912662162,131.33513513513515,10.866891891891893,18.823464912845395,82.00756578947369,7.6147532894736845,0.3770833333333333,0.42981929764503124,NA,NA
A,pulsed,2020-06-05,157,2,BASE,15.4571742296793,-7.57014506249878,5.8414937458647e-4,25.6215536672416,1.4676011638364,0.0070317978348939,2.889940242,-3.424933578,-0.534993336,0.307475,30.2,25.664021164603174,120.85,9.858253968253969,19.277777777666664,106.88,9.810666666666666,0.5764583333333333,0.6570773461788958,NA,NA
A,pulsed,2020-06-06,158,2,BASE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.539393942545452,120.6290909090909,9.861454545454546,19.605587120994315,93.7590909090909,8.544857954545455,0.839375,0.9567635084043264,NA,NA
A,pulsed,2020-06-07,159,3,BASE,NA,NA,NA,NA,NA,NA,2.637901751,-0.500171131,2.13773062,NA,NA,24.760536399310347,108.9,9.028620689655172,19.67040598272436,86.40865384615384,7.88900641025641,1.4260416666666667,1.6254768466189164,NA,NA
A,pulsed,2020-06-08,160,3,BASE,19.7572359710379,-7.58704145975149,-3.5912982449011e-4,31.053110044236,1.88632873851015,0.00532461497249232,3.563429567,-3.204379364,0.359050204,0.30486,28.3,25.18964076819549,108.71203007518797,8.944812030075187,18.90509259125,63.94166666666667,5.916666666666666,1.0583333333333333,1.2063436641087064,0.00203515396444902,NA
A,pulsed,2020-06-09,161,3,BASE,NA,NA,NA,NA,NA,NA,0.715165266,-3.391266662,-2.676101397,NA,NA,25.07597341076923,97.34102564102564,8.026752136752137,20.14444444375,68.9275,6.22425,0.24083333333333334,0.27451442435229617,NA,NA
A,pulsed,2020-06-10,162,3,BASE,40.641714820399,-1.28315966813559,-0.00221942399658734,49.4021906935692,13.0794280173305,0.00338935295466783,3.345892878,-5.723071924,-2.377179046,0.269645,31.85,23.060657600306122,61.4,5.255918367346939,20.66121031723214,19.666964285714286,1.760892857142857,2.12875,2.426460543280071,NA,NA
A,pulsed,2020-06-11,163,3,BASE,NA,NA,NA,NA,NA,NA,3.322750927,-6.869528738,-3.546777811,NA,NA,22.041203706999998,57.090833333333336,4.982916666666666,19.8650000015,40.315,3.6567,0.954375,1.0878465207248,NA,NA
A,pulsed,2020-06-12,164,3,BASE,37.8080215708132,-1.33509756149968,-7.3346474660469e-4,73.577588063082,14.4696883689983,0.0058773949249408,4.776319965,-5.94156752,-1.165247555,0.226775,37.65,22.313131313051947,71.63116883116884,6.220389610389611,20.621527777125003,47.526875000000004,4.23975,0.08333333333333333,0.09498769008729972,NA,NA
A,pulsed,2020-06-13,165,3,BASE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.107526882903226,89.01129032258065,7.612903225806452,19.903594770294117,40.04558823529412,3.6341176470588237,1.00625,1.146976357804144,NA,NA
A,pulsed,2020-06-14,166,4,BASE,NA,NA,NA,NA,NA,NA,2.802985361,-4.117340579,-1.314355218,NA,NA,22.01234568,77.04629629629629,6.728703703703704,21.028758170264705,59.86911764705883,5.314470588235294,2.0247916666666668,2.307963399896165,NA,NA
A,pulsed,2020-06-15,167,4,BASE,55.1198108072789,-0.485347286761595,-0.00287063506123651,85.187230021982,15.4435909088309,0.00299087267502419,0.917106156,-3.575651687,-2.658545531,0.25586,42.5,21.576388891249998,76.98571428571428,6.7805357142857146,21.40783475646154,65.31384615384616,5.767538461538461,1.5829166666666665,1.804291173208258,NA,NA
A,pulsed,2020-06-16,168,4,BASE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.976911975064937,87.74545454545455,7.668181818181818,21.067934782510868,47.62434782608696,4.230239130434782,1.153125,1.3143921615830099,0.00614505790215105,NA
