doy,period,pond,time,secchi,adj_secchi,chl,phyco,chlfil,phycofil,dosat_before,dosat_after,tp,srp,tn,nox,nhx
142,BASE,A,1312,NA,NA,5637.5,1188.65,NA,NA,97.9,96.8,NA,NA,NA,NA,NA
142,BASE,B,1305,NA,NA,2599.8,989.9,NA,NA,97.9,96.8,NA,NA,NA,NA,NA
142,BASE,C,1300,NA,NA,950.02,308.66,NA,NA,97.9,96.8,NA,NA,NA,NA,NA
142,BASE,D,1252,NA,NA,3597.4,1014,NA,NA,97.9,96.8,NA,NA,NA,NA,NA
142,BASE,E,1240,NA,NA,2402.7,660.69,NA,NA,97.9,96.8,NA,NA,NA,NA,NA
142,BASE,F,1246,NA,NA,1054.7,393.81,NA,NA,97.9,96.8,NA,NA,NA,NA,NA
143,BASE,A,942,1,NA,4541.7,1440.4,NA,NA,95.1,96.6,43.2,0,0.2484,0.042644,NA
143,BASE,B,955,1.35,NA,2354.2,900.48,NA,NA,95.1,96.6,44.9,0,0.068132,0,NA
143,BASE,C,1022,2.1,NA,619.73,157.53,NA,NA,95.1,96.6,20,0,0.25064,0.23145,NA
143,BASE,D,1038,1.15,NA,2692.1,590.38,NA,NA,95.1,96.6,47.8,0,0.38093,0.28401,NA
143,BASE,E,1049,1.4,NA,1920.1,424.33,NA,NA,95.1,96.6,42.95,0,0.47079,0.33037,NA
143,BASE,F,1107,2.2,NA,699.66,156.84,NA,NA,95.1,96.6,40.55,0,0.2454,0.1494,NA
144,BASE,A,1057,1.6,NA,6286.7,642.89,NA,NA,95.8,95.8,NA,NA,NA,NA,NA
144,BASE,B,1049,1.4,NA,3773.5,916.08,NA,NA,95.8,95.8,NA,NA,NA,NA,NA
144,BASE,C,1043,2.1,NA,912.95,449.9,NA,NA,95.8,95.8,NA,NA,NA,NA,NA
144,BASE,D,1036,1.4,NA,8829.4,1214.8,NA,NA,95.8,95.8,NA,NA,NA,NA,NA
144,BASE,E,1028,1.5,NA,9349.2,724.54,NA,NA,95.8,95.8,NA,NA,NA,NA,NA
144,BASE,F,1015,2.1,NA,992.88,238.42,NA,NA,95.8,95.8,NA,NA,NA,NA,NA
145,BASE,A,1127,1.5,NA,5592.7,1131.8,NA,NA,95.7,96.4,NA,NA,NA,NA,NA
145,BASE,B,1118,1.5,NA,3336.6,819.59,NA,NA,95.7,96.4,NA,NA,NA,NA,NA
145,BASE,C,1111,2.1,NA,873.95,178.14,NA,NA,95.7,96.4,NA,NA,NA,NA,NA
145,BASE,D,1103,1.4,NA,6008.7,1008.3,NA,NA,95.7,96.4,NA,NA,NA,NA,NA
145,BASE,E,1056,1.2,NA,12137,1494.4,NA,NA,95.7,96.4,NA,NA,NA,NA,NA
145,BASE,F,1046,2.2,NA,910.1,276.77,NA,NA,95.7,96.4,NA,NA,NA,NA,NA
146,BASE,A,1137,1.4,NA,1255,2656.7,NA,NA,97.8,100,33.95,0,0.427385,0.026329,NA
146,BASE,B,1128,1.55,NA,743.64,2859,NA,NA,97.8,100,44.5,0,0.45378,0.0308735,NA
146,BASE,C,1120,2.18,NA,1020.5,210.03,NA,NA,97.8,100,23.3,0,0.474225,0.100478,NA
146,BASE,D,1111,1.4,NA,3951.5,697.53,NA,NA,97.8,100,39.75,0,0.520765,0,NA
146,BASE,E,1059,1.25,NA,7106.4,974.3,NA,NA,97.8,100,36.95,0,0.37553,0.0470685,NA
146,BASE,F,1048,2.1,NA,1149.9,309.42,NA,NA,97.8,100,181.75,0,0.48218,0.142992,NA
147,BASE,A,941,1.5,NA,1822,588.25,NA,NA,96.2,96.2,NA,NA,NA,NA,NA
147,BASE,B,948,1.3,NA,2955.8,688.32,NA,NA,96.2,96.2,NA,NA,NA,NA,NA
147,BASE,C,1015,2.1,NA,844.39,202.96,NA,NA,96.2,96.2,NA,NA,NA,NA,NA
147,BASE,D,1022,1.5,NA,3070,662.75,NA,NA,96.2,96.2,NA,NA,NA,NA,NA
147,BASE,E,1027,1.1,NA,5171.9,835.95,NA,NA,96.2,96.2,NA,NA,NA,NA,NA
147,BASE,F,1032,2.1,NA,574.95,141.24,NA,NA,96.2,96.2,NA,NA,NA,NA,NA
148,BASE,A,1011,1.55,NA,2255.2,568.38,NA,NA,98.2,96.3,31.5,0,0.0483,0.043632,0
148,BASE,B,1029,1.3,NA,3285.2,583.99,NA,NA,98.2,96.3,51.5,0.3,0.218,0.0807238,0.0482
148,BASE,C,1026,2,NA,1288,195.88,NA,NA,98.2,96.3,43.55,0,0.2591,0.152615,0.0112
148,BASE,D,1040,1.8,NA,6212.4,704.67,NA,NA,98.2,96.3,53.3,0,0.3497,0,0.0011
148,BASE,E,1054,1.3,NA,7781.3,1100.6,NA,NA,98.2,96.3,55.25,0,0.3681,0.015959,0.04945
148,BASE,F,935,2.1,NA,1261.3,290.93,NA,NA,98.2,96.3,26.85,0,0.2366,0.028107,0.06005
149,BASE,A,934,1.55,NA,3641.2,946.6,NA,NA,93.4,96.3,NA,NA,NA,NA,NA
149,BASE,B,939,1.4,NA,3846.8,535.74,NA,NA,93.4,96.3,NA,NA,NA,NA,NA
149,BASE,C,942,2.1,NA,1281.3,238.42,NA,NA,93.4,96.3,NA,NA,NA,NA,NA
149,BASE,D,945,1.9,NA,2865.3,382.47,NA,NA,93.4,96.3,NA,NA,NA,NA,NA
149,BASE,E,950,1.4,NA,9550.1,971.48,NA,NA,93.4,96.3,NA,NA,NA,NA,NA
149,BASE,F,953,2.1,NA,1947.7,344.88,NA,NA,93.4,96.3,NA,NA,NA,NA,NA
150,BASE,A,930,1.6,NA,2000,728.8,NA,NA,97.9,97.1,40.5,0,0.069543,0.051769,NA
150,BASE,B,934,1.7,NA,1483.4,326.46,NA,NA,97.9,97.1,35.35,0,0.184895,0.085191,NA
150,BASE,C,940,2.1,NA,477.85,136.29,NA,NA,97.9,97.1,16.7,0,0.19649,0.134935,NA
150,BASE,D,945,2,NA,565.5,99.38,NA,NA,97.9,97.1,19.75,0,0.19081,0.065634,NA
150,BASE,E,949,2.05,NA,1224.2,237.04,NA,NA,97.9,97.1,25.5,0,0.18952,0.0295285,NA
150,BASE,F,952,2.1,NA,609.27,165.36,NA,NA,97.9,97.1,23.55,0,0.201115,0.0510285,NA
151,BASE,A,1155,1.5,NA,2068.7,650.03,NA,NA,96.6,97.5,NA,NA,NA,NA,NA
151,BASE,B,1152,1.7,NA,819.61,184.54,NA,NA,96.6,97.5,NA,NA,NA,NA,NA
151,BASE,C,1149,2.1,NA,379.78,83.78,NA,NA,96.6,97.5,NA,NA,NA,NA,NA
151,BASE,D,1147,2,NA,308.45,88.75,NA,NA,96.6,97.5,NA,NA,NA,NA,NA
151,BASE,E,1143,2,NA,399.85,100.07,NA,NA,96.6,97.5,NA,NA,NA,NA,NA
151,BASE,F,1141,2.1,NA,351.3,73.81,NA,NA,96.6,97.5,NA,NA,NA,NA,NA
152,BASE,A,1057,1.6,NA,1776.3,570.52,NA,NA,98,97.6,NA,NA,NA,NA,NA
152,BASE,B,1053,1.6,NA,1286,246.25,NA,NA,98,97.6,NA,NA,NA,NA,NA
152,BASE,C,1048,2.05,NA,410.31,145.5,NA,NA,98,97.6,NA,NA,NA,NA,NA
152,BASE,D,1045,1.95,NA,433.16,151.13,NA,NA,98,97.6,NA,NA,NA,NA,NA
152,BASE,E,1040,2,NA,542.65,171.07,NA,NA,98,97.6,NA,NA,NA,NA,NA
152,BASE,F,1039,2.1,NA,531.17,178.14,NA,NA,98,97.6,NA,NA,NA,NA,NA
153,BASE,A,900,1.6,NA,928.18,304.47,NA,NA,96.9,96.8,234.45,0,0.19521,0,NA
153,BASE,B,910,1.8,NA,1265.1,256.91,NA,NA,96.9,96.8,34.3,0,0.304,0.0357605,NA
153,BASE,C,920,1.9,NA,416.91,158.28,NA,NA,96.9,96.8,39.05,0,0.152535,0.0750075,NA
153,BASE,D,930,1.96,NA,340.84,107.9,NA,NA,96.9,96.8,32.4,0,0.1866,0.0392365,NA
