SampleID,DOY,Pond,Alkalinity,pH,notes
E19A146,146,A,112.09,,
E19B146,146,B,119.87,,
E19C146,146,C,117.23,,
E19D146,146,D,138.81,,
E19E146,146,E,140.5,,
E19F146,146,F,128.78,,
E19A148,148,A,130.98,,
E19B148,148,B,105.21,,
E19C148,148,C,109.68,,
E19D148,148,D,128.55,,
E19E148,148,E,128.44,,
E19F148,148,F,115.46,,
E19A150,150,A,140.22,,
E19B150,150,B,119.22,,
E19C150,150,C,118.36,,
E19D150,150,D,134.46,,
E19E150,150,E,131.81,,
E19F150,150,F,123.48,,
E19A153,153,A,122.64,,
E19B153,153,B,117.6,,
E19C153,153,C,116.69,,
E19D153,153,D,130.54,,
E19E153,153,E,124.12,,
E19F153,153,F,117.94,,
E19A155,155,A,121.32,,
E19B155,155,B,117.66,,
E19C155,155,C,114.33,,
E19D155,155,D,124.92,,
E19E155,155,E,118.8,,
E19F155,155,F,112.97,,
E19A157,157,A,144.32,,
E19B157,157,B,121.92,,
E19C157,157,C,115.98,,
E19D157,157,D,123.68,,
E19E157,157,E,113.13,,
E19F157,157,F,109.63,,
E19A160,160,A,129.78,,
E19B160,160,B,121.04,,
E19C160,160,C,112.43,,
E19D160,160,D,121.09,,
E19E160,160,E,110.88,,
E19F160,160,F,111.71,,
E19A162,162,A,126.84,,
E19B162,162,B,122.83,,
E19C162,162,C,112.99,,
E19D162,162,D,120.08,,
E19E162,162,E,112.27,,
E19F162,162,F,110.84,,
E19A164,164,A,131.3,,
E19B164,164,B,120.84,,
E19C164,164,C,107.41,,
E19D164,164,D,120.12,,
E19E164,164,E,109.67,,
E19F164,164,F,110.11,,
E20A167,167,A,136.24,,
E20B167,167,B,123.27,,
E20C167,167,C,114.01,,
E20D167,167,D,122,,
E20E167,167,E,112.31,,
E20F167,167,F,113.64,,
E20A169,169,A,136.29,,
E20B169,169,B,121.86,,
E20C169,169,C,113.5,,
E20D169,169,D,122.06,,
E20E169,169,E,112.94,,
E20F169,169,F,115.32,,
E20A171,171,A,151.89,,
E20B171,171,B,132.35,,
E20C171,171,C,121.39,,
E20D171,171,D,128.3,,
E20E171,171,E,118.4,,
E20F171,171,F,119.26,,
E20A173,173,A,154.25,,
E20B173,173,B,121.28,,
E20C173,173,C,115.09,,
E20D173,173,D,119.63,,
E20E173,173,E,113.52,,
E20F173,173,F,112.18,,
E20A174,174,A,132.69,,
E20B174,174,B,120.77,,
E20C174,174,C,112.46,,
E20D174,174,D,118.29,,
E20E174,174,E,110.72,,
E20F174,174,F,113.1,,
E20A175,175,A,127.44,,
E20B175,175,B,116.58,,
E20C175,175,C,111.37,,
E20D175,175,D,116.93,,
E20E175,175,E,110.6,,
E20F175,175,F,113.08,,
E20A176,176,A,134.97,,
E20B176,176,B,118.61,,
E20C176,176,C,111.18,,
E20D176,176,D,118.17,,
E20E176,176,E,110.16,,
E20F176,176,F,114.26,,
E20A177,177,A,131.89,,
E20B177,177,B,117.94,,
E20C177,177,C,115.5,,
E20D177,177,D,118.31,,
E20E177,177,E,108.17,,
E20F177,177,F,115.47,,
E20A178,178,A,153.4,,
E20B178,178,B,150.43,,
E20C178,178,C,128.64,,
E20D178,178,D,126.51,,
E20E178,178,E,117.74,,
E20F178,178,F,118.36,,
E20A179,179,A,148.24,,
E20B179,179,B,117.09,,
E20C179,179,C,108.75,,
E20D179,179,D,115.14,,
E20E179,179,E,107.48,,
E20F179,179,F,110.51,,
E20A180,180,A,149.93,,
E20B180,180,B,117.94,,
E20C180,180,C,113.08,,
E20D180,180,D,113.41,,
E20E180,180,E,110.21,,
E20F180,180,F,114.65,,
E20A181,181,A,149.11,,
E20B181,181,B,118.76,,
E20C181,181,C,114.67,,
E20D181,181,D,116.95,,
E20E181,181,E,117.73,,
E20F181,181,F,118.54,,
E20A182,182,A,149.14,,"alkalinity was ""1149.14"", assuming this was a typo"
E20B182,182,B,119.11,,
E20C182,182,C,117.66,,
E20D182,182,D,123.5,,
E20E182,182,E,115.68,,
E20F182,182,F,119.35,,
E20A183,183,A,145.25,,
E20B183,183,B,128.94,,
E20C183,183,C,118.82,,
E20D183,183,D,122.99,,
E20E183,183,E,113.41,,
E20F183,183,F,117.64,,
E20A184,184,A,152.63,,
E20B184,184,B,122.46,,
E20C184,184,C,112.22,,
E20D184,184,D,119.36,,
E20E184,184,E,112.52,,
E20F184,184,F,117.55,,
E20A185,185,A,153.51,,
E20B185,185,B,123.43,,
E20C185,185,C,111.23,,
E20D185,185,D,118.45,,
E20E185,185,E,111.97,,
E20F185,185,F,117.57,,
E20A186,186,A,154.35,,
E20B186,186,B,122.48,,
E20C186,186,C,110.97,,
E20D186,186,D,118.76,,
E20E186,186,E,109,,
E20F186,186,F,115.28,,
E20A187,187,A,156.04,,
E20B187,187,B,121.19,,
E20C187,187,C,111.95,,
E20D187,187,D,118.45,,
E20E187,187,E,110.12,,
E20F187,187,F,115.1,,
E20A188,188,A,136.91,,
E20B188,188,B,124.15,,
E20C188,188,C,112.41,,
E20D188,188,D,122.39,,
E20E188,188,E,114.98,,
E20F188,188,F,117.08,,
E20A189,189,A,136.8,,
E20B189,189,B,123.71,,
E20C189,189,C,110.62,,
E20D189,189,D,124.12,,
E20E189,189,E,111.43,,
E20F189,189,F,118.64,,
E20A190,190,A,143.79,,
E20B190,190,B,123.97,,
E20C190,190,C,114.4,,
E20D190,190,D,123.36,,
E20E190,190,E,113.41,,
E20F190,190,F,119.24,,
E20A191,191,A,145.66,,
E20B191,191,B,126.1,,
E20C191,191,C,115.74,,
E20D191,191,D,125.33,,
E20E191,191,E,114.86,,
E20F191,191,F,119.66,,
E20A192,192,A,144.69,,
E20B192,192,B,125.59,,
E20C192,192,C,115.56,,
E20D192,192,D,125.76,,
E20E192,192,E,116.07,,
