sample_id,pond_id,week,date,sample_type,tray_id,mass_tin,vol_sample,mass_wet_tin.sample,mass_dry_tin.sample
E20A173R1,A,5,6/21/2020,bulk_density,,0.7922,5,5.4578,1.6669
E20A173R2,A,5,6/21/2020,bulk_density,,0.8076,5,5.6146,1.6991
E20A173R3,A,5,6/21/2020,bulk_density,,0.8028,5,5.4463,1.8253
173-A-nuts,A,5,6/21/2020,nutrients,,NA,NA,NA,NA
E20B173R1,B,5,6/21/2020,bulk_density,,0.8047,5,6.5199,2.9451
E20B173R2,B,5,6/21/2020,bulk_density,,0.7967,5,6.1693,2.861
E20B173R3,B,5,6/21/2020,bulk_density,,0.8161,5,6.4211,3.1861
173-B-nuts,B,5,6/21/2020,nutrients,,NA,NA,NA,NA
E20C173R1,C,5,6/21/2020,bulk_density,,0.8059,5,5.8151,2.3771
E20C173R2,C,5,6/21/2020,bulk_density,,0.8048,5,5.8913,2.4666
E20C173R3,C,5,6/21/2020,bulk_density,,0.8005,5,5.892,2.5119
173-C-nuts,C,5,6/21/2020,nutrients,,NA,NA,NA,NA
E20D173R1,D,5,6/21/2020,bulk_density,,0.8042,5,6.3827,2.6997
E20D173R2,D,5,6/21/2020,bulk_density,,0.8039,5,6.1845,2.2222
E20D173R3,D,5,6/21/2020,bulk_density,,0.8019,5,5.9588,1.8137
173-D-nuts,D,5,6/21/2020,nutrients,,NA,NA,NA,NA
E20E173R1,E,5,6/21/2020,bulk_density,,0.786,5,6.8121,3.1793
E20E173R2,E,5,6/21/2020,bulk_density,,0.8026,5,5.9201,2.4222
E20E173R3,E,5,6/21/2020,bulk_density,,0.8059,5,6.0843,2.4061
173-E-nuts,E,5,6/21/2020,nutrients,,NA,NA,NA,NA
E20F173R1,F,5,6/21/2020,bulk_density,,0.7846,5,6.2819,3.1625
E20F173R2,F,5,6/21/2020,bulk_density,,0.7897,5,5.8123,2.6671
E20F173R3,F,5,6/21/2020,bulk_density,,0.8004,5,NA,2.6848
173-F-nuts,F,5,6/21/2020,nutrients,,NA,NA,NA,NA
E20A195R1,A,8,7/14/2020,bulk_density,A,0.7915,3,4.4201,2.287
E20A195R2,A,8,7/14/2020,bulk_density,B,0.8015,3,4.25,2.157
E20A195R3,A,8,7/14/2020,bulk_density,C,0.7946,3,4.4387,2.2121
195-A-nuts,A,8,7/14/2020,nutrients,D,0.7967,NA,4.3154,1.9698
E20B195R1,B,8,7/14/2020,bulk_density,E,0.7952,4,6.061,3.0245
E20B195R2,B,8,7/14/2020,bulk_density,F,0.8032,4,5.91,2.899
E20B195R3,B,8,7/14/2020,bulk_density,G,0.8057,3,4.6619,2.4117
195-B-nuts,B,8,7/14/2020,nutrients,H,0.7919,NA,4.5597,2.3905
E20C195R1,C,8,7/14/2020,bulk_density,I,0.7883,3,4.0692,1.3188
E20C195R2,C,8,7/14/2020,bulk_density,J,0.7858,3,3.8361,1.2791
E20C195R3,C,8,7/14/2020,bulk_density,K,0.7933,3,3.9842,1.3132
195-C-nuts,C,8,7/14/2020,nutrients,L,0.7959,NA,4.0397,1.3189
E20D195R1,D,8,7/14/2020,bulk_density,M,0.7973,3,4.691,2.6642
E20D195R2,D,8,7/14/2020,bulk_density,N,0.8072,3,4.3818,2.4966
E20D195R3,D,8,7/14/2020,bulk_density,O,0.7976,3,4.5745,2.6039
195-D-nuts,D,8,7/14/2020,nutrients,P,0.803,NA,4.8735,2.7302
E20E195R1,E,8,7/14/2020,bulk_density,Q,0.7956,3,3.8665,1.4143
E20E195R2,E,8,7/14/2020,bulk_density,R,0.7962,3,3.6965,1.3612
E20E195R3,E,8,7/14/2020,bulk_density,S,0.8023,3,4.0082,1.4498
195-E-nuts,E,8,7/14/2020,nutrients,T,0.8127,NA,4.3016,1.5125
E20F195R1,F,8,7/14/2020,bulk_density,U,0.8055,3,4.438,2.4471
E20F195R2,F,8,7/14/2020,bulk_density,V,0.8173,3,4.4071,2.4619
E20F195R3,F,8,7/14/2020,bulk_density,W,0.8001,3,4.6123,2.5439
195-F-nuts,F,8,7/14/2020,nutrients,X,0.8027,NA,4.7932,2.6112
E20A216R1,A,11,8/3/2020,bulk_density,A1,0.8034,4,6.0871,2.9521
E20A216R2,A,11,8/3/2020,bulk_density,A2,0.8135,4,6.0641,2.9481
E20A216R3,A,11,8/3/2020,bulk_density,A3,0.7737,4,6.072,2.9763
E20B216R1,B,11,8/3/2020,bulk_density,B1,0.8007,4,6.2819,2.7626
E20B216R2,B,11,8/3/2020,bulk_density,B2,0.8191,4,6.1218,2.7417
E20B216R3,B,11,8/3/2020,bulk_density,B3,0.7839,4,5.9737,2.6899
E20C216R1,C,11,8/3/2020,bulk_density,C1,0.8037,4,6.3094,3.1335
E20C216R2,C,11,8/3/2020,bulk_density,C2,0.8076,4,6.5153,3.1242
E20C216R3,C,11,8/3/2020,bulk_density,C3,0.8046,4,6.5834,3.19
E20D216R1,D,11,8/3/2020,bulk_density,D1,0.8129,4,6.6658,3.3718
E20D216R2,D,11,8/3/2020,bulk_density,D2,0.8101,4,6.5922,3.3238
E20D216R3,D,11,8/3/2020,bulk_density,D3,0.8084,4,6.3121,3.2319
E20E216R1,E,11,8/3/2020,bulk_density,E1,0.7943,4,6.1647,3.0168
E20E216R2,E,11,8/3/2020,bulk_density,E2,0.8146,4,6.1752,3.0139
E20E216R3,E,11,8/3/2020,bulk_density,E3,0.8139,4,6.1425,2.9653
E20F216R1,F,11,8/3/2020,bulk_density,F1,0.8139,4,6.4212,3.3599
E20F216R2,F,11,8/3/2020,bulk_density,F2,0.8226,4,6.4139,3.4252
E20F216R3,F,11,8/3/2020,bulk_density,F3,0.813,4,6.7148,3.5143
