MiniDOT Logger Concatenated Data File
Sensor:             7450-396810
Concatenation Date: 2020Jun12 14:42:37 CDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at pressure: 1013.0 (mbar)

            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1590767700,           2020-05-29 15:55:00,           2020-05-29 10:55:00,      3.170000,     22.235000,         13.698000,                   157.418841,      0.999000
                1590769500,           2020-05-29 16:25:00,           2020-05-29 11:25:00,      3.160000,     22.411000,         13.763000,                   158.700202,      0.999000
                1590771300,           2020-05-29 16:55:00,           2020-05-29 11:55:00,      3.160000,     22.569000,         13.862000,                   160.325258,      1.000000
                1590773100,           2020-05-29 17:25:00,           2020-05-29 12:25:00,      3.150000,     22.837000,         13.809000,                   160.529933,      1.000000
                1590774900,           2020-05-29 17:55:00,           2020-05-29 12:55:00,      3.150000,     23.088000,         13.869000,                   161.997358,      0.999000
                1590776700,           2020-05-29 18:25:00,           2020-05-29 13:25:00,      3.150000,     23.213000,         13.971000,                   163.575313,      1.000000
                1590778500,           2020-05-29 18:55:00,           2020-05-29 13:55:00,      3.160000,     23.331000,         14.314000,                   167.965262,      1.001000
                1590780300,           2020-05-29 19:25:00,           2020-05-29 14:25:00,      3.150000,     23.515000,         14.447000,                   170.114949,      0.999000
                1590782100,           2020-05-29 19:55:00,           2020-05-29 14:55:00,      3.150000,     23.724000,         14.455000,                   170.879105,      1.001000
                1590783900,           2020-05-29 20:25:00,           2020-05-29 15:25:00,      3.150000,     23.950000,         14.289000,                   169.633510,      0.999000
                1590785700,           2020-05-29 20:55:00,           2020-05-29 15:55:00,      3.150000,     24.118000,         14.242000,                   169.607038,      1.000000
                1590787500,           2020-05-29 21:25:00,           2020-05-29 16:25:00,      3.150000,     24.327000,         14.219000,                   169.993782,      1.001000
                1590789300,           2020-05-29 21:55:00,           2020-05-29 16:55:00,      3.150000,     24.428000,         14.073000,                   168.564480,      0.999000
                1590791100,           2020-05-29 22:25:00,           2020-05-29 17:25:00,      3.150000,     24.512000,         14.244000,                   170.878960,      1.001000
                1590792900,           2020-05-29 22:55:00,           2020-05-29 17:55:00,      3.150000,     24.520000,         14.443000,                   173.291992,      1.000000
                1590794700,           2020-05-29 23:25:00,           2020-05-29 18:25:00,      3.150000,     24.470000,         14.454000,                   173.263130,      0.998000
                1590796500,           2020-05-29 23:55:00,           2020-05-29 18:55:00,      3.150000,     24.344000,         14.634000,                   175.010603,      1.000000
                1590798300,           2020-05-30 00:25:00,           2020-05-29 19:25:00,      3.150000,     24.185000,         14.757000,                   175.959875,      1.002000
                1590800100,           2020-05-30 00:55:00,           2020-05-29 19:55:00,      3.150000,     24.051000,         14.767000,                   175.639404,      1.002000
                1590801900,           2020-05-30 01:25:00,           2020-05-29 20:25:00,      3.150000,     23.933000,         14.830000,                   176.000073,      1.002000
                1590803700,           2020-05-30 01:55:00,           2020-05-29 20:55:00,      3.150000,     23.808000,         14.803000,                   175.268883,      1.000000
