Software Version:,1.06 Rev 101,,,,,,,,,,,,,,,,,,
Date:,01/26/2022 16:27:10,,,,,,,,,,,,,,,,,,
===============,,,,,,,,,,,,,,,,,,,
Analyzer,Protocol Name,Protocol Date,Protocol Date End,Protocol Type,Vial Size,Operator,Comments,Performed By Certified FSE,,,,,,,,,,,
1566,RAJ_Ponds_Run3_22.01.25,01/26/2022 10:45:26,01/26/2022 16:25:40,Autosampler,17,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sample Name,Lot #,Sample Type,Start Time,End Time,Vial #,Turbo,Autoreagents,ICR,Flush Time (sec),TOC Average (ppb),TOC Standard Deviation (ppb),TOC RSD (%),IC Average (ppb),IC Standard Deviation (ppb),IC RSD (%),TC Average (ppb),TC Standard Deviation (ppb),TC RSD (%),
Blank,,Blank,01/26/2022 10:45:36,01/26/2022 11:13:18,1,False,True,False,240,19.5,1.71,8.76,61.5,8.85,14.4,81,7.94,9.8,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/26/2022 10:45:36,01/26/2022 11:07:18,7.9,63.6,71.5,0.3,0,,,,,,,,,,,
2,,01/26/2022 11:07:18,01/26/2022 11:09:18,17.7,70.5,88.2,0.3,0,,,,,,,,,,,
3,,01/26/2022 11:09:18,01/26/2022 11:11:18,21.1,61.3,82.4,0.3,0,,,,,,,,,,,
4,,01/26/2022 11:11:18,01/26/2022 11:13:18,19.7,52.8,72.5,0.3,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Blank,,Blank,01/26/2022 11:13:32,01/26/2022 11:41:49,2,False,True,False,240,22.4,1.42,6.34,65.8,9.27,14.1,88.2,8.58,9.73,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/26/2022 11:13:32,01/26/2022 11:35:49,8.7,78.6,87.3,0.3,0,,,,,,,,,,,
2,,01/26/2022 11:35:49,01/26/2022 11:37:49,21.1,76,97.1,0.3,0,,,,,,,,,,,
