MiniDOT Logger Concatenated Data File
Sensor:             7450-192908
Concatenation Date: 2020Jul10 12:59:03 CDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at pressure: 1013.0 (mbar)

            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1591993080,           2020-06-12 20:18:00,           2020-06-12 15:18:00,      3.140000,     25.374000,          8.936000,                   108.918814,      0.954000
                1591994880,           2020-06-12 20:48:00,           2020-06-12 15:48:00,      3.140000,     25.492000,          6.051000,                    73.913768,      0.913000
                1591996680,           2020-06-12 21:18:00,           2020-06-12 16:18:00,      3.140000,     25.678000,          6.990000,                    85.674480,      0.944000
                1591998480,           2020-06-12 21:48:00,           2020-06-12 16:48:00,      3.130000,     25.821000,          7.559000,                    92.890417,      0.947000
                1592000280,           2020-06-12 22:18:00,           2020-06-12 17:18:00,      3.130000,     25.939000,          9.257000,                   114.001210,      0.951000
                1592002080,           2020-06-12 22:48:00,           2020-06-12 17:48:00,      3.130000,     26.032000,          7.687000,                    94.826572,      0.945000
                1592003880,           2020-06-12 23:18:00,           2020-06-12 18:18:00,      3.130000,     26.142000,          8.457000,                   104.533725,      0.951000
                1592005680,           2020-06-12 23:48:00,           2020-06-12 18:48:00,      3.130000,     26.150000,         10.097000,                   124.823240,      0.951000
                1592007480,           2020-06-13 00:18:00,           2020-06-12 19:18:00,      3.130000,     26.209000,         10.018000,                   123.979112,      0.952000
                1592009280,           2020-06-13 00:48:00,           2020-06-12 19:48:00,      3.130000,     26.192000,          8.278000,                   102.413956,      0.944000
                1592011080,           2020-06-13 01:18:00,           2020-06-12 20:18:00,      3.130000,     26.192000,          8.349000,                   103.292356,      0.951000
                1592012880,           2020-06-13 01:48:00,           2020-06-12 20:48:00,      3.130000,     26.192000,          2.092000,                    25.881855,      0.939000
                1592014680,           2020-06-13 02:18:00,           2020-06-12 21:18:00,      3.130000,     26.226000,          2.463000,                    30.490577,      0.949000
                1592016480,           2020-06-13 02:48:00,           2020-06-12 21:48:00,      3.130000,     26.268000,          2.998000,                    37.141817,      0.949000
                1592018280,           2020-06-13 03:18:00,           2020-06-12 22:18:00,      3.130000,     26.243000,          3.521000,                    43.601454,      0.951000
                1592020080,           2020-06-13 03:48:00,           2020-06-12 22:48:00,      3.130000,     26.243000,          3.913000,                    48.455691,      0.951000
                1592021880,           2020-06-13 04:18:00,           2020-06-12 23:18:00,      3.130000,     26.243000,          4.366000,                    54.065307,      0.952000
                1592023680,           2020-06-13 04:48:00,           2020-06-12 23:48:00,      3.130000,     26.234000,          4.766000,                    59.008992,      0.952000
                1592025480,           2020-06-13 05:18:00,           2020-06-13 00:18:00,      3.130000,     26.226000,          5.231000,                    64.756886,      0.953000
                1592027280,           2020-06-13 05:48:00,           2020-06-13 00:48:00,      3.130000,     26.116000,          5.775000,                    71.348902,      0.953000
                1592029080,           2020-06-13 06:18:00,           2020-06-13 01:18:00,      3.130000,     25.964000,          6.316000,                    77.817758,      0.953000
                1592030880,           2020-06-13 06:48:00,           2020-06-13 01:48:00,      3.130000,     25.779000,          6.253000,                    76.782575,      0.954000
                1592032680,           2020-06-13 07:18:00,           2020-06-13 02:18:00,      3.130000,     25.576000,          6.820000,                    83.435269,      0.953000
                1592034480,           2020-06-13 07:48:00,           2020-06-13 02:48:00,      3.130000,     25.416000,          7.227000,                    88.156025,      0.954000
                1592036280,           2020-06-13 08:18:00,           2020-06-13 03:18:00,      3.130000,     25.240000,          7.738000,                    94.085108,      0.955000
                1592038080,           2020-06-13 08:48:00,           2020-06-13 03:48:00,      3.130000,     25.139000,          8.166000,                    99.104994,      0.955000
                1592039880,           2020-06-13 09:18:00,           2020-06-13 04:18:00,      3.130000,     24.970000,          8.291000,                   100.309449,      0.954000
                1592041680,           2020-06-13 09:48:00,           2020-06-13 04:48:00,      3.130000,     24.836000,          8.659000,                   104.503052,      0.954000
                1592043480,           2020-06-13 10:18:00,           2020-06-13 05:18:00,      3.130000,     24.710000,          8.689000,                   104.621168,      0.954000
                1592045280,           2020-06-13 10:48:00,           2020-06-13 05:48:00,      3.130000,     24.567000,          8.955000,                   107.538806,      0.955000
                1592047080,           2020-06-13 11:18:00,           2020-06-13 06:18:00,      3.130000,     24.424000,          9.157000,                   109.673151,      0.955000
                1592048880,           2020-06-13 11:48:00,           2020-06-13 06:48:00,      3.130000,     24.307000,          9.315000,                   111.323086,      0.955000
                1592050680,           2020-06-13 12:18:00,           2020-06-13 07:18:00,      3.130000,     24.240000,          9.396000,                   112.151133,      0.955000
                1592052480,           2020-06-13 12:48:00,           2020-06-13 07:48:00,      3.130000,     24.215000,          9.462000,                   112.886324,      0.954000
                1592054280,           2020-06-13 13:18:00,           2020-06-13 08:18:00,      3.130000,     24.173000,          9.542000,                   113.751681,      0.954000
                1592056080,           2020-06-13 13:48:00,           2020-06-13 08:48:00,      3.130000,     24.148000,          9.544000,                   113.722494,      0.955000
                1592057880,           2020-06-13 14:18:00,           2020-06-13 09:18:00,      3.130000,     24.198000,          9.340000,                   111.395508,      0.954000
                1592059680,           2020-06-13 14:48:00,           2020-06-13 09:48:00,      3.130000,     24.265000,          9.187000,                   109.707563,      0.954000
                1592061480,           2020-06-13 15:18:00,           2020-06-13 10:18:00,      3.130000,     24.307000,          8.635000,                   103.196441,      0.954000
                1592063280,           2020-06-13 15:48:00,           2020-06-13 10:48:00,      3.130000,     24.332000,          8.831000,                   105.587926,      0.954000
                1592065080,           2020-06-13 16:18:00,           2020-06-13 11:18:00,      3.130000,     24.374000,          8.965000,                   107.273850,      0.954000
                1592066880,           2020-06-13 16:48:00,           2020-06-13 11:48:00,      3.130000,     24.517000,          9.082000,                   108.962839,      0.953000
                1592068680,           2020-06-13 17:18:00,           2020-06-13 12:18:00,      3.130000,     24.710000,          8.315000,                   100.117966,      0.953000
                1592070480,           2020-06-13 17:48:00,           2020-06-13 12:48:00,      3.130000,     24.895000,          8.634000,                   104.314883,      0.953000
                1592072280,           2020-06-13 18:18:00,           2020-06-13 13:18:00,      3.130000,     25.097000,          8.683000,                   105.298081,      0.953000
                1592074080,           2020-06-13 18:48:00,           2020-06-13 13:48:00,      3.130000,     25.248000,          9.040000,                   109.932065,      0.954000
                1592075880,           2020-06-13 19:18:00,           2020-06-13 14:18:00,      3.130000,     25.408000,          9.322000,                   113.694486,      0.955000
                1592077680,           2020-06-13 19:48:00,           2020-06-13 14:48:00,      3.130000,     25.501000,          9.541000,                   116.563774,      0.955000
                1592079480,           2020-06-13 20:18:00,           2020-06-13 15:18:00,      3.130000,     25.703000,          9.865000,                   120.967722,      0.955000
                1592081280,           2020-06-13 20:48:00,           2020-06-13 15:48:00,      3.130000,     25.897000,         10.060000,                   123.795654,      0.955000
                1592083080,           2020-06-13 21:18:00,           2020-06-13 16:18:00,      3.130000,     26.006000,         10.065000,                   124.102876,      0.954000
                1592084880,           2020-06-13 21:48:00,           2020-06-13 16:48:00,      3.130000,     26.108000,         10.253000,                   126.655261,      0.955000
                1592086680,           2020-06-13 22:18:00,           2020-06-13 17:18:00,      3.130000,     26.251000,         10.388000,                   128.655926,      0.955000
                1592088480,           2020-06-13 22:48:00,           2020-06-13 17:48:00,      3.130000,     26.294000,         10.527000,                   130.478966,      0.955000
                1592090280,           2020-06-13 23:18:00,           2020-06-13 18:18:00,      3.130000,     26.378000,         10.503000,                   130.379412,      0.956000
                1592092080,           2020-06-13 23:48:00,           2020-06-13 18:48:00,      3.130000,     26.403000,         10.578000,                   131.369767,      0.956000
                1592093880,           2020-06-14 00:18:00,           2020-06-13 19:18:00,      3.130000,     26.446000,         10.654000,                   132.416435,      0.956000
                1592095680,           2020-06-14 00:48:00,           2020-06-13 19:48:00,      3.130000,     26.471000,         11.057000,                   137.487286,      0.955000
                1592097480,           2020-06-14 01:18:00,           2020-06-13 20:18:00,      3.130000,     26.319000,         11.230000,                   139.255411,      0.956000
                1592099280,           2020-06-14 01:48:00,           2020-06-13 20:48:00,      3.130000,     26.116000,         11.383000,                   140.634554,      0.957000
                1592101080,           2020-06-14 02:18:00,           2020-06-13 21:18:00,      3.130000,     25.888000,         11.520000,                   141.738808,      0.956000
                1592102880,           2020-06-14 02:48:00,           2020-06-13 21:48:00,      3.130000,     25.678000,         11.687000,                   143.244299,      0.957000
                1592104680,           2020-06-14 03:18:00,           2020-06-13 22:18:00,      3.130000,     25.517000,         11.757000,                   143.679012,      0.957000
                1592106480,           2020-06-14 03:48:00,           2020-06-13 22:48:00,      3.130000,     25.315000,         11.281000,                   137.352806,      0.956000
                1592108280,           2020-06-14 04:18:00,           2020-06-13 23:18:00,      3.130000,     25.164000,         11.400000,                   138.417380,      0.957000
                1592110080,           2020-06-14 04:48:00,           2020-06-13 23:48:00,      3.130000,     25.004000,         11.505000,                   139.281572,      0.956000
                1592111880,           2020-06-14 05:18:00,           2020-06-14 00:18:00,      3.130000,     24.853000,         11.546000,                   139.389197,      0.957000
                1592113680,           2020-06-14 05:48:00,           2020-06-14 00:48:00,      3.130000,     24.693000,         11.505000,                   138.484058,      0.956000
                1592115480,           2020-06-14 06:18:00,           2020-06-14 01:18:00,      3.130000,     24.576000,         11.464000,                   137.691856,      0.954000
                1592117280,           2020-06-14 06:48:00,           2020-06-14 01:48:00,      3.130000,     24.433000,         11.477000,                   137.482714,      0.957000
                1592119080,           2020-06-14 07:18:00,           2020-06-14 02:18:00,      3.130000,     24.290000,         11.380000,                   135.958773,      0.955000
                1592120880,           2020-06-14 07:48:00,           2020-06-14 02:48:00,      3.130000,     24.173000,         11.278000,                   134.446810,      0.956000
                1592122680,           2020-06-14 08:18:00,           2020-06-14 03:18:00,      3.130000,     24.030000,         11.119000,                   132.198048,      0.956000
                1592124480,           2020-06-14 08:48:00,           2020-06-14 03:48:00,      3.130000,     23.921000,         10.943000,                   129.840620,      0.954000
                1592126280,           2020-06-14 09:18:00,           2020-06-14 04:18:00,      3.130000,     23.762000,         10.772000,                   127.431513,      0.955000
                1592128080,           2020-06-14 09:48:00,           2020-06-14 04:48:00,      3.130000,     23.645000,         10.566000,                   124.720320,      0.954000
                1592129880,           2020-06-14 10:18:00,           2020-06-14 05:18:00,      3.130000,     23.519000,         10.349000,                   121.869743,      0.954000
                1592131680,           2020-06-14 10:48:00,           2020-06-14 05:48:00,      3.130000,     23.385000,         10.208000,                   119.906196,      0.953000
                1592133480,           2020-06-14 11:18:00,           2020-06-14 06:18:00,      3.130000,     23.268000,          9.896000,                   115.984897,      0.954000
                1592135280,           2020-06-14 11:48:00,           2020-06-14 06:48:00,      3.130000,     23.134000,          9.741000,                   113.879267,      0.954000
