KorDSS MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
FILE CREATED:,8/28/2020 16:52,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE,TIME,SITE,DATA ID,GPS Latitude (°),GPS Longitude (°),Barometer (mmHg),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Temp (°F),Sigma-T (s t),Sigma (s),Chlorophyll (RFU),Chlorophyll (µg/L),PC (RFU),PC (ug/L),ODO (% Sat),ODO (mg/L),ODO (% LocalB),pH,pH (mV),Pressure (psi a),Depth (m),Vertical Position (m)
8/24/2020,9:15:56 AM,Pond F,,89.99999 °,179.99998 °,734.9,387,387.9,0.18,388,252,76.8,-2.8,-2.8,1.57,6.47,-0.07,-0.15,94.4,7.81,97.6,16.27,-609.7,0.008,0.005,0.003
8/24/2020,9:15:56 AM,Pond F,,89.99999 °,179.99998 °,734.9,387,387.9,0.18,388,252,76.8,-2.8,-2.8,1.57,6.49,-0.07,-0.16,94.4,7.81,97.6,16.27,-609.7,0.007,0.005,0.004
8/24/2020,9:15:56 AM,Pond F,,89.99999 °,179.99998 °,734.9,387,387.9,0.18,388,252,76.8,-2.8,-2.8,1.57,6.47,-0.07,-0.16,94.3,7.8,97.6,16.27,-609.7,0.007,0.005,0.002
8/24/2020,9:15:56 AM,Pond F,,89.99999 °,179.99998 °,734.9,387,387.9,0.18,388,252,76.8,-2.8,-2.8,1.57,6.47,-0.07,-0.16,94.3,7.8,97.6,16.27,-609.7,0.007,0.005,0.002
8/24/2020,9:15:57 AM,Pond F,,89.99999 °,179.99998 °,734.9,387,387.9,0.18,388,252,76.8,-2.8,-2.8,1.57,6.48,-0.06,-0.15,94.3,7.8,97.5,16.27,-609.7,0.007,0.005,0.005
8/24/2020,9:15:57 AM,Pond F,,89.99999 °,179.99998 °,734.9,387,387.9,0.18,388,252,76.8,-2.8,-2.8,1.58,6.51,-0.06,-0.15,94.3,7.8,97.5,16.27,-609.7,0.007,0.005,0.006
8/24/2020,9:15:57 AM,Pond F,,89.99999 °,179.99998 °,734.9,387,387.9,0.18,388,252,76.8,-2.8,-2.8,1.57,6.5,-0.06,-0.15,94.3,7.8,97.5,16.27,-609.7,0.007,0.005,0.002
8/24/2020,9:15:57 AM,Pond F,,89.99999 °,179.99998 °,734.9,387,387.9,0.18,388,252,76.8,-2.8,-2.8,1.58,6.51,-0.05,-0.15,94.3,7.8,97.5,16.27,-609.7,0.007,0.005,0.008
8/24/2020,9:15:58 AM,Pond F,,89.99999 °,179.99998 °,734.9,387,387.9,0.18,388,252,76.8,-2.8,-2.8,1.57,6.49,-0.05,-0.15,94.3,7.8,97.5,16.27,-609.7,0.008,0.006,0.019
8/24/2020,9:15:58 AM,Pond F,,89.99999 °,179.99998 °,734.9,387,387.9,0.18,388,252,76.8,-2.8,-2.8,1.57,6.5,-0.05,-0.15,94.3,7.8,97.5,16.27,-609.7,0.008,0.006,0.024
8/24/2020,9:15:58 AM,Pond F,,89.99999 °,179.99998 °,734.9,387,387.9,0.18,388,252,76.8,-2.8,-2.8,1.57,6.5,-0.05,-0.15,94.3,7.8,97.5,16.27,-609.7,0.008,0.006,0.024
8/24/2020,9:15:58 AM,Pond F,,89.99999 °,179.99998 °,734.9,387,387.9,0.18,388,252,76.8,-2.8,-2.8,1.57,6.49,-0.05,-0.14,94.3,7.8,97.5,16.27,-609.7,0.011,0.008,0.027
8/24/2020,9:15:59 AM,Pond F,,89.99999 °,179.99998 °,734.9,387,387.9,0.18,388,252,76.8,-2.8,-2.8,1.56,6.46,-0.05,-0.14,94.3,7.8,97.5,16.27,-609.7,0.012,0.008,0.026
