"Plot Title: Pond F Deep 1.25m"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 20848647, SEN S/N: 20848647)","Intensity, lum/ft² (LGR S/N: 20848647, SEN S/N: 20848647)","Coupler Attached (LGR S/N: 20848647)","Host Connected (LGR S/N: 20848647)","Stopped (LGR S/N: 20848647)","End Of File (LGR S/N: 20848647)"
1,05/21/20 08:00:00 PM,62.598,10.0,,,,
2,05/21/20 08:30:00 PM,62.598,1.0,,,,
3,05/21/20 09:00:00 PM,62.598,0.0,,,,
4,05/21/20 09:30:00 PM,62.598,0.0,,,,
5,05/21/20 10:00:00 PM,62.598,0.0,,,,
6,05/21/20 10:30:00 PM,62.598,0.0,,,,
7,05/21/20 11:00:00 PM,62.598,0.0,,,,
8,05/21/20 11:30:00 PM,62.598,0.0,,,,
9,05/22/20 12:00:00 AM,62.598,0.0,,,,
10,05/22/20 12:30:00 AM,62.598,0.0,,,,
11,05/22/20 01:00:00 AM,62.598,0.0,,,,
12,05/22/20 01:30:00 AM,62.598,0.0,,,,
13,05/22/20 02:00:00 AM,62.598,0.0,,,,
14,05/22/20 02:30:00 AM,62.425,0.0,,,,
15,05/22/20 03:00:00 AM,62.598,0.0,,,,
16,05/22/20 03:30:00 AM,62.425,0.0,,,,
17,05/22/20 04:00:00 AM,62.425,0.0,,,,
18,05/22/20 04:30:00 AM,62.425,0.0,,,,
19,05/22/20 05:00:00 AM,62.425,0.0,,,,
20,05/22/20 05:30:00 AM,62.425,0.0,,,,
21,05/22/20 06:00:00 AM,62.425,11.0,,,,
22,05/22/20 06:30:00 AM,62.425,66.0,,,,
23,05/22/20 07:00:00 AM,62.425,64.0,,,,
24,05/22/20 07:30:00 AM,62.425,128.0,,,,
25,05/22/20 08:00:00 AM,62.425,104.0,,,,
26,05/22/20 08:30:00 AM,62.425,216.0,,,,
27,05/22/20 09:00:00 AM,62.598,232.0,,,,
28,05/22/20 09:30:00 AM,62.598,248.0,,,,
29,05/22/20 10:00:00 AM,62.598,352.0,,,,
30,05/22/20 10:30:00 AM,62.769,512.0,,,,
31,05/22/20 11:00:00 AM,62.940,800.0,,,,
32,05/22/20 11:30:00 AM,63.455,1408.0,,,,
33,05/22/20 12:00:00 PM,64.139,2560.0,,,,
34,05/22/20 12:30:00 PM,64.310,3200.0,,,,
35,05/22/20 01:00:00 PM,63.797,800.0,,,,
36,05/22/20 01:30:00 PM,63.455,512.0,,,,
37,05/22/20 02:00:00 PM,63.797,1792.0,,,,
38,05/22/20 02:30:00 PM,63.455,512.0,,,,
39,05/22/20 03:00:00 PM,63.968,1216.0,,,,
40,05/22/20 03:30:00 PM,64.139,1216.0,,,,
41,05/22/20 04:00:00 PM,63.626,288.0,,,,
42,05/22/20 04:30:00 PM,63.797,400.0,,,,
43,05/22/20 05:00:00 PM,63.797,208.0,,,,
44,05/22/20 05:30:00 PM,63.626,192.0,,,,
45,05/22/20 06:00:00 PM,63.797,152.0,,,,
46,05/22/20 06:30:00 PM,63.626,69.0,,,,
47,05/22/20 07:00:00 PM,63.626,115.0,,,,
48,05/22/20 07:30:00 PM,63.626,44.0,,,,
49,05/22/20 08:00:00 PM,63.626,15.0,,,,
50,05/22/20 08:30:00 PM,63.626,0.0,,,,
51,05/22/20 09:00:00 PM,63.626,0.0,,,,
52,05/22/20 09:30:00 PM,63.626,0.0,,,,
53,05/22/20 10:00:00 PM,63.626,0.0,,,,
54,05/22/20 10:30:00 PM,63.626,0.0,,,,
55,05/22/20 11:00:00 PM,63.626,0.0,,,,
56,05/22/20 11:30:00 PM,63.626,0.0,,,,
57,05/23/20 12:00:00 AM,63.626,0.0,,,,
58,05/23/20 12:30:00 AM,63.626,0.0,,,,
59,05/23/20 01:00:00 AM,63.626,0.0,,,,
60,05/23/20 01:30:00 AM,63.626,0.0,,,,
61,05/23/20 02:00:00 AM,63.626,0.0,,,,
62,05/23/20 02:30:00 AM,63.626,0.0,,,,
63,05/23/20 03:00:00 AM,63.626,0.0,,,,
64,05/23/20 03:30:00 AM,63.626,0.0,,,,
65,05/23/20 04:00:00 AM,63.626,0.0,,,,
66,05/23/20 04:30:00 AM,63.626,0.0,,,,
67,05/23/20 05:00:00 AM,63.626,0.0,,,,
68,05/23/20 05:30:00 AM,63.626,0.0,,,,
69,05/23/20 06:00:00 AM,63.626,5.0,,,,
70,05/23/20 06:30:00 AM,63.626,24.0,,,,
71,05/23/20 07:00:00 AM,63.626,45.0,,,,
72,05/23/20 07:30:00 AM,63.626,46.0,,,,
73,05/23/20 08:00:00 AM,63.626,72.0,,,,
74,05/23/20 08:30:00 AM,63.626,100.0,,,,
75,05/23/20 09:00:00 AM,63.626,176.0,,,,
76,05/23/20 09:30:00 AM,63.626,48.0,,,,
77,05/23/20 10:00:00 AM,63.797,400.0,,,,
78,05/23/20 10:30:00 AM,64.825,2048.0,,,,
79,05/23/20 11:00:00 AM,64.139,416.0,,,,
80,05/23/20 11:30:00 AM,63.968,248.0,,,,
81,05/23/20 12:00:00 PM,64.481,1024.0,,,,
82,05/23/20 12:30:00 PM,64.310,480.0,,,,
83,05/23/20 01:00:00 PM,64.825,1216.0,,,,
84,05/23/20 01:30:00 PM,64.996,2944.0,,,,
85,05/23/20 02:00:00 PM,65.167,2048.0,,,,
86,05/23/20 02:30:00 PM,64.996,608.0,,,,
87,05/23/20 03:00:00 PM,64.996,864.0,,,,
88,05/23/20 03:30:00 PM,64.825,432.0,,,,
89,05/23/20 04:00:00 PM,65.338,704.0,,,,
90,05/23/20 04:30:00 PM,65.338,1728.0,,,,
91,05/23/20 05:00:00 PM,65.167,368.0,,,,
92,05/23/20 05:30:00 PM,65.509,992.0,,,,
93,05/23/20 06:00:00 PM,65.338,768.0,,,,
94,05/23/20 06:30:00 PM,65.338,480.0,,,,
95,05/23/20 07:00:00 PM,65.167,336.0,,,,
96,05/23/20 07:30:00 PM,65.167,160.0,,,,
97,05/23/20 08:00:00 PM,65.167,42.0,,,,
98,05/23/20 08:30:00 PM,64.996,10.0,,,,
99,05/23/20 09:00:00 PM,65.167,0.0,,,,
100,05/23/20 09:30:00 PM,64.996,0.0,,,,
101,05/23/20 10:00:00 PM,64.996,0.0,,,,
102,05/23/20 10:30:00 PM,64.996,0.0,,,,
103,05/23/20 11:00:00 PM,64.996,0.0,,,,
104,05/23/20 11:30:00 PM,64.996,0.0,,,,
105,05/24/20 12:00:00 AM,64.996,0.0,,,,
106,05/24/20 12:30:00 AM,64.996,0.0,,,,
107,05/24/20 01:00:00 AM,64.996,0.0,,,,
108,05/24/20 01:30:00 AM,64.996,0.0,,,,
109,05/24/20 02:00:00 AM,64.996,0.0,,,,
110,05/24/20 02:30:00 AM,64.996,0.0,,,,
111,05/24/20 03:00:00 AM,64.996,0.0,,,,
112,05/24/20 03:30:00 AM,64.996,0.0,,,,
113,05/24/20 04:00:00 AM,64.996,0.0,,,,
114,05/24/20 04:30:00 AM,64.996,0.0,,,,
115,05/24/20 05:00:00 AM,64.996,0.0,,,,
116,05/24/20 05:30:00 AM,64.996,0.0,,,,
117,05/24/20 06:00:00 AM,64.996,17.0,,,,
118,05/24/20 06:30:00 AM,64.996,45.0,,,,
119,05/24/20 07:00:00 AM,64.996,54.0,,,,
120,05/24/20 07:30:00 AM,64.996,94.0,,,,
121,05/24/20 08:00:00 AM,64.996,60.0,,,,
122,05/24/20 08:30:00 AM,64.996,6.0,,,,
123,05/24/20 09:00:00 AM,64.996,37.0,,,,
124,05/24/20 09:30:00 AM,64.996,105.0,,,,
125,05/24/20 10:00:00 AM,64.996,272.0,,,,
126,05/24/20 10:30:00 AM,65.167,432.0,,,,
127,05/24/20 11:00:00 AM,65.167,320.0,,,,
128,05/24/20 11:30:00 AM,65.167,216.0,,,,
129,05/24/20 12:00:00 PM,65.338,464.0,,,,
130,05/24/20 12:30:00 PM,65.167,288.0,,,,
131,05/24/20 01:00:00 PM,65.509,800.0,,,,
132,05/24/20 01:30:00 PM,66.366,3328.0,,,,
133,05/24/20 02:00:00 PM,66.708,3200.0,,,,
134,05/24/20 02:30:00 PM,66.879,2688.0,,,,
135,05/24/20 03:00:00 PM,66.879,2944.0,,,,
136,05/24/20 03:30:00 PM,66.879,1536.0,,,,
137,05/24/20 04:00:00 PM,66.537,768.0,,,,
138,05/24/20 04:30:00 PM,66.708,992.0,,,,
139,05/24/20 05:00:00 PM,66.537,448.0,,,,
140,05/24/20 05:30:00 PM,66.366,136.0,,,,
141,05/24/20 06:00:00 PM,66.366,176.0,,,,
142,05/24/20 06:30:00 PM,66.366,98.0,,,,
143,05/24/20 07:00:00 PM,66.366,70.0,,,,
144,05/24/20 07:30:00 PM,66.366,18.0,,,,
145,05/24/20 08:00:00 PM,66.366,13.0,,,,
146,05/24/20 08:30:00 PM,66.366,0.0,,,,
