MiniDOT Logger Concatenated Data File,,,,,,,
Sensor:             7450-396810,,,,,,,
Concatenation Date: 2020Aug28 16:29:09 CDT,,,,,,,
,,,,,,,
DO concentration compensated for salinity: 0.0 (ppt),,,,,,,
Saturation computed at pressure: 1013.0 (mbar),,,,,,,
,,,,,,,
            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
1594405500,           2020-07-10 18:25:00,           2020-07-10 13:25:00,3.13,28.361,5.49,70.604273,1.002
1594407300,           2020-07-10 18:55:00,           2020-07-10 13:55:00,3.13,28.66,5.543,71.661517,1.003
1594409100,           2020-07-10 19:25:00,           2020-07-10 14:25:00,3.12,28.926,6.018,78.165787,1.002
1594410900,           2020-07-10 19:55:00,           2020-07-10 14:55:00,3.12,29.123,5.921,77.170948,1.002
1594412700,           2020-07-10 20:25:00,           2020-07-10 15:25:00,3.12,29.295,6.466,84.527134,1.001
1594414500,           2020-07-10 20:55:00,           2020-07-10 15:55:00,3.12,29.518,6.133,80.48538,1.002
1594416300,           2020-07-10 21:25:00,           2020-07-10 16:25:00,3.12,29.742,6.537,86.121008,0.997
1594418100,           2020-07-10 21:55:00,           2020-07-10 16:55:00,3.12,29.923,6.53,86.298517,1.001
1594419900,           2020-07-10 22:25:00,           2020-07-10 17:25:00,3.12,29.992,6.661,88.134733,0.999
1594421700,           2020-07-10 22:55:00,           2020-07-10 17:55:00,3.12,30.104,6.701,88.835468,1.002
1594423500,           2020-07-10 23:25:00,           2020-07-10 18:25:00,3.12,30.174,6.848,90.893833,1.002
1594425300,           2020-07-10 23:55:00,           2020-07-10 18:55:00,3.12,30.191,5.929,78.718948,0.991
1594427100,           2020-07-11 00:25:00,           2020-07-10 19:25:00,3.12,30.26,6.669,88.649121,1.002
1594428900,           2020-07-11 00:55:00,           2020-07-10 19:55:00,3.12,30.225,6.944,92.249028,1.003
1594430700,           2020-07-11 01:25:00,           2020-07-10 20:25:00,3.12,30.251,6.678,88.755007,1.004
1594432500,           2020-07-11 01:55:00,           2020-07-10 20:55:00,3.12,30.26,5.684,75.555796,0.991
1594434300,           2020-07-11 02:25:00,           2020-07-10 21:25:00,3.12,30.277,6.244,83.023999,1.002
1594436100,           2020-07-11 02:55:00,           2020-07-10 21:55:00,3.12,30.295,2.973,39.543048,0.994
1594437900,           2020-07-11 03:25:00,           2020-07-10 22:25:00,3.12,30.277,3.497,46.498226,1.001
1594439700,           2020-07-11 03:55:00,           2020-07-10 22:55:00,3.12,30.269,4.135,54.973892,1.002
1594441500,           2020-07-11 04:25:00,           2020-07-10 23:25:00,3.12,30.174,4.828,64.082276,1.002
1594443300,           2020-07-11 04:55:00,           2020-07-10 23:55:00,3.12,29.966,5.384,71.206192,1.004
1594445100,           2020-07-11 05:25:00,           2020-07-11 00:25:00,3.12,29.759,5.928,78.120791,1.004
1594446900,           2020-07-11 05:55:00,           2020-07-11 00:55:00,3.12,29.561,6.304,82.791234,1.005
1594448700,           2020-07-11 06:25:00,           2020-07-11 01:25:00,3.12,29.338,5.74,75.092633,1.005
1594450500,           2020-07-11 06:55:00,           2020-07-11 01:55:00,3.12,29.166,5.992,78.154907,1.005
1594452300,           2020-07-11 07:25:00,           2020-07-11 02:25:00,3.12,28.995,4.368,56.802955,1.003
1594454100,           2020-07-11 07:55:00,           2020-07-11 02:55:00,3.12,28.823,4.807,62.324089,1.005
1594455900,           2020-07-11 08:25:00,           2020-07-11 03:25:00,3.12,28.669,2.868,37.084194,1.006
1594457700,           2020-07-11 08:55:00,           2020-07-11 03:55:00,3.12,28.541,3.358,43.322592,1.006
1594459500,           2020-07-11 09:25:00,           2020-07-11 04:25:00,3.12,28.395,3.858,49.645609,1.005
1594461300,           2020-07-11 09:55:00,           2020-07-11 04:55:00,3.12,28.293,4.236,54.411951,1.005
1594463100,           2020-07-11 10:25:00,           2020-07-11 05:25:00,3.12,28.182,4.485,57.497707,1.005
1594464900,           2020-07-11 10:55:00,           2020-07-11 05:55:00,3.12,28.045,4.732,60.517604,1.005
1594466700,           2020-07-11 11:25:00,           2020-07-11 06:25:00,3.12,27.943,4.89,62.425508,1.005
1594468500,           2020-07-11 11:55:00,           2020-07-11 06:55:00,3.12,27.832,5.034,64.137547,1.005
1594470300,           2020-07-11 12:25:00,           2020-07-11 07:25:00,3.12,27.764,5.128,65.256432,1.005
1594472100,           2020-07-11 12:55:00,           2020-07-11 07:55:00,3.12,27.73,5.189,65.992851,1.005
1594473900,           2020-07-11 13:25:00,           2020-07-11 08:25:00,3.12,27.764,5.339,67.941515,1.004
1594475700,           2020-07-11 13:55:00,           2020-07-11 08:55:00,3.12,27.892,5.494,70.072823,1.004
1594477500,           2020-07-11 14:25:00,           2020-07-11 09:25:00,3.12,27.986,5.672,72.463613,1.004
1594479300,           2020-07-11 14:55:00,           2020-07-11 09:55:00,3.12,28.139,5.749,73.646257,1.004
1594481100,           2020-07-11 15:25:00,           2020-07-11 10:25:00,3.12,28.319,5.769,74.13749,1.004
1594482900,           2020-07-11 15:55:00,           2020-07-11 10:55:00,3.12,28.455,5.913,76.170186,1.003
1594484700,           2020-07-11 16:25:00,           2020-07-11 11:25:00,3.12,28.66,5.624,72.708709,0.993
1594486500,           2020-07-11 16:55:00,           2020-07-11 11:55:00,3.12,28.875,6.105,79.225094,1.004
1594488300,           2020-07-11 17:25:00,           2020-07-11 12:25:00,3.12,29.106,6.28,81.825678,1.004
1594490100,           2020-07-11 17:55:00,           2020-07-11 12:55:00,3.12,29.226,6.482,84.634536,1.004
1594491900,           2020-07-11 18:25:00,           2020-07-11 13:25:00,3.12,29.424,6.739,88.293833,1.004
1594493700,           2020-07-11 18:55:00,           2020-07-11 13:55:00,3.12,29.587,6.812,89.503225,1.004
1594495500,           2020-07-11 19:25:00,           2020-07-11 14:25:00,3.12,29.837,6.941,91.593909,1.004
1594497300,           2020-07-11 19:55:00,           2020-07-11 14:55:00,3.12,30.07,7.007,92.83768,1.004
1594499100,           2020-07-11 20:25:00,           2020-07-11 15:25:00,3.12,30.286,7.196,95.697183,1.003
1594500900,           2020-07-11 20:55:00,           2020-07-11 15:55:00,3.12,30.234,7.232,96.089911,1.004
1594502700,           2020-07-11 21:25:00,           2020-07-11 16:25:00,3.12,30.286,7.21,95.883364,1.004
1594504500,           2020-07-11 21:55:00,           2020-07-11 16:55:00,3.12,30.329,7.17,95.421961,1.003
1594506300,           2020-07-11 22:25:00,           2020-07-11 17:25:00,3.12,30.355,7.191,95.744227,1.004
1594508100,           2020-07-11 22:55:00,           2020-07-11 17:55:00,3.12,31.031,7.416,99.889555,1.005
1594509900,           2020-07-11 23:25:00,           2020-07-11 18:25:00,3.11,30.598,7.725,103.284066,1.005
1594511700,           2020-07-11 23:55:00,           2020-07-11 18:55:00,3.12,30.494,8.114,108.291696,1.004
1594513500,           2020-07-12 00:25:00,           2020-07-11 19:25:00,3.12,30.433,7.686,102.47212,1.005
1594515300,           2020-07-12 00:55:00,           2020-07-11 19:55:00,3.12,30.208,7.855,104.320861,1.006
1594517100,           2020-07-12 01:25:00,           2020-07-11 20:25:00,3.12,30.001,8.053,106.569476,1.005
1594518900,           2020-07-12 01:55:00,           2020-07-11 20:55:00,3.12,29.82,8.217,108.400215,1.005
1594520700,           2020-07-12 02:25:00,           2020-07-11 21:25:00,3.11,29.613,8.36,109.89202,1.005
1594522500,           2020-07-12 02:55:00,           2020-07-11 21:55:00,3.12,29.424,8.367,109.623757,1.005
1594524300,           2020-07-12 03:25:00,           2020-07-11 22:25:00,3.12,29.286,8.432,110.210507,1.006
1594526100,           2020-07-12 03:55:00,           2020-07-11 22:55:00,3.12,29.097,7.012,91.348975,1.005
1594527900,           2020-07-12 04:25:00,           2020-07-11 23:25:00,3.12,28.935,7.292,94.728253,1.006
1594529700,           2020-07-12 04:55:00,           2020-07-11 23:55:00,3.12,28.763,6.408,82.994233,1.006
1594531500,           2020-07-12 05:25:00,           2020-07-12 00:25:00,3.12,28.601,6.66,86.013306,1.006
1594533300,           2020-07-12 05:55:00,           2020-07-12 00:55:00,3.12,28.447,6.884,88.665953,1.005
1594535100,           2020-07-12 06:25:00,           2020-07-12 01:25:00,3.12,28.284,7.012,90.055732,1.006
1594536900,           2020-07-12 06:55:00,           2020-07-12 01:55:00,3.12,28.122,7.054,90.336535,1.006
1594538700,           2020-07-12 07:25:00,           2020-07-12 02:25:00,3.12,27.96,7.038,89.873817,1.005
1594540500,           2020-07-12 07:55:00,           2020-07-12 02:55:00,3.12,27.832,7,89.186101,1.006
1594542300,           2020-07-12 08:25:00,           2020-07-12 03:25:00,3.12,27.654,6.919,87.876002,1.005
1594544100,           2020-07-12 08:55:00,           2020-07-12 03:55:00,3.12,27.509,6.809,86.256167,1.005
1594545900,           2020-07-12 09:25:00,           2020-07-12 04:25:00,3.12,27.39,6.694,84.619735,1.005
1594547700,           2020-07-12 09:55:00,           2020-07-12 04:55:00,3.12,27.263,6.506,82.057002,1.006
1594549500,           2020-07-12 10:25:00,           2020-07-12 05:25:00,3.12,27.135,5.687,71.56341,1.005
1594551300,           2020-07-12 10:55:00,           2020-07-12 05:55:00,3.12,27,5.662,71.076773,1.005
1594553100,           2020-07-12 11:25:00,           2020-07-12 06:25:00,3.12,26.864,5.599,70.114632,1.005
