MiniDOT Logger Concatenated Data File
Sensor:             7450-192908
Concatenation Date: 2020Jun12 14:49:05 CDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at pressure: 1013.0 (mbar)

            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1590768240,           2020-05-29 16:04:00,           2020-05-29 11:04:00,      3.160000,     22.339000,         11.591000,                   133.470874,      0.957000
                1590770040,           2020-05-29 16:34:00,           2020-05-29 11:34:00,      3.150000,     22.498000,         12.288000,                   141.928044,      0.958000
                1590771840,           2020-05-29 17:04:00,           2020-05-29 12:04:00,      3.150000,     22.657000,         12.214000,                   141.502193,      0.957000
                1590773640,           2020-05-29 17:34:00,           2020-05-29 12:34:00,      3.150000,     23.000000,         12.699000,                   148.083888,      0.958000
                1590775440,           2020-05-29 18:04:00,           2020-05-29 13:04:00,      3.150000,     23.301000,         12.306000,                   144.320950,      0.953000
                1590777240,           2020-05-29 18:34:00,           2020-05-29 13:34:00,      3.150000,     23.653000,         12.996000,                   153.426927,      0.959000
                1590779040,           2020-05-29 19:04:00,           2020-05-29 14:04:00,      3.150000,     23.779000,         12.923000,                   152.926343,      0.959000
                1590780840,           2020-05-29 19:34:00,           2020-05-29 14:34:00,      3.140000,     24.106000,         12.836000,                   152.828850,      0.960000
                1590782640,           2020-05-29 20:04:00,           2020-05-29 15:04:00,      3.150000,     24.366000,         12.748000,                   152.517976,      0.958000
                1590784440,           2020-05-29 20:34:00,           2020-05-29 15:34:00,      3.150000,     24.534000,         12.841000,                   154.110671,      0.960000
                1590786240,           2020-05-29 21:04:00,           2020-05-29 16:04:00,      3.150000,     24.618000,         12.842000,                   154.362835,      0.959000
                1590788040,           2020-05-29 21:34:00,           2020-05-29 16:34:00,      3.140000,     24.895000,         12.842000,                   155.155401,      0.959000
                1590789840,           2020-05-29 22:04:00,           2020-05-29 17:04:00,      3.140000,     24.945000,         12.860000,                   155.516236,      0.958000
                1590791640,           2020-05-29 22:34:00,           2020-05-29 17:34:00,      3.140000,     25.206000,         12.713000,                   154.478844,      0.960000
                1590793440,           2020-05-29 23:04:00,           2020-05-29 18:04:00,      3.140000,     25.147000,         12.734000,                   154.566328,      0.959000
                1590795240,           2020-05-29 23:34:00,           2020-05-29 18:34:00,      3.140000,     25.189000,         12.233000,                   148.599823,      0.959000
                1590797040,           2020-05-30 00:04:00,           2020-05-29 19:04:00,      3.140000,     25.122000,         12.709000,                   154.191973,      0.959000
                1590798840,           2020-05-30 00:34:00,           2020-05-29 19:34:00,      3.140000,     24.937000,         12.810000,                   154.888735,      0.959000
                1590800640,           2020-05-30 01:04:00,           2020-05-29 20:04:00,      3.140000,     24.693000,         12.725000,                   153.169025,      0.959000
                1590802440,           2020-05-30 01:34:00,           2020-05-29 20:34:00,      3.140000,     24.550000,         12.620000,                   151.503298,      0.958000
                1590804240,           2020-05-30 02:04:00,           2020-05-29 21:04:00,      3.150000,     24.399000,         12.415000,                   148.625080,      0.958000
                1590806040,           2020-05-30 02:34:00,           2020-05-29 21:34:00,      3.140000,     24.206000,         12.549000,                   149.690649,      0.959000
                1590807840,           2020-05-30 03:04:00,           2020-05-29 22:04:00,      3.140000,     24.055000,         12.521000,                   148.936499,      0.958000
                1590809640,           2020-05-30 03:34:00,           2020-05-29 22:34:00,      3.140000,     23.871000,         12.202000,                   144.643428,      0.957000
                1590811440,           2020-05-30 04:04:00,           2020-05-29 23:04:00,      3.140000,     23.703000,         12.091000,                   142.876862,      0.958000
                1590813240,           2020-05-30 04:34:00,           2020-05-29 23:34:00,      3.150000,     23.578000,         11.862000,                   139.841974,      0.956000
                1590815040,           2020-05-30 05:04:00,           2020-05-30 00:04:00,      3.150000,     23.418000,         11.759000,                   138.210679,      0.955000
                1590816840,           2020-05-30 05:34:00,           2020-05-30 00:34:00,      3.150000,     23.276000,         11.437000,                   134.066266,      0.956000
                1590818640,           2020-05-30 06:04:00,           2020-05-30 01:04:00,      3.140000,     23.142000,         11.345000,                   132.651264,      0.953000
                1590820440,           2020-05-30 06:34:00,           2020-05-30 01:34:00,      3.140000,     23.025000,         11.072000,                   129.172565,      0.952000
                1590822240,           2020-05-30 07:04:00,           2020-05-30 02:04:00,      3.140000,     22.925000,         11.053000,                   128.706427,      0.952000
                1590824040,           2020-05-30 07:34:00,           2020-05-30 02:34:00,      3.140000,     22.799000,         11.056000,                   128.433380,      0.953000
                1590825840,           2020-05-30 08:04:00,           2020-05-30 03:04:00,      3.140000,     22.690000,         10.859000,                   125.883349,      0.951000
                1590827640,           2020-05-30 08:34:00,           2020-05-30 03:34:00,      3.140000,     22.565000,         10.439000,                   120.726270,      0.948000
                1590829440,           2020-05-30 09:04:00,           2020-05-30 04:04:00,      3.150000,     22.464000,         10.622000,                   122.605799,      0.949000
                1590831240,           2020-05-30 09:34:00,           2020-05-30 04:34:00,      3.150000,     22.339000,         10.299000,                   118.593437,      0.947000
                1590833040,           2020-05-30 10:04:00,           2020-05-30 05:04:00,      3.140000,     22.205000,         10.313000,                   118.449843,      0.948000
                1590834840,           2020-05-30 10:34:00,           2020-05-30 05:34:00,      3.140000,     22.122000,          9.701000,                   111.243207,      0.944000
                1590836640,           2020-05-30 11:04:00,           2020-05-30 06:04:00,      3.140000,     22.021000,          9.310000,                   106.552303,      0.940000
                1590838440,           2020-05-30 11:34:00,           2020-05-30 06:34:00,      3.140000,     21.921000,          9.429000,                   107.706530,      0.943000
                1590840240,           2020-05-30 12:04:00,           2020-05-30 07:04:00,      3.140000,     21.846000,          9.180000,                   104.710604,      0.943000
                1590842040,           2020-05-30 12:34:00,           2020-05-30 07:34:00,      3.140000,     21.804000,          9.487000,                   108.124635,      0.945000
                1590843840,           2020-05-30 13:04:00,           2020-05-30 08:04:00,      3.140000,     21.779000,          9.596000,                   109.314110,      0.945000
                1590845640,           2020-05-30 13:34:00,           2020-05-30 08:34:00,      3.140000,     21.796000,          9.970000,                   113.611893,      0.946000
                1590847440,           2020-05-30 14:04:00,           2020-05-30 09:04:00,      3.140000,     21.896000,         10.652000,                   121.618086,      0.952000
                1590849240,           2020-05-30 14:34:00,           2020-05-30 09:34:00,      3.140000,     22.030000,         11.483000,                   131.444910,      0.953000
                1590851040,           2020-05-30 15:04:00,           2020-05-30 10:04:00,      3.140000,     22.172000,         12.591000,                   144.522171,      0.955000
                1590852840,           2020-05-30 15:34:00,           2020-05-30 10:34:00,      3.150000,     22.456000,         12.763000,                   147.296029,      0.957000
                1590854640,           2020-05-30 16:04:00,           2020-05-30 11:04:00,      3.140000,     22.665000,         11.034000,                   127.851103,      0.946000
