"Plot Title: 8_PondB_Deep_Anchor"
"#","Date Time, GMT-05:00","Abs Pres, psi (LGR S/N: 10499253, SEN S/N: 10499253)","Temp, °F (LGR S/N: 10499253, SEN S/N: 10499253)","Coupler Detached (LGR S/N: 10499253)","Coupler Attached (LGR S/N: 10499253)","Host Connected (LGR S/N: 10499253)","Stopped (LGR S/N: 10499253)","End Of File (LGR S/N: 10499253)"
1,05/09/20 08:00:00 PM,16.3830,58.476,Logged,,,,
2,05/09/20 08:30:00 PM,16.3806,58.476,,,,,
3,05/09/20 09:00:00 PM,16.3806,58.476,,,,,
4,05/09/20 09:30:00 PM,16.3826,58.303,,,,,
5,05/09/20 10:00:00 PM,16.3800,58.303,,,,,
6,05/09/20 10:30:00 PM,16.3926,58.303,,,,,
7,05/09/20 11:00:00 PM,16.3875,58.303,,,,,
8,05/09/20 11:30:00 PM,16.3851,58.303,,,,,
9,05/10/20 12:00:00 AM,16.3820,58.131,,,,,
10,05/10/20 12:30:00 AM,16.3795,58.131,,,,,
11,05/10/20 01:00:00 AM,16.3795,58.131,,,,,
12,05/10/20 01:30:00 AM,16.3795,58.131,,,,,
13,05/10/20 02:00:00 AM,16.3745,58.131,,,,,
14,05/10/20 02:30:00 AM,16.3694,58.131,,,,,
15,05/10/20 03:00:00 AM,16.3663,57.958,,,,,
16,05/10/20 03:30:00 AM,16.3714,57.958,,,,,
17,05/10/20 04:00:00 AM,16.3790,57.958,,,,,
18,05/10/20 04:30:00 AM,16.3840,57.958,,,,,
19,05/10/20 05:00:00 AM,16.3916,57.958,,,,,
20,05/10/20 05:30:00 AM,16.3967,57.958,,,,,
21,05/10/20 06:00:00 AM,16.4038,57.785,,,,,
22,05/10/20 06:30:00 AM,16.4113,57.785,,,,,
23,05/10/20 07:00:00 AM,16.4164,57.785,,,,,
24,05/10/20 07:30:00 AM,16.4210,57.614,,,,,
25,05/10/20 08:00:00 AM,16.4235,57.614,,,,,
26,05/10/20 08:30:00 AM,16.4281,57.441,,,,,
27,05/10/20 09:00:00 AM,16.4306,57.441,,,,,
28,05/10/20 09:30:00 AM,16.4351,57.268,,,,,
29,05/10/20 10:00:00 AM,16.4377,57.268,,,,,
30,05/10/20 10:30:00 AM,16.4402,57.268,,,,,
31,05/10/20 11:00:00 AM,16.4452,57.268,,,,,
32,05/10/20 11:30:00 AM,16.4452,57.268,,,,,
33,05/10/20 12:00:00 PM,16.4529,57.268,,,,,
34,05/10/20 12:30:00 PM,16.4579,57.268,,,,,
35,05/10/20 01:00:00 PM,16.4605,57.268,,,,,
36,05/10/20 01:30:00 PM,16.4629,57.268,,,,,
37,05/10/20 02:00:00 PM,16.4656,57.268,,,,,
38,05/10/20 02:30:00 PM,16.4635,57.441,,,,,
39,05/10/20 03:00:00 PM,16.4584,57.441,,,,,
40,05/10/20 03:30:00 PM,16.4635,57.441,,,,,
41,05/10/20 04:00:00 PM,16.4660,57.441,,,,,
42,05/10/20 04:30:00 PM,16.4609,57.441,,,,,
43,05/10/20 05:00:00 PM,16.4686,57.441,,,,,
44,05/10/20 05:30:00 PM,16.4690,57.614,,,,,
45,05/10/20 06:00:00 PM,16.4737,57.441,,,,,
46,05/10/20 06:30:00 PM,16.4741,57.614,,,,,
47,05/10/20 07:00:00 PM,16.4737,57.441,,,,,
48,05/10/20 07:30:00 PM,16.4761,57.441,,,,,
49,05/10/20 08:00:00 PM,16.4737,57.441,,,,,
50,05/10/20 08:30:00 PM,16.4757,57.268,,,,,
51,05/10/20 09:00:00 PM,16.4777,57.096,,,,,
52,05/10/20 09:30:00 PM,16.4802,57.096,,,,,
53,05/10/20 10:00:00 PM,16.4822,56.923,,,,,
54,05/10/20 10:30:00 PM,16.4873,56.923,,,,,
55,05/10/20 11:00:00 PM,16.4867,56.750,,,,,
56,05/10/20 11:30:00 PM,16.4837,56.577,,,,,
57,05/11/20 12:00:00 AM,16.4832,56.404,,,,,
58,05/11/20 12:30:00 AM,16.4827,56.230,,,,,
59,05/11/20 01:00:00 AM,16.4877,56.230,,,,,
60,05/11/20 01:30:00 AM,16.4873,56.057,,,,,
61,05/11/20 02:00:00 AM,16.4843,55.884,,,,,
62,05/11/20 02:30:00 AM,16.4812,55.711,,,,,
63,05/11/20 03:00:00 AM,16.4838,55.711,,,,,
64,05/11/20 03:30:00 AM,16.4812,55.711,,,,,
65,05/11/20 04:00:00 AM,16.4808,55.537,,,,,
66,05/11/20 04:30:00 AM,16.4782,55.537,,,,,
67,05/11/20 05:00:00 AM,16.4802,55.364,,,,,
68,05/11/20 05:30:00 AM,16.4822,55.189,,,,,
69,05/11/20 06:00:00 AM,16.4873,55.189,,,,,
70,05/11/20 06:30:00 AM,16.4918,55.017,,,,,
71,05/11/20 07:00:00 AM,16.4938,54.842,,,,,
72,05/11/20 07:30:00 AM,16.4959,54.669,,,,,
73,05/11/20 08:00:00 AM,16.5009,54.669,,,,,
74,05/11/20 08:30:00 AM,16.5030,54.495,,,,,
75,05/11/20 09:00:00 AM,16.5056,54.495,,,,,
76,05/11/20 09:30:00 AM,16.5025,54.322,,,,,
77,05/11/20 10:00:00 AM,16.5025,54.322,,,,,
78,05/11/20 10:30:00 AM,16.5030,54.495,,,,,
79,05/11/20 11:00:00 AM,16.4979,54.495,,,,,
80,05/11/20 11:30:00 AM,16.4959,54.669,,,,,
81,05/11/20 12:00:00 PM,16.4909,54.669,,,,,
82,05/11/20 12:30:00 PM,16.4883,54.669,,,,,
83,05/11/20 01:00:00 PM,16.4812,54.842,,,,,
84,05/11/20 01:30:00 PM,16.4761,54.842,,,,,
85,05/11/20 02:00:00 PM,16.4737,54.842,,,,,
86,05/11/20 02:30:00 PM,16.4716,55.017,,,,,
87,05/11/20 03:00:00 PM,16.4671,55.189,,,,,
88,05/11/20 03:30:00 PM,16.4570,55.189,,,,,
89,05/11/20 04:00:00 PM,16.4524,55.364,,,,,
90,05/11/20 04:30:00 PM,16.4479,55.537,,,,,
91,05/11/20 05:00:00 PM,16.4434,55.711,,,,,
92,05/11/20 05:30:00 PM,16.4383,55.711,,,,,
93,05/11/20 06:00:00 PM,16.4336,55.884,,,,,
94,05/11/20 06:30:00 PM,16.4286,55.884,,,,,
95,05/11/20 07:00:00 PM,16.4265,56.057,,,,,
96,05/11/20 07:30:00 PM,16.4265,56.057,,,,,
97,05/11/20 08:00:00 PM,16.4241,56.057,,,,,
98,05/11/20 08:30:00 PM,16.4220,56.230,,,,,
99,05/11/20 09:00:00 PM,16.4245,56.230,,,,,
100,05/11/20 09:30:00 PM,16.4296,56.230,,,,,
101,05/11/20 10:00:00 PM,16.4322,56.230,,,,,
102,05/11/20 10:30:00 PM,16.4373,56.230,,,,,
103,05/11/20 11:00:00 PM,16.4422,56.230,,,,,
104,05/11/20 11:30:00 PM,16.4448,56.230,,,,,
105,05/12/20 12:00:00 AM,16.4448,56.230,,,,,
106,05/12/20 12:30:00 AM,16.4473,56.230,,,,,
107,05/12/20 01:00:00 AM,16.4473,56.230,,,,,
108,05/12/20 01:30:00 AM,16.4473,56.230,,,,,
109,05/12/20 02:00:00 AM,16.4499,56.230,,,,,
110,05/12/20 02:30:00 AM,16.4473,56.230,,,,,
111,05/12/20 03:00:00 AM,16.4473,56.230,,,,,
112,05/12/20 03:30:00 AM,16.4499,56.230,,,,,
113,05/12/20 04:00:00 AM,16.4499,56.230,,,,,
114,05/12/20 04:30:00 AM,16.4473,56.230,,,,,
115,05/12/20 05:00:00 AM,16.4493,56.057,,,,,
116,05/12/20 05:30:00 AM,16.4493,56.057,,,,,
117,05/12/20 06:00:00 AM,16.4513,55.884,,,,,
118,05/12/20 06:30:00 AM,16.4540,55.884,,,,,
119,05/12/20 07:00:00 AM,16.4584,55.711,,,,,
120,05/12/20 07:30:00 AM,16.4605,55.537,,,,,
121,05/12/20 08:00:00 AM,16.4605,55.537,,,,,
122,05/12/20 08:30:00 AM,16.4625,55.364,,,,,
123,05/12/20 09:00:00 AM,16.4625,55.364,,,,,
124,05/12/20 09:30:00 AM,16.4625,55.364,,,,,
125,05/12/20 10:00:00 AM,16.4625,55.364,,,,,
126,05/12/20 10:30:00 AM,16.4580,55.537,,,,,
127,05/12/20 11:00:00 AM,16.4580,55.537,,,,,
128,05/12/20 11:30:00 AM,16.4605,55.537,,,,,
129,05/12/20 12:00:00 PM,16.4580,55.537,,,,,
130,05/12/20 12:30:00 PM,16.4509,55.711,,,,,
131,05/12/20 01:00:00 PM,16.4434,55.711,,,,,
132,05/12/20 01:30:00 PM,16.4387,55.884,,,,,
133,05/12/20 02:00:00 PM,16.4336,55.884,,,,,
134,05/12/20 02:30:00 PM,16.4291,56.057,,,,,
135,05/12/20 03:00:00 PM,16.4241,56.057,,,,,
136,05/12/20 03:30:00 PM,16.4194,56.230,,,,,
137,05/12/20 04:00:00 PM,16.4149,56.404,,,,,
138,05/12/20 04:30:00 PM,16.4099,56.404,,,,,
139,05/12/20 05:00:00 PM,16.4054,56.577,,,,,
140,05/12/20 05:30:00 PM,16.4054,56.577,,,,,
141,05/12/20 06:00:00 PM,16.4033,56.750,,,,,
142,05/12/20 06:30:00 PM,16.4007,56.750,,,,,
143,05/12/20 07:00:00 PM,16.3987,56.923,,,,,
144,05/12/20 07:30:00 PM,16.3962,56.923,,,,,
145,05/12/20 08:00:00 PM,16.3938,56.923,,,,,
146,05/12/20 08:30:00 PM,16.3938,56.923,,,,,
147,05/12/20 09:00:00 PM,16.3962,56.923,,,,,
148,05/12/20 09:30:00 PM,16.3962,56.923,,,,,
149,05/12/20 10:00:00 PM,16.3987,56.923,,,,,
150,05/12/20 10:30:00 PM,16.3962,56.923,,,,,
151,05/12/20 11:00:00 PM,16.3987,56.923,,,,,
152,05/12/20 11:30:00 PM,16.3962,56.923,,,,,
153,05/13/20 12:00:00 AM,16.3938,56.923,,,,,
154,05/13/20 12:30:00 AM,16.3938,56.923,,,,,
155,05/13/20 01:00:00 AM,16.3962,56.923,,,,,
156,05/13/20 01:30:00 AM,16.3938,56.923,,,,,
157,05/13/20 02:00:00 AM,16.3938,56.923,,,,,
158,05/13/20 02:30:00 AM,16.3962,56.923,,,,,
159,05/13/20 03:00:00 AM,16.3987,56.923,,,,,
160,05/13/20 03:30:00 AM,16.3962,56.923,,,,,
161,05/13/20 04:00:00 AM,16.3938,56.923,,,,,
162,05/13/20 04:30:00 AM,16.3887,56.923,,,,,
163,05/13/20 05:00:00 AM,16.3887,56.923,,,,,
164,05/13/20 05:30:00 AM,16.3836,56.923,,,,,
165,05/13/20 06:00:00 AM,16.3785,56.923,,,,,
166,05/13/20 06:30:00 AM,16.3836,56.923,,,,,
167,05/13/20 07:00:00 AM,16.3911,56.923,,,,,
168,05/13/20 07:30:00 AM,16.3938,56.923,,,,,
169,05/13/20 08:00:00 AM,16.3911,56.923,,,,,
170,05/13/20 08:30:00 AM,16.3836,56.923,,,,,
171,05/13/20 09:00:00 AM,16.3684,56.923,,,,,
172,05/13/20 09:30:00 AM,16.3659,56.923,,,,,
173,05/13/20 10:00:00 AM,16.3613,57.096,,,,,
174,05/13/20 10:30:00 AM,16.3562,57.096,,,,,
175,05/13/20 11:00:00 AM,16.3513,57.096,,,,,
176,05/13/20 11:30:00 AM,16.3487,57.096,,,,,
177,05/13/20 12:00:00 PM,16.3415,57.268,,,,,
178,05/13/20 12:30:00 PM,16.3340,57.268,,,,,
179,05/13/20 01:00:00 PM,16.3320,57.441,,,,,
180,05/13/20 01:30:00 PM,16.3295,57.441,,,,,
181,05/13/20 02:00:00 PM,16.3244,57.441,,,,,
182,05/13/20 02:30:00 PM,16.3218,57.441,,,,,
183,05/13/20 03:00:00 PM,16.3143,57.441,,,,,
184,05/13/20 03:30:00 PM,16.3092,57.441,,,,,
185,05/13/20 04:00:00 PM,16.3017,57.441,,,,,
186,05/13/20 04:30:00 PM,16.3118,57.441,,,,,
187,05/13/20 05:00:00 PM,16.3167,57.441,,,,,
188,05/13/20 05:30:00 PM,16.3143,57.441,,,,,
189,05/13/20 06:00:00 PM,16.3092,57.441,,,,,
190,05/13/20 06:30:00 PM,16.3017,57.441,,,,,
191,05/13/20 07:00:00 PM,16.3017,57.441,,,,,
192,05/13/20 07:30:00 PM,16.3041,57.441,,,,,
193,05/13/20 08:00:00 PM,16.2991,57.441,,,,,
194,05/13/20 08:30:00 PM,16.2941,57.441,,,,,
195,05/13/20 09:00:00 PM,16.2840,57.441,,,,,
196,05/13/20 09:30:00 PM,16.2814,57.441,,,,,
197,05/13/20 10:00:00 PM,16.2864,57.441,,,,,
198,05/13/20 10:30:00 PM,16.2864,57.441,,,,,
199,05/13/20 11:00:00 PM,16.2890,57.441,,,,,
200,05/13/20 11:30:00 PM,16.2864,57.441,,,,,
201,05/14/20 12:00:00 AM,16.2860,57.268,,,,,
202,05/14/20 12:30:00 AM,16.2860,57.268,,,,,
203,05/14/20 01:00:00 AM,16.2860,57.268,,,,,
204,05/14/20 01:30:00 AM,16.2834,57.268,,,,,
205,05/14/20 02:00:00 AM,16.2758,57.268,,,,,
206,05/14/20 02:30:00 AM,16.2708,57.268,,,,,
207,05/14/20 03:00:00 AM,16.2683,57.268,,,,,
208,05/14/20 03:30:00 AM,16.2657,57.268,,,,,
209,05/14/20 04:00:00 AM,16.2608,57.268,,,,,
210,05/14/20 04:30:00 AM,16.2551,57.096,,,,,
211,05/14/20 05:00:00 AM,16.2602,57.096,,,,,
212,05/14/20 05:30:00 AM,16.2602,57.096,,,,,
213,05/14/20 06:00:00 AM,16.2653,57.096,,,,,
214,05/14/20 06:30:00 AM,16.2703,57.096,,,,,
215,05/14/20 07:00:00 AM,16.2703,57.096,,,,,
216,05/14/20 07:30:00 AM,16.2754,57.096,,,,,
217,05/14/20 08:00:00 AM,16.2803,57.096,,,,,
218,05/14/20 08:30:00 AM,16.2830,57.096,,,,,
219,05/14/20 09:00:00 AM,16.2754,57.096,,,,,
220,05/14/20 09:30:00 AM,16.2754,57.096,,,,,
221,05/14/20 10:00:00 AM,16.2728,57.096,,,,,
222,05/14/20 10:30:00 AM,16.2779,57.096,,,,,
223,05/14/20 11:00:00 AM,16.2703,57.096,,,,,
224,05/14/20 11:30:00 AM,16.2754,57.096,,,,,
225,05/14/20 12:00:00 PM,16.2785,57.268,,,,,
226,05/14/20 12:30:00 PM,16.2758,57.268,,,,,
227,05/14/20 01:00:00 PM,16.2785,57.268,,,,,
228,05/14/20 01:30:00 PM,16.2687,57.441,,,,,
229,05/14/20 02:00:00 PM,16.2587,57.441,,,,,
230,05/14/20 02:30:00 PM,16.2667,57.614,,,,,
231,05/14/20 03:00:00 PM,16.3603,57.614,,,,,
