MiniDOT Logger Concatenated Data File,,,,,,,
Sensor:             7450-203238,,,,,,,
Concatenation Date: 2020Aug28 16:10:16 CDT,,,,,,,
,,,,,,,
DO concentration compensated for salinity: 0.0 (ppt),,,,,,,
Saturation computed at pressure: 1013.0 (mbar),,,,,,,
,,,,,,,
            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
1594404240,           2020-07-10 18:04:00,           2020-07-10 13:04:00,3.12,27.233,8.85,111.560921,0.955
1594406040,           2020-07-10 18:34:00,           2020-07-10 13:34:00,3.11,27.377,9.924,125.421509,0.955
1594407840,           2020-07-10 19:04:00,           2020-07-10 14:04:00,3.11,27.564,10.506,133.219975,0.956
1594409640,           2020-07-10 19:34:00,           2020-07-10 14:34:00,3.11,27.768,11.139,141.759554,0.956
1594411440,           2020-07-10 20:04:00,           2020-07-10 15:04:00,3.11,27.93,11.443,146.047174,0.956
1594413240,           2020-07-10 20:34:00,           2020-07-10 15:34:00,3.11,27.998,11.303,144.434086,0.957
1594415040,           2020-07-10 21:04:00,           2020-07-10 16:04:00,3.11,28.109,12.253,156.881117,0.957
1594416840,           2020-07-10 21:34:00,           2020-07-10 16:34:00,3.11,28.237,12.397,159.083866,0.958
1594418640,           2020-07-10 22:04:00,           2020-07-10 17:04:00,3.11,28.357,12.203,156.925912,0.958
1594420440,           2020-07-10 22:34:00,           2020-07-10 17:34:00,3.11,28.459,11.631,149.83896,0.957
1594422240,           2020-07-10 23:04:00,           2020-07-10 18:04:00,3.11,28.536,10.828,139.683089,0.957
1594424040,           2020-07-10 23:34:00,           2020-07-10 18:34:00,3.11,28.605,11.269,145.548351,0.958
1594425840,           2020-07-11 00:04:00,           2020-07-10 19:04:00,3.11,28.639,10.881,140.62091,0.958
1594427640,           2020-07-11 00:34:00,           2020-07-10 19:34:00,3.11,28.673,6.209,80.290068,0.862
1594429440,           2020-07-11 01:04:00,           2020-07-10 20:04:00,3.11,28.699,6.657,86.122526,0.914
1594431240,           2020-07-11 01:34:00,           2020-07-10 20:34:00,3.11,28.724,7.372,95.414393,0.93
1594433040,           2020-07-11 02:04:00,           2020-07-10 21:04:00,3.11,28.776,7.97,103.248239,0.94
1594434840,           2020-07-11 02:34:00,           2020-07-10 21:34:00,3.11,28.733,8.431,109.138046,0.948
1594436640,           2020-07-11 03:04:00,           2020-07-10 22:04:00,3.11,28.733,8.699,112.607266,0.95
1594438440,           2020-07-11 03:34:00,           2020-07-10 22:34:00,3.11,28.759,9.113,118.0202,0.954
1594440240,           2020-07-11 04:04:00,           2020-07-10 23:04:00,3.11,28.784,9.229,119.574849,0.955
1594442040,           2020-07-11 04:34:00,           2020-07-10 23:34:00,3.11,28.733,8.962,116.011762,0.956
1594443840,           2020-07-11 05:04:00,           2020-07-11 00:04:00,3.11,28.759,9,116.556765,0.956
1594445640,           2020-07-11 05:34:00,           2020-07-11 00:34:00,3.11,28.716,8.864,114.708977,0.956
1594447440,           2020-07-11 06:04:00,           2020-07-11 01:04:00,3.11,28.605,8.975,115.919465,0.956
1594449240,           2020-07-11 06:34:00,           2020-07-11 01:34:00,3.11,28.502,8.747,112.770419,0.957
1594451040,           2020-07-11 07:04:00,           2020-07-11 02:04:00,3.11,28.357,8.309,106.850562,0.956
1594452840,           2020-07-11 07:34:00,           2020-07-11 02:34:00,3.11,28.22,7.703,98.818714,0.954
1594454640,           2020-07-11 08:04:00,           2020-07-11 03:04:00,3.11,28.041,6.94,88.749465,0.953
1594456440,           2020-07-11 08:34:00,           2020-07-11 03:34:00,3.11,27.922,6.019,76.809702,0.949
1594458240,           2020-07-11 09:04:00,           2020-07-11 04:04:00,3.11,27.777,6.309,80.303785,0.952
1594460040,           2020-07-11 09:34:00,           2020-07-11 04:34:00,3.11,27.649,6.113,77.632355,0.952
1594461840,           2020-07-11 10:04:00,           2020-07-11 05:04:00,3.11,27.522,5.845,74.061389,0.951
1594463640,           2020-07-11 10:34:00,           2020-07-11 05:34:00,3.11,27.42,5.269,66.641757,0.95
1594465440,           2020-07-11 11:04:00,           2020-07-11 06:04:00,3.11,27.301,5.273,66.55092,0.951
1594467240,           2020-07-11 11:34:00,           2020-07-11 06:34:00,3.11,27.173,5.445,68.564749,0.951
1594469040,           2020-07-11 12:04:00,           2020-07-11 07:04:00,3.11,27.063,5.115,64.282638,0.951
1594470840,           2020-07-11 12:34:00,           2020-07-11 07:34:00,3.11,27.012,4.622,58.033824,0.95
1594472640,           2020-07-11 13:04:00,           2020-07-11 08:04:00,3.11,27.004,4.139,51.961826,0.948
1594474440,           2020-07-11 13:34:00,           2020-07-11 08:34:00,3.11,27.029,4.898,61.518017,0.951
1594476240,           2020-07-11 14:04:00,           2020-07-11 09:04:00,3.11,27.114,5.342,67.196783,0.951
1594478040,           2020-07-11 14:34:00,           2020-07-11 09:34:00,3.11,27.173,5.703,71.813547,0.952
1594479840,           2020-07-11 15:04:00,           2020-07-11 10:04:00,3.11,27.292,6.013,75.878321,0.951
1594481640,           2020-07-11 15:34:00,           2020-07-11 10:34:00,3.11,27.411,6.13,77.519156,0.952
1594483440,           2020-07-11 16:04:00,           2020-07-11 11:04:00,3.11,27.53,7.904,100.165027,0.939
1594485240,           2020-07-11 16:34:00,           2020-07-11 11:34:00,3.11,27.641,7.328,93.049079,0.952
1594487040,           2020-07-11 17:04:00,           2020-07-11 12:04:00,3.11,27.785,8.134,103.5479,0.95
1594488840,           2020-07-11 17:34:00,           2020-07-11 12:34:00,3.11,27.939,3.877,49.490093,0.878
1594490640,           2020-07-11 18:04:00,           2020-07-11 13:04:00,3.11,28.092,5.268,67.428509,0.916
1594492440,           2020-07-11 18:34:00,           2020-07-11 13:34:00,3.11,28.305,6.307,81.031342,0.931
1594494240,           2020-07-11 19:04:00,           2020-07-11 14:04:00,3.11,28.451,7.445,95.898383,0.939
1594496040,           2020-07-11 19:34:00,           2020-07-11 14:34:00,3.11,28.605,5.808,75.01507,0.943
