DATE,TIME,SITE,DATA ID,GPS Latitude (°),GPS Longitude (°),Barometer (mmHg),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Temp (°F),Resistivity (ohms-cm),Sigma-T (s t),Sigma (s),Chlorophyll (RFU),Chlorophyll (µg/L),PC (RFU),PC (ug/L),ODO (% Sat),ODO (mg/L),pH,pH (mV),Pressure (psi a),Depth (m),Vertical Position (m)
5/26/2020,9:43:02 AM,Pond A,,89.99999 °,179.99998 °,731.1,235.4,258.5,0.12,260.6,168,68.6,4248.4,-1.8,-1.8,1.71,7.04,0.08,-0.06,145.2,13.11,8.75,-167.7,0.002,0.001,-0.006
5/26/2020,9:43:02 AM,Pond A,,89.99999 °,179.99998 °,731.1,235.4,258.5,0.12,260.6,168,68.6,4248.4,-1.8,-1.8,1.71,7.04,0.08,-0.06,145.2,13.11,8.75,-167.7,0.002,0.001,-0.006
5/26/2020,9:43:02 AM,Pond A,,89.99999 °,179.99998 °,731.1,235.4,258.5,0.12,260.6,168,68.6,4248.6,-1.8,-1.8,1.66,6.83,0.07,-0.06,145.2,13.11,8.75,-167.7,0.002,0.001,-0.007
5/26/2020,9:43:02 AM,Pond A,,89.99999 °,179.99998 °,731.1,235.4,258.4,0.12,260.6,168,68.6,4248.8,-1.8,-1.8,1.61,6.66,0.08,-0.06,145.2,13.11,8.75,-167.7,0.002,0.001,-0.008
5/26/2020,9:43:03 AM,Pond A,,89.99999 °,179.99998 °,731.1,235.3,258.4,0.12,260.6,168,68.6,4249,-1.8,-1.8,1.59,6.56,0.07,-0.06,145.3,13.11,8.75,-167.7,0.002,0.001,-0.007
5/26/2020,9:43:03 AM,Pond A,,89.99999 °,179.99998 °,731.1,235.3,258.4,0.12,260.6,168,68.6,4249.2,-1.8,-1.8,1.57,6.48,0.07,-0.07,145.3,13.12,8.75,-167.8,0.002,0.001,-0.006
5/26/2020,9:43:03 AM,Pond A,,89.99999 °,179.99998 °,731.1,235.3,258.4,0.12,260.5,168,68.6,4249.2,-1.8,-1.8,1.57,6.49,0.07,-0.07,145.3,13.12,8.75,-167.8,0.002,0.001,-0.004
5/26/2020,9:43:03 AM,Pond A,,89.99999 °,179.99998 °,731.1,235.3,258.4,0.12,260.6,168,68.6,4249,-1.8,-1.8,1.58,6.53,0.07,-0.07,145.3,13.12,8.75,-167.8,0.002,0.001,0.002
5/26/2020,9:43:04 AM,Pond A,,89.99999 °,179.99998 °,731.1,235.4,258.4,0.12,260.6,168,68.6,4248.6,-1.8,-1.8,1.59,6.56,0.07,-0.07,145.3,13.12,8.75,-167.8,0.002,0.001,0.015
5/26/2020,9:43:04 AM,Pond A,,89.99999 °,179.99998 °,731.1,235.4,258.4,0.12,260.6,168,68.6,4248.3,-1.8,-1.8,1.58,6.51,0.07,-0.07,145.4,13.12,8.75,-167.8,0.002,0.001,0.022
5/26/2020,9:43:04 AM,Pond A,,89.99999 °,179.99998 °,731.1,235.4,258.5,0.12,260.6,168,68.6,4247.7,-1.8,-1.8,1.57,6.49,0.07,-0.07,145.4,13.12,8.75,-167.8,0.002,0.001,0.028
5/26/2020,9:43:04 AM,Pond A,,89.99999 °,179.99998 °,731.1,235.4,258.5,0.12,260.6,168,68.6,4247.4,-1.8,-1.8,1.55,6.42,0.07,-0.07,145.4,13.12,8.75,-167.8,0.003,0.002,0.042
5/26/2020,9:43:05 AM,Pond A,,89.99999 °,179.99998 °,731.1,235.5,258.5,0.12,260.7,168,68.6,4246.8,-1.8,-1.8,1.54,6.38,0.06,-0.07,145.4,13.13,8.75,-167.8,0.003,0.002,0.05
5/26/2020,9:43:05 AM,Pond A,,89.99999 °,179.99998 °,731.1,235.5,258.6,0.12,260.8,168,68.6,4245.9,-1.8,-1.8,1.56,6.46,0.06,-0.07,145.4,13.13,8.75,-167.8,0.003,0.002,0.057
5/26/2020,9:43:05 AM,Pond A,,89.99999 °,179.99998 °,731.1,235.6,258.7,0.12,260.8,168,68.6,4244.7,-1.8,-1.8,1.25,5.24,0.06,-0.07,145.4,13.13,8.75,-167.8,0.003,0.002,0.057
5/26/2020,9:43:05 AM,Pond A,,89.99999 °,179.99998 °,731.1,235.7,258.8,0.12,261,168,68.6,4242.9,-1.8,-1.8,1.43,5.95,0.06,-0.07,145.4,13.13,8.75,-167.9,0.005,0.004,0.085
5/26/2020,9:43:06 AM,Pond A,,89.99999 °,179.99998 °,731.1,235.8,258.9,0.12,261.1,168,68.6,4240.7,-1.8,-1.8,2.28,9.29,0.06,-0.07,145.4,13.13,8.75,-167.9,0.006,0.004,0.095
5/26/2020,9:43:06 AM,Pond A,,89.99999 °,179.99998 °,731.1,236,259.1,0.12,261.3,168,68.6,4238.2,-1.8,-1.8,1.58,6.52,0.06,-0.07,145.4,13.13,8.75,-167.9,0.007,0.005,0.108
5/26/2020,9:43:06 AM,Pond A,,89.99999 °,179.99998 °,731.1,236.2,259.3,0.12,261.5,169,68.6,4234.6,-1.8,-1.8,1.62,6.67,0.06,-0.08,145.4,13.12,8.75,-167.9,0.008,0.006,0.137
5/26/2020,9:43:06 AM,Pond A,,89.99999 °,179.99998 °,731.1,236.3,259.5,0.12,261.6,169,68.6,4232.3,-1.8,-1.8,1.45,6,0.06,-0.07,145.4,13.12,8.75,-167.9,0.01,0.007,0.149
5/26/2020,9:43:07 AM,Pond A,,89.99999 °,179.99998 °,731.1,236.6,259.8,0.12,262,169,68.6,4227.4,-1.8,-1.8,1.7,6.99,0.07,-0.07,145.3,13.12,8.75,-167.8,0.011,0.008,0.162
