MiniDOT Logger Concatenated Data File,,,,,,,
Sensor:             7450-375572,,,,,,,
Concatenation Date: 2020Aug28 16:24:13 CDT,,,,,,,
,,,,,,,
DO concentration compensated for salinity: 0.0 (ppt),,,,,,,
Saturation computed at pressure: 1013.0 (mbar),,,,,,,
,,,,,,,
            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
1594405080,           2020-07-10 18:18:00,           2020-07-10 13:18:00,3.12,26.176,3.061,37.859173,0.953
1594406880,           2020-07-10 18:48:00,           2020-07-10 13:48:00,3.11,26.286,3.166,39.235927,0.953
1594408680,           2020-07-10 19:18:00,           2020-07-10 14:18:00,3.11,26.472,3.528,43.869395,0.953
1594410480,           2020-07-10 19:48:00,           2020-07-10 14:48:00,3.12,26.582,3.857,48.05565,0.953
1594412280,           2020-07-10 20:18:00,           2020-07-10 15:18:00,3.11,26.709,3.966,49.526867,0.952
1594414080,           2020-07-10 20:48:00,           2020-07-10 15:48:00,3.11,26.828,3.583,44.839853,0.953
1594415880,           2020-07-10 21:18:00,           2020-07-10 16:18:00,3.11,26.955,4.317,54.14888,0.953
1594417680,           2020-07-10 21:48:00,           2020-07-10 16:48:00,3.11,27.022,4.689,58.885627,0.954
1594419480,           2020-07-10 22:18:00,           2020-07-10 17:18:00,3.11,27.107,4.768,59.968948,0.953
1594421280,           2020-07-10 22:48:00,           2020-07-10 17:48:00,3.11,27.141,4.688,58.998643,0.953
1594423080,           2020-07-10 23:18:00,           2020-07-10 18:18:00,3.11,27.192,4.824,60.765609,0.952
1594424880,           2020-07-10 23:48:00,           2020-07-10 18:48:00,3.11,27.226,4.163,52.471189,0.952
1594426680,           2020-07-11 00:18:00,           2020-07-10 19:18:00,3.11,27.251,3.201,40.363997,0.952
1594428480,           2020-07-11 00:48:00,           2020-07-10 19:48:00,3.11,27.234,2.415,30.443439,0.951
1594430280,           2020-07-11 01:18:00,           2020-07-10 20:18:00,3.11,27.26,0.792,9.988574,0.924
1594432080,           2020-07-11 01:48:00,           2020-07-10 20:48:00,3.11,27.277,0.772,9.739294,0.949
1594433880,           2020-07-11 02:18:00,           2020-07-10 21:18:00,3.11,27.311,0.789,9.959805,0.952
1594435680,           2020-07-11 02:48:00,           2020-07-10 21:48:00,3.11,27.345,0.836,10.559507,0.952
1594437480,           2020-07-11 03:18:00,           2020-07-10 22:18:00,3.11,27.353,0.817,10.320991,0.952
1594439280,           2020-07-11 03:48:00,           2020-07-10 22:48:00,3.11,27.37,0.861,10.880133,0.952
1594441080,           2020-07-11 04:18:00,           2020-07-10 23:18:00,3.11,27.396,0.724,9.153159,0.95
1594442880,           2020-07-11 04:48:00,           2020-07-10 23:48:00,3.11,27.438,0.631,7.983382,0.949
1594444680,           2020-07-11 05:18:00,           2020-07-11 00:18:00,3.11,27.421,0.613,7.753298,0.95
1594446480,           2020-07-11 05:48:00,           2020-07-11 00:48:00,3.11,27.447,0.521,6.592725,0.948
1594448280,           2020-07-11 06:18:00,           2020-07-11 01:18:00,3.11,27.447,0.448,5.668984,0.948
1594450080,           2020-07-11 06:48:00,           2020-07-11 01:48:00,3.11,27.455,0.4,5.062314,0.948
1594451880,           2020-07-11 07:18:00,           2020-07-11 02:18:00,3.11,27.413,0.36,4.552674,0.947
1594453680,           2020-07-11 07:48:00,           2020-07-11 02:48:00,3.11,27.387,0.322,4.070227,0.947
1594455480,           2020-07-11 08:18:00,           2020-07-11 03:18:00,3.11,27.311,0.411,5.188187,0.948
1594457280,           2020-07-11 08:48:00,           2020-07-11 03:48:00,3.11,27.243,0.477,6.014019,0.949
1594459080,           2020-07-11 09:18:00,           2020-07-11 04:18:00,3.11,27.15,0.488,6.142486,0.95
1594460880,           2020-07-11 09:48:00,           2020-07-11 04:48:00,3.11,27.09,0.648,8.147662,0.95
1594462680,           2020-07-11 10:18:00,           2020-07-11 05:18:00,3.11,26.972,0.607,7.616028,0.95
1594464480,           2020-07-11 10:48:00,           2020-07-11 05:48:00,3.11,26.87,0.852,10.670495,0.95
1594466280,           2020-07-11 11:18:00,           2020-07-11 06:18:00,3.11,26.717,0.908,11.340613,0.952
1594468080,           2020-07-11 11:48:00,           2020-07-11 06:48:00,3.11,26.599,1.063,13.24833,0.953
1594469880,           2020-07-11 12:18:00,           2020-07-11 07:18:00,3.11,26.489,1.163,14.46592,0.954
1594471680,           2020-07-11 12:48:00,           2020-07-11 07:48:00,3.11,26.43,1.241,15.419684,0.954
1594473480,           2020-07-11 13:18:00,           2020-07-11 08:18:00,3.11,26.43,1.435,17.830175,0.953
1594475280,           2020-07-11 13:48:00,           2020-07-11 08:48:00,3.11,26.447,1.474,18.320382,0.954
1594477080,           2020-07-11 14:18:00,           2020-07-11 09:18:00,3.11,26.464,1.525,18.960081,0.955
1594478880,           2020-07-11 14:48:00,           2020-07-11 09:48:00,3.11,26.531,1.677,20.875097,0.954
1594480680,           2020-07-11 15:18:00,           2020-07-11 10:18:00,3.11,26.599,1.846,23.006978,0.954
1594482480,           2020-07-11 15:48:00,           2020-07-11 10:48:00,3.11,26.692,2.37,29.587184,0.949
1594484280,           2020-07-11 16:18:00,           2020-07-11 11:18:00,3.11,26.861,2.509,31.417777,0.951
1594486080,           2020-07-11 16:48:00,           2020-07-11 11:48:00,3.11,26.988,2.596,32.581352,0.952
1594487880,           2020-07-11 17:18:00,           2020-07-11 12:18:00,3.11,27.099,2.67,33.576796,0.953
1594489680,           2020-07-11 17:48:00,           2020-07-11 12:48:00,3.11,27.217,2.809,35.399439,0.952
1594491480,           2020-07-11 18:18:00,           2020-07-11 13:18:00,3.11,27.336,2.994,37.811108,0.95
1594493280,           2020-07-11 18:48:00,           2020-07-11 13:48:00,3.11,27.481,2.876,36.414903,0.952
1594495080,           2020-07-11 19:18:00,           2020-07-11 14:18:00,3.11,27.634,3.5,44.43658,0.949
1594496880,           2020-07-11 19:48:00,           2020-07-11 14:48:00,3.11,27.804,3.808,48.493155,0.948
1594498680,           2020-07-11 20:18:00,           2020-07-11 15:18:00,3.11,27.915,3.946,50.349478,0.948
1594500480,           2020-07-11 20:48:00,           2020-07-11 15:48:00,3.11,27.889,3.846,49.05092,0.952
