MiniDOT Logger Concatenated Data File
Sensor:             7450-203238
Concatenation Date: 2020Jun12 14:19:35 CDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at pressure: 1013.0 (mbar)

            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1590766260,           2020-05-29 15:31:00,           2020-05-29 10:31:00,      3.150000,     21.747000,         12.689000,                   144.459052,      0.956000
                1590768060,           2020-05-29 16:01:00,           2020-05-29 11:01:00,      3.150000,     21.839000,         13.373000,                   152.516959,      0.958000
                1590769860,           2020-05-29 16:31:00,           2020-05-29 11:31:00,      3.140000,     21.964000,         13.489000,                   154.211271,      0.959000
                1590771660,           2020-05-29 17:01:00,           2020-05-29 12:01:00,      3.140000,     22.156000,         14.955000,                   171.603912,      0.959000
                1590773460,           2020-05-29 17:31:00,           2020-05-29 12:31:00,      3.140000,     22.365000,         14.411000,                   166.025965,      0.960000
                1590775260,           2020-05-29 18:01:00,           2020-05-29 13:01:00,      3.140000,     22.499000,         14.438000,                   166.764019,      0.959000
                1590777060,           2020-05-29 18:31:00,           2020-05-29 13:31:00,      3.140000,     22.691000,         14.693000,                   170.332379,      0.959000
                1590778860,           2020-05-29 19:01:00,           2020-05-29 14:01:00,      3.140000,     22.875000,         14.749000,                   171.581359,      0.959000
                1590780660,           2020-05-29 19:31:00,           2020-05-29 14:31:00,      3.140000,     23.076000,         14.907000,                   174.082172,      0.960000
                1590782460,           2020-05-29 20:01:00,           2020-05-29 15:01:00,      3.140000,     23.268000,         15.023000,                   176.075294,      0.960000
                1590784260,           2020-05-29 20:31:00,           2020-05-29 15:31:00,      3.140000,     23.477000,         15.677000,                   184.466287,      0.960000
                1590786060,           2020-05-29 21:01:00,           2020-05-29 16:01:00,      3.140000,     23.611000,         15.849000,                   186.960977,      0.959000
                1590787860,           2020-05-29 21:31:00,           2020-05-29 16:31:00,      3.140000,     23.787000,         15.909000,                   188.289883,      0.961000
                1590789660,           2020-05-29 22:01:00,           2020-05-29 17:01:00,      3.140000,     23.896000,         16.231000,                   192.493580,      0.961000
                1590791460,           2020-05-29 22:31:00,           2020-05-29 17:31:00,      3.140000,     23.955000,         16.492000,                   195.804990,      0.961000
                1590793260,           2020-05-29 23:01:00,           2020-05-29 18:01:00,      3.140000,     23.955000,         16.845000,                   199.996062,      0.961000
                1590795060,           2020-05-29 23:31:00,           2020-05-29 18:31:00,      3.140000,     23.913000,         16.851000,                   199.910148,      0.959000
                1590796860,           2020-05-30 00:01:00,           2020-05-29 19:01:00,      3.140000,     23.821000,         16.800000,                   198.962017,      0.961000
                1590798660,           2020-05-30 00:31:00,           2020-05-29 19:31:00,      3.140000,     23.670000,         16.572000,                   195.706610,      0.958000
                1590800460,           2020-05-30 01:01:00,           2020-05-29 20:01:00,      3.140000,     23.528000,         16.542000,                   194.831465,      0.961000
                1590802260,           2020-05-30 01:31:00,           2020-05-29 20:31:00,      3.140000,     23.410000,         16.440000,                   193.200178,      0.960000
                1590804060,           2020-05-30 02:01:00,           2020-05-29 21:01:00,      3.140000,     23.302000,         16.373000,                   192.021091,      0.960000
                1590805860,           2020-05-30 02:31:00,           2020-05-29 21:31:00,      3.140000,     23.201000,         16.317000,                   190.999410,      0.961000
