"Plot Title: Pond B Deep 1.25m"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 20848649, SEN S/N: 20848649)","Intensity, lum/ft² (LGR S/N: 20848649, SEN S/N: 20848649)","Coupler Attached (LGR S/N: 20848649)","Host Connected (LGR S/N: 20848649)","Stopped (LGR S/N: 20848649)","End Of File (LGR S/N: 20848649)"
1,05/21/20 08:00:00 PM,62.254,3.0,,,,
2,05/21/20 08:30:00 PM,62.254,0.0,,,,
3,05/21/20 09:00:00 PM,62.254,0.0,,,,
4,05/21/20 09:30:00 PM,62.254,0.0,,,,
5,05/21/20 10:00:00 PM,62.254,0.0,,,,
6,05/21/20 10:30:00 PM,62.254,0.0,,,,
7,05/21/20 11:00:00 PM,62.254,0.0,,,,
8,05/21/20 11:30:00 PM,62.254,0.0,,,,
9,05/22/20 12:00:00 AM,62.254,0.0,,,,
10,05/22/20 12:30:00 AM,62.254,0.0,,,,
11,05/22/20 01:00:00 AM,62.254,0.0,,,,
12,05/22/20 01:30:00 AM,62.254,0.0,,,,
13,05/22/20 02:00:00 AM,62.254,0.0,,,,
14,05/22/20 02:30:00 AM,62.254,0.0,,,,
15,05/22/20 03:00:00 AM,62.254,0.0,,,,
16,05/22/20 03:30:00 AM,62.254,0.0,,,,
17,05/22/20 04:00:00 AM,62.254,0.0,,,,
18,05/22/20 04:30:00 AM,62.083,0.0,,,,
19,05/22/20 05:00:00 AM,62.083,0.0,,,,
20,05/22/20 05:30:00 AM,62.083,0.0,,,,
21,05/22/20 06:00:00 AM,62.083,3.0,,,,
22,05/22/20 06:30:00 AM,62.083,24.0,,,,
23,05/22/20 07:00:00 AM,62.083,22.0,,,,
24,05/22/20 07:30:00 AM,62.083,44.0,,,,
25,05/22/20 08:00:00 AM,62.083,38.0,,,,
26,05/22/20 08:30:00 AM,62.083,78.0,,,,
27,05/22/20 09:00:00 AM,62.083,83.0,,,,
28,05/22/20 09:30:00 AM,62.083,92.0,,,,
29,05/22/20 10:00:00 AM,62.083,136.0,,,,
30,05/22/20 10:30:00 AM,62.254,208.0,,,,
