MiniDOT Logger Concatenated Data File
Sensor:             7450-207070
Concatenation Date: 2020May29 10:40:31 CDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at pressure: 1013.0 (mbar)

            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1589055300,           2020-05-09 20:15:00,           2020-05-09 15:15:00,      3.170000,     16.109000,         12.347000,                   125.413812,      0.958000
                1589057100,           2020-05-09 20:45:00,           2020-05-09 15:45:00,      3.170000,     16.152000,         12.409000,                   126.158393,      0.959000
                1589058900,           2020-05-09 21:15:00,           2020-05-09 16:15:00,      3.170000,     16.229000,         12.441000,                   126.689918,      0.960000
                1589060700,           2020-05-09 21:45:00,           2020-05-09 16:45:00,      3.170000,     16.331000,         12.481000,                   127.371366,      0.959000
                1589062500,           2020-05-09 22:15:00,           2020-05-09 17:15:00,      3.170000,     16.348000,         12.519000,                   127.805002,      0.959000
                1589064300,           2020-05-09 22:45:00,           2020-05-09 17:45:00,      3.170000,     16.390000,         12.631000,                   129.062668,      0.960000
                1589066100,           2020-05-09 23:15:00,           2020-05-09 18:15:00,      3.170000,     16.424000,         12.610000,                   128.940459,      0.959000
                1589067900,           2020-05-09 23:45:00,           2020-05-09 18:45:00,      3.170000,     16.526000,         12.584000,                   128.951210,      0.958000
                1589069700,           2020-05-10 00:15:00,           2020-05-09 19:15:00,      3.170000,     16.577000,         12.627000,                   129.530663,      0.959000
                1589071500,           2020-05-10 00:45:00,           2020-05-09 19:45:00,      3.170000,     16.611000,         12.669000,                   130.054380,      0.960000
                1589073300,           2020-05-10 01:15:00,           2020-05-09 20:15:00,      3.170000,     16.569000,         12.689000,                   130.144788,      0.959000
                1589075100,           2020-05-10 01:45:00,           2020-05-09 20:45:00,      3.170000,     16.569000,         12.694000,                   130.196071,      0.959000
                1589076900,           2020-05-10 02:15:00,           2020-05-09 21:15:00,      3.170000,     16.560000,         12.722000,                   130.458569,      0.960000
                1589078700,           2020-05-10 02:45:00,           2020-05-09 21:45:00,      3.170000,     16.552000,         12.708000,                   130.293089,      0.959000
                1589080500,           2020-05-10 03:15:00,           2020-05-09 22:15:00,      3.170000,     16.594000,         13.464000,                   138.166149,      0.959000
                1589082300,           2020-05-10 03:45:00,           2020-05-09 22:45:00,      3.170000,     16.475000,         13.878000,                   142.058591,      0.960000
                1589084100,           2020-05-10 04:15:00,           2020-05-09 23:15:00,      3.170000,     16.322000,         13.827000,                   141.080793,      0.960000
                1589085900,           2020-05-10 04:45:00,           2020-05-09 23:45:00,      3.170000,     16.135000,         13.670000,                   138.928573,      0.960000
                1589087700,           2020-05-10 05:15:00,           2020-05-10 00:15:00,      3.170000,     16.007000,         13.563000,                   137.467649,      0.960000
                1589089500,           2020-05-10 05:45:00,           2020-05-10 00:45:00,      3.170000,     15.845000,         13.490000,                   136.257908,      0.960000
                1589091300,           2020-05-10 06:15:00,           2020-05-10 01:15:00,      3.170000,     15.674000,         13.441000,                   135.269178,      0.960000
                1589093100,           2020-05-10 06:45:00,           2020-05-10 01:45:00,      3.170000,     15.546000,         13.404000,                   134.528442,      0.960000
                1589094900,           2020-05-10 07:15:00,           2020-05-10 02:15:00,      3.170000,     15.451000,         13.365000,                   133.864548,      0.960000
                1589096700,           2020-05-10 07:45:00,           2020-05-10 02:45:00,      3.170000,     15.366000,         13.348000,                   133.450889,      0.960000
                1589098500,           2020-05-10 08:15:00,           2020-05-10 03:15:00,      3.170000,     15.263000,         13.316000,                   132.836861,      0.959000
                1589100300,           2020-05-10 08:45:00,           2020-05-10 03:45:00,      3.170000,     15.203000,         13.271000,                   132.217274,      0.960000
                1589102100,           2020-05-10 09:15:00,           2020-05-10 04:15:00,      3.170000,     15.143000,         13.228000,                   131.618789,      0.960000
                1589103900,           2020-05-10 09:45:00,           2020-05-10 04:45:00,      3.170000,     15.057000,         13.175000,                   130.848710,      0.960000
                1589105700,           2020-05-10 10:15:00,           2020-05-10 05:15:00,      3.170000,     14.971000,         13.117000,                   130.031110,      0.960000
                1589107500,           2020-05-10 10:45:00,           2020-05-10 05:45:00,      3.170000,     14.902000,         13.051000,                   129.184066,      0.960000
                1589109300,           2020-05-10 11:15:00,           2020-05-10 06:15:00,      3.170000,     14.816000,         12.982000,                   128.262159,      0.959000
                1589111100,           2020-05-10 11:45:00,           2020-05-10 06:45:00,      3.170000,     14.730000,         12.880000,                   127.017450,      0.960000
                1589112900,           2020-05-10 12:15:00,           2020-05-10 07:15:00,      3.170000,     14.678000,         12.809000,                   126.174839,      0.960000
                1589114700,           2020-05-10 12:45:00,           2020-05-10 07:45:00,      3.170000,     14.652000,         12.731000,                   125.335728,      0.959000
                1589116500,           2020-05-10 13:15:00,           2020-05-10 08:15:00,      3.170000,     14.635000,         12.691000,                   124.895807,      0.959000
                1589118300,           2020-05-10 13:45:00,           2020-05-10 08:45:00,      3.170000,     14.652000,         12.633000,                   124.370926,      0.959000
                1589120100,           2020-05-10 14:15:00,           2020-05-10 09:15:00,      3.170000,     14.669000,         12.633000,                   124.416843,      0.959000
                1589121900,           2020-05-10 14:45:00,           2020-05-10 09:45:00,      3.170000,     14.738000,         12.684000,                   125.106278,      0.959000
                1589123700,           2020-05-10 15:15:00,           2020-05-10 10:15:00,      3.170000,     14.833000,         12.661000,                   125.136732,      0.959000
