sample_id,ch4_ppm,co2_ppm,n2o_ppm,data_flag,notes_gc
E20A146,364.0387258,110.3326407,0.352686882,,
E20A146,430.1503241,112.6825016,0.348964424,,
E20B146,214.6958182,97.68338762,0.288887414,,
E20B146,217.4372268,94.7925886,0.296630665,,
E20C146,71.61509703,119.9805883,0.316408766,,
E20C146,72.9366482,128.6037853,0.322482833,,
E20D146,40.90380537,341.825174,0.345035734,,
E20D146,40.19605522,353.3165733,0.349451576,,
E20E146,51.07427586,242.6029867,0.309697153,,
E20E146,50.62141379,257.0938453,0.309001586,,
E20F146,59.31157269,241.1907603,0.292962482,,
E20F146,58.23619548,224.5460703,0.298145384,,
E20Y146,2.298063156,431.1975016,0.247748638,,
E20Y146,2.081571669,430.0237865,0.252969873,,
E20Y146,2.091102741,423.4777741,0.250340113,,
E20Y148,2.172483301,435.9026842,0.295666931,,
E20Y148,2.067658172,445.7944304,0.296789205,,
E20Y148,2.143248152,433.4694987,0.297055541,,
E20A148,178.5905424,106.9409382,0.349354079,,
E20A148,198.8620895,105.4607839,0.356656924,,
E20B148,196.6697167,86.16474127,0.329690566,,
E20B148,192.7487827,86.38910995,0.324361539,,
E20C148,63.64531048,110.2647096,0.350904321,,
E20C148,69.51815152,113.4299816,0.355651958,,
E20D148,54.07619841,375.3245912,0.369896852,,
E20D148,53.7775258,375.8068556,0.368785695,,
E20E148,53.08246672,223.9786941,0.336049636,,
E20E148,50.64383387,222.4501277,0.33414332,,
E20F148,69.34590118,197.0091512,0.329428237,,
E20F148,62.56413672,201.6951126,0.324326183,,
E20Y150,2.122441154,421.9078211,0.304454935,,
E20Y150,2.240962029,423.3324232,0.298541543,,
E20Y150,2.117436939,424.5220734,0.296137046,,
E20A150,178.6677126,97.40091822,0.359584471,,
E20A150,175.1939975,99.39968252,0.36335675,,
E20B150,336.0494755,84.87788913,0.303260648,,
E20B150,336.9836834,82.26698999,0.30663788,,
E20C150,90.72917408,84.69675725,0.317428964,,
E20C150,88.28316659,83.55442301,0.321211885,,
E20D150,134.3667166,245.4721577,0.351505132,,
E20D150,141.121353,246.8730145,0.351861505,,
E20E150,107.4508893,152.8518537,0.306082037,,
E20E150,108.9208115,160.5888382,0.304984173,,
E20F150,70.72969825,105.2524568,0.301798154,,
E20F150,74.41701436,102.4057208,0.296710696,,
E20Y153,2.154569066,429.7669399,0.283354822,,
E20Y153,2.176718656,427.0574162,0.271714325,,
E20Y153,2.175918068,427.1278024,0.270135154,,
E20A153,403.5040641,89.27419219,0.302353113,,
E20A153,438.2786528,87.60230097,0.300319153,,
E20B153,623.3053824,0,0.258193811,,
E20B153,704.8169394,0,0.265382564,,
E20C153,80.62602814,0,0.281238976,,
E20C153,84.98015709,0,0.282099981,,
E20D153,136.9695135,170.6830504,0.301270193,,
E20D153,140.8224747,167.3227306,0.296164372,,
E20E153,129.8707035,108.394465,0.271021485,,
E20E153,132.3245044,137.1862199,0.277306069,,
E20F153,114.6776863,63.21636883,0.263687812,,
E20F153,113.0487574,66.0747608,0.27225838,,
E20Y155,2.286666016,365.7896047,0.267375633,,
E20Y155,2.226621948,403.7055717,0.27016557,,
E20Y155,2.191129232,405.9540613,0.272219831,,
E20A155,379.1317765,87.94661248,0.310513717,,
E20A155,398.6175444,87.69154843,0.314831557,,
E20B155,314.853134,66.8174497,0.289445727,,
E20B155,317.4582459,62.76372825,0.283233656,,
E20C155,63.42567098,0,0.290057721,,
E20C155,34.33525404,197.2888429,0.261858067,1,
E20D155,81.03032486,104.5247653,0.305780755,,
E20D155,82.48952915,111.4329246,0.299702147,,
E20E155,104.3671858,89.98068465,0.27983472,,
E20E155,109.2016673,94.4122531,0.287322698,,
E20F155,92.4507066,0,0.285164175,,
E20F155,90.29792662,0,0.282415287,,
E20Y157,2.230091161,418.9282437,0.266113409,,
E20Y157,2.330164608,423.6833343,0.270439021,,
E20Y157,2.343774596,436.2474616,0.265747947,,
E20A157,1207.636906,133.1912892,0.288023163,,
E20A157,1221.738456,155.4387122,0.290841234,,
E20B157,431.0432091,78.17085041,0.295711976,,
E20B157,389.7550399,64.79158354,0.289758774,,
E20C157,86.36784222,63.2022902,0.301509021,,
E20C157,84.99056473,0,0.305129673,,
E20D157,84.29592158,91.75957833,0.31867526,,
E20D157,84.25829396,86.5972492,0.31308768,,
E20E157,123.6621469,70.2965814,0.284342366,,
E20E157,122.8706326,79.2450569,0.287702997,,
E20F157,155.4593504,426.9626207,0.233361398,1,
E20F157,146.5610864,62.19958971,0.282585989,,
E20Y160,1.878305805,421.5739932,0.260401644,,
E20Y160,4.101990499,410.1585434,0.249010993,,
E20Y160,2.238398583,412.3093945,0.250592596,,
E20A160,1489.409736,155.1168047,0.237282859,,
E20A160,1448.890486,171.1295985,0.244371952,,
E20B160,172.1193343,79.62427602,0.250099383,,
E20B160,240.5393295,79.43590699,0.24699608,,
E20C160,98.94816616,0,0.262557401,,
E20C160,96.52878459,0,0.257936709,,
E20D160,89.82195796,74.3699957,0.253179586,,
E20D160,89.23302609,72.18195536,0.258476322,,
E20E160,131.9578106,70.77898482,0.241791397,,
E20E160,125.3798704,73.13288312,0.240427568,,
E20F160,155.2431089,0,0.24932833,,
E20F160,157.4678457,0,0.245533493,,
E20Y162,2.087417389,414.0484369,0.244270341,,
E20Y162,2.188948297,414.9795869,0.243930679,,
E20Y162,2.061640112,418.8990366,0.241273351,,
E20A162,2224.175235,386.7632095,0.18801299,,
E20A162,2403.252083,388.5667611,0.180095532,,
E20B162,448.2505235,107.7580123,0.192457857,,
E20B162,452.6521251,109.6583177,0.198528124,,
E20C162,96.70528003,71.42267014,0.211672989,,
E20C162,97.09167615,0,0.208309182,,
E20D162,118.1490811,84.28085449,0.203632588,,
E20D162,118.352143,79.10577554,0.201700351,,
E20E162,98.40736941,84.85561564,0.186906778,,
E20E162,98.8697822,81.65149784,0.182470367,,
E20F162,145.5663717,0,0.191285235,,
E20F162,147.8495019,68.44227987,0.189032381,,
E20Y164,2.301526608,470.8517714,0.289045734,,
E20Y164,2.167379555,482.7235031,0.286016249,,
E20Y164,2.233137914,471.4441812,0.289084258,,
E20A164,3448.281771,360.5046612,0.262102693,,
E20A164,3419.401738,496.6792897,0.250549315,,
E20B164,466.7290744,98.99756409,0.263272889,,
E20B164,471.9028968,104.1836076,0.261771686,,
E20C164,62.24487736,0,0.281774252,,
E20C164,59.97035289,0,0.284746121,,
E20D164,58.19204982,68.59391041,0.270578616,,
E20D164,58.39281318,70.22465822,0.267929541,,
E20E164,61.10272168,68.85491204,0.2695573,,
E20E164,62.90218557,0,0.261216232,,
E20F164,91.91685456,67.25171063,0.258692557,,
E20F164,88.12509874,0,0.249920319,,
E20Y167,2.178871268,431.3514342,0.289874829,,
E20Y167,2.241569995,438.2191893,0.280565806,,
E20Y167,1.80399611,456.0176129,0.27949672,,
E20A167,3944.232215,425.5005606,0.188448783,,
E20A167,3980.383036,431.8183876,0.187239725,,
E20B167,591.3076969,86.87712236,0.223535796,,
E20B167,3.618307578,419.7376993,0.279001026,1,
E20C167,56.61822604,0,0.250454612,,
E20C167,22.12075446,199.2342753,0.265299753,1,
E20D167,69.49833586,0,0.212190316,,
E20D167,4.02163426,429.3042523,0.262320499,1,
E20E167,67.60789022,0,0.227151036,,
E20E167,62.96660382,0,0.226323363,,
E20F167,93.44345371,0,0.227368324,,
E20F167,86.49337891,0,0.224716884,,
E20Y169,1.989990919,411.3034462,0.278549911,,
E20Y169,2.272692481,416.4317678,0.278415607,,
E20Y169,2.520809606,415.9202532,0.272181958,,
E20A169,2323.323253,217.6827469,0.189728623,,
E20A169,2375.240779,223.3409081,0.188829473,,
E20B169,287.9513975,91.78566136,0.217482758,,
E20B169,293.1233426,85.03919819,0.222419813,,
E20C169,63.51334399,0,0.246822592,,
E20C169,63.94826947,0,0.25028637,,
E20D169,73.0866826,0,0.218031499,,
E20D169,75.98574912,0,0.225517921,,
E20E169,68.92711819,0,0.236697105,,
E20E169,70.59162516,0,0.239032398,,
E20F169,86.15095318,0,0.24008735,,
E20F169,95.80341678,0,0.234894184,,
E20Y171,2.308062926,429.6214325,0.2832163,,
E20Y171,2.250684203,426.4950364,0.282959457,,
E20Y171,2.237060032,427.5285782,0.281968097,,
E20A171,508.7169507,230.4436814,0.28983699,,
E20A171,567.5196615,180.1206199,0.242474524,,
E20B171,126.141041,86.121595,0.25231427,,
E20B171,126.2607765,78.46976225,0.251723896,,
E20C171,64.78615603,0,0.260681757,,
E20C171,65.10187,0,0.257535509,,
E20D171,73.6347935,0,0.240776148,,
E20D171,72.69917972,0,0.241449248,,
E20E171,71.66321866,0,0.240968916,,
E20E171,69.83993769,0,0.237696114,,
E20F171,126.5335219,0,0.233899549,,
E20F171,130.2172883,0,0.234161906,,
E20Y173,6.721375792,391.2628028,0.279756443,,
E20Y173,6.699264054,425.8077761,0.283604416,,
E20Y173,7.327004666,418.357142,0.286852499,,
E20A173,8.227068791,427.6947365,0.27777094,1,
E20A173,421.914882,159.934916,0.242849671,,
E20B173,86.3941584,82.19599063,0.269828087,,
E20B173,7.918435476,445.5266823,0.283997848,1,
E20C173,98.07357856,0,0.275730958,,
E20C173,96.87582061,0,0.27497686,,
E20D173,101.4252526,0,0.249327363,,
E20D173,98.08172499,78.30340896,0.258622253,,
E20E173,61.6301753,0,0.257176456,,
E20E173,62.04936731,0,0.265836748,,
E20F173,100.3508548,0,0.250071429,,
E20F173,100.3610961,0,0.253007634,,
E20Y174,6.625480675,459.1490653,0.289025795,,
E20Y174,6.680410888,451.3139642,0.286678221,,
E20Y174,6.683203949,463.3974557,0.289701842,,
E20A174,710.8738708,372.5579746,0.208117514,,
E20A174,733.1962525,327.1276413,0.208661016,,
E20B174,107.1452101,100.6355912,0.229596874,,
E20B174,119.2144951,102.1859736,0.222780077,,
E20C174,132.6637854,0,0.280526543,,
E20C174,138.3485969,0,0.274360518,,
E20D174,176.5579134,0,0.245365837,,
E20D174,109.2183602,0,0.260160529,,
E20E174,69.14327846,0,0.254369115,,
E20F174,112.3140035,0,0.269440064,,
E20F174,113.2559636,0,0.264333386,,
E20Y175,6.593825976,419.4426484,0.289025493,,
E20Y175,6.528887292,417.19779,0.287619745,,
E20Y175,6.696005482,416.4131591,0.28639291,,
E20A175,2055.468891,1287.350635,0.213002716,,
E20A175,1776.581683,1279.20268,0.217115205,,
E20B175,268.0111319,137.4805843,0.252912033,,
E20B175,263.817117,131.3139478,0.251298254,,
E20C175,338.9518727,0,0.268777185,,
E20C175,337.2090022,88.52011977,0.295958746,,
E20D175,447.3736391,0,0.241272638,,
E20D175,459.5560432,79.48824989,0.2389668,,
E20E175,193.9407655,0,0.262469181,,
E20E175,181.9250142,0,0.265199208,,
E20F175,307.2648207,75.73823631,0.258769323,,
