MiniDOT Logger Concatenated Data File
Sensor:             7450-203238
Concatenation Date: 2020Jul10 12:31:02 CDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at pressure: 1013.0 (mbar)

            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1591991340,           2020-06-12 19:49:00,           2020-06-12 14:49:00,      3.140000,     24.642000,         10.621000,                   127.722834,      0.959000
                1591993140,           2020-06-12 20:19:00,           2020-06-12 15:19:00,      3.130000,     24.726000,         10.797000,                   130.041332,      0.959000
                1591994940,           2020-06-12 20:49:00,           2020-06-12 15:49:00,      3.130000,     24.953000,         11.339000,                   137.142980,      0.960000
                1591996740,           2020-06-12 21:19:00,           2020-06-12 16:19:00,      3.130000,     25.104000,         12.001000,                   145.553959,      0.960000
                1591998540,           2020-06-12 21:49:00,           2020-06-12 16:49:00,      3.130000,     25.264000,         11.516000,                   140.082917,      0.959000
                1592000340,           2020-06-12 22:19:00,           2020-06-12 17:19:00,      3.130000,     25.390000,         11.649000,                   142.028574,      0.959000
                1592002140,           2020-06-12 22:49:00,           2020-06-12 17:49:00,      3.130000,     25.508000,         12.114000,                   148.017440,      0.959000
                1592003940,           2020-06-12 23:19:00,           2020-06-12 18:19:00,      3.130000,     25.567000,         12.333000,                   150.856000,      0.960000
                1592005740,           2020-06-12 23:49:00,           2020-06-12 18:49:00,      3.130000,     25.635000,         12.140000,                   148.679837,      0.959000
                1592007540,           2020-06-13 00:19:00,           2020-06-12 19:19:00,      3.130000,     25.643000,         11.765000,                   144.108223,      0.959000
                1592009340,           2020-06-13 00:49:00,           2020-06-12 19:49:00,      3.130000,     25.652000,         11.836000,                   145.001719,      0.961000
                1592011140,           2020-06-13 01:19:00,           2020-06-12 20:19:00,      3.130000,     25.652000,         11.606000,                   142.184010,      0.959000
                1592012940,           2020-06-13 01:49:00,           2020-06-12 20:49:00,      3.130000,     25.685000,         11.481000,                   140.737391,      0.959000
                1592014740,           2020-06-13 02:19:00,           2020-06-12 21:19:00,      3.130000,     25.677000,         11.274000,                   138.179751,      0.960000
                1592016540,           2020-06-13 02:49:00,           2020-06-12 21:49:00,      3.130000,     25.719000,         11.061000,                   135.673041,      0.959000
                1592018340,           2020-06-13 03:19:00,           2020-06-12 22:19:00,      3.130000,     25.685000,         11.122000,                   136.336666,      0.959000
                1592020140,           2020-06-13 03:49:00,           2020-06-12 22:49:00,      3.130000,     25.711000,         10.858000,                   133.163631,      0.959000
                1592021940,           2020-06-13 04:19:00,           2020-06-12 23:19:00,      3.130000,     25.736000,         10.830000,                   132.880811,      0.960000
                1592023740,           2020-06-13 04:49:00,           2020-06-12 23:49:00,      3.130000,     25.711000,         10.905000,                   133.740044,      0.959000
                1592025540,           2020-06-13 05:19:00,           2020-06-13 00:19:00,      3.130000,     25.635000,         11.320000,                   138.637212,      0.961000
                1592027340,           2020-06-13 05:49:00,           2020-06-13 00:49:00,      3.130000,     25.559000,         12.253000,                   149.855533,      0.960000
                1592029140,           2020-06-13 06:19:00,           2020-06-13 01:19:00,      3.130000,     25.491000,         11.020000,                   134.608300,      0.960000
                1592030940,           2020-06-13 06:49:00,           2020-06-13 01:49:00,      3.120000,     25.323000,         10.238000,                   124.671960,      0.959000
                1592032740,           2020-06-13 07:19:00,           2020-06-13 02:19:00,      3.120000,     25.163000,          9.702000,                   117.798310,      0.959000
                1592034540,           2020-06-13 07:49:00,           2020-06-13 02:49:00,      3.120000,     24.987000,         10.039000,                   121.495853,      0.959000
                1592036340,           2020-06-13 08:19:00,           2020-06-13 03:19:00,      3.130000,     24.827000,         10.083000,                   121.668685,      0.959000
                1592038140,           2020-06-13 08:49:00,           2020-06-13 03:49:00,      3.130000,     24.684000,          9.949000,                   119.734762,      0.958000
                1592039940,           2020-06-13 09:19:00,           2020-06-13 04:19:00,      3.130000,     24.525000,          9.718000,                   116.610662,      0.957000
                1592041740,           2020-06-13 09:49:00,           2020-06-13 04:49:00,      3.130000,     24.374000,          9.545000,                   114.214043,      0.958000
                1592043540,           2020-06-13 10:19:00,           2020-06-13 05:19:00,      3.120000,     24.256000,          9.360000,                   111.754731,      0.958000
                1592045340,           2020-06-13 10:49:00,           2020-06-13 05:49:00,      3.120000,     24.131000,          9.059000,                   107.909203,      0.957000
                1592047140,           2020-06-13 11:19:00,           2020-06-13 06:19:00,      3.120000,     23.980000,          8.972000,                   106.571905,      0.958000
                1592048940,           2020-06-13 11:49:00,           2020-06-13 06:49:00,      3.120000,     23.871000,          8.852000,                   104.932276,      0.957000
                1592050740,           2020-06-13 12:19:00,           2020-06-13 07:19:00,      3.130000,     23.787000,          8.767000,                   103.761230,      0.957000
                1592052540,           2020-06-13 12:49:00,           2020-06-13 07:49:00,      3.130000,     23.754000,          8.795000,                   104.028220,      0.956000
                1592054340,           2020-06-13 13:19:00,           2020-06-13 08:19:00,      3.130000,     23.745000,          8.904000,                   105.299704,      0.957000
                1592056140,           2020-06-13 13:49:00,           2020-06-13 08:49:00,      3.130000,     23.787000,          8.868000,                   104.956609,      0.957000
                1592057940,           2020-06-13 14:19:00,           2020-06-13 09:19:00,      3.130000,     23.871000,          9.489000,                   112.483322,      0.957000
                1592059740,           2020-06-13 14:49:00,           2020-06-13 09:49:00,      3.120000,     23.997000,         10.060000,                   119.533453,      0.957000
                1592061540,           2020-06-13 15:19:00,           2020-06-13 10:19:00,      3.120000,     24.038000,         10.063000,                   119.660743,      0.959000
                1592063340,           2020-06-13 15:49:00,           2020-06-13 10:49:00,      3.120000,     24.097000,         10.365000,                   123.387735,      0.957000
                1592065140,           2020-06-13 16:19:00,           2020-06-13 11:19:00,      3.120000,     24.215000,         10.526000,                   125.580369,      0.958000
                1592066940,           2020-06-13 16:49:00,           2020-06-13 11:49:00,      3.130000,     24.332000,         10.556000,                   126.212904,      0.959000
                1592068740,           2020-06-13 17:19:00,           2020-06-13 12:19:00,      3.130000,     24.542000,         10.569000,                   126.862189,      0.958000
                1592070540,           2020-06-13 17:49:00,           2020-06-13 12:49:00,      3.130000,     24.735000,         10.473000,                   126.160006,      0.958000
                1592072340,           2020-06-13 18:19:00,           2020-06-13 13:19:00,      3.120000,     24.894000,         10.613000,                   128.222542,      0.958000
                1592074140,           2020-06-13 18:49:00,           2020-06-13 13:49:00,      3.120000,     25.054000,         10.374000,                   125.705186,      0.959000
                1592075940,           2020-06-13 19:19:00,           2020-06-13 14:19:00,      3.120000,     25.214000,         10.422000,                   126.658942,      0.958000
