run,vial,sample_id
2,1,Blank
2,2,Blank
2,3,E20B233
2,4,E20B236
2,5,E20B238
2,6,E20B240
2,7,Blank
2,8,E20E153
2,9,E20E155
2,10,E20E157
2,11,E20E160
2,12,E20E162
2,13,E20E164
2,14,E20E167
2,15,E20E169
2,16,E20E171
2,17,E20E174
2,18,E20E175
2,19,E20E176
2,20,Blank
2,21,E20E177
2,22,E20E178
2,23,E20E181
2,24,E20E183
2,25,E20E185
2,26,E20E188
2,27,E20E190
2,28,E20E192
2,29,E20E195
2,30,E20E197
2,31,E20E199
2,32,E20E202
2,33,Blank
2,34,E20E204
2,35,E20E206
2,36,E20E209
2,37,E20E210
2,38,E20E211
2,39,E20E212
2,40,E20E213
2,41,E20E216
2,42,E20E218
2,43,E20E220
2,44,E20E222
2,45,Blank
2,46,E20E224
2,47,E20E226
2,48,E20E229
2,49,E20E231
2,50,E20E233
2,51,E20E236
2,52,E20E238
2,53,E20E240
2,54,Blank
2,55,E20F153
2,56,E20F155
2,57,E20F157
2,58,E20F160
2,59,E20F162
2,60,E20F164
2,61,E20F167
2,62,E20F169
2,63,E20F171
2,64,E20F174
2,65,E20F175
2,66,E20F176
2,67,Blank
2,68,E20F177
2,69,E20F178
2,70,E20F181
2,71,E20F183
2,72,E20F185
2,73,E20F188
2,74,E20F190
2,75,E20F192
2,76,E20F195
2,77,E20F197
2,78,E20F199
2,79,Blank
2,80,E20F202
2,81,E20F204
2,82,E20F206
2,83,E20F209
2,84,E20F210
2,85,E20F211
2,86,E20F212
2,87,E20F213
2,88,E20F216
2,89,E20F218
2,90,E20F220
2,91,E20F222
2,92,Blank
2,93,E20F224
2,94,E20F226
2,95,E20F229
2,96,E20F231
2,97,E20F233
2,98,E20F236
2,99,E20F238
2,100,E20F240
2,101,Blank
