MiniDOT Logger Concatenated Data File
Sensor:             7450-396810
Concatenation Date: 2020Jul10 12:52:17 CDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at pressure: 1013.0 (mbar)

            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1591992720,           2020-06-12 20:12:00,           2020-06-12 15:12:00,      3.150000,     25.858000,         13.028000,                   160.205313,      1.005000
                1591994520,           2020-06-12 20:42:00,           2020-06-12 15:42:00,      3.140000,     26.069000,         13.064000,                   161.265359,      1.003000
                1591996320,           2020-06-12 21:12:00,           2020-06-12 16:12:00,      3.140000,     26.272000,         13.189000,                   163.408571,      1.004000
                1591998120,           2020-06-12 21:42:00,           2020-06-12 16:42:00,      3.140000,     26.441000,         13.673000,                   169.923638,      1.005000
                1591999920,           2020-06-12 22:12:00,           2020-06-12 17:12:00,      3.140000,     26.559000,         13.788000,                   171.718076,      1.004000
                1592001720,           2020-06-12 22:42:00,           2020-06-12 17:42:00,      3.140000,     26.712000,         13.735000,                   171.530067,      1.003000
                1592003520,           2020-06-12 23:12:00,           2020-06-12 18:12:00,      3.140000,     26.813000,         13.853000,                   173.318196,      1.006000
                1592005320,           2020-06-12 23:42:00,           2020-06-12 18:42:00,      3.140000,     26.873000,         13.579000,                   170.073309,      1.004000
                1592007120,           2020-06-13 00:12:00,           2020-06-12 19:12:00,      3.140000,     26.906000,         13.439000,                   168.419585,      1.005000
                1592008920,           2020-06-13 00:42:00,           2020-06-12 19:42:00,      3.140000,     26.906000,         13.361000,                   167.442078,      1.004000
                1592010720,           2020-06-13 01:12:00,           2020-06-12 20:12:00,      3.140000,     26.898000,         13.315000,                   166.841641,      1.005000
                1592012520,           2020-06-13 01:42:00,           2020-06-12 20:42:00,      3.140000,     26.906000,         13.267000,                   166.264055,      1.005000
                1592014320,           2020-06-13 02:12:00,           2020-06-12 21:12:00,      3.140000,     26.915000,         13.097000,                   164.160101,      1.005000
                1592016120,           2020-06-13 02:42:00,           2020-06-12 21:42:00,      3.140000,     26.915000,         13.074000,                   163.871815,      1.004000
                1592017920,           2020-06-13 03:12:00,           2020-06-12 22:12:00,      3.140000,     26.915000,         13.141000,                   164.711605,      1.007000
                1592019720,           2020-06-13 03:42:00,           2020-06-12 22:42:00,      3.140000,     26.847000,         13.216000,                   165.449565,      1.006000
                1592021520,           2020-06-13 04:12:00,           2020-06-12 23:12:00,      3.140000,     26.754000,         13.434000,                   167.897819,      1.007000
                1592023320,           2020-06-13 04:42:00,           2020-06-12 23:42:00,      3.140000,     26.585000,         13.452000,                   167.612020,      1.007000
                1592025120,           2020-06-13 05:12:00,           2020-06-13 00:12:00,      3.130000,     26.365000,         13.188000,                   163.671300,      1.005000
                1592026920,           2020-06-13 05:42:00,           2020-06-13 00:42:00,      3.140000,     26.179000,         13.362000,                   165.273366,      1.006000
