"Plot Title: 1_PondB_Deep_1.5m"
"#","Date Time, GMT-05:00","Abs Pres, psi (LGR S/N: 830342, SEN S/N: 830342)","Temp, °F (LGR S/N: 830342, SEN S/N: 830342)","Coupler Detached (LGR S/N: 830342)","Coupler Attached (LGR S/N: 830342)","Host Connected (LGR S/N: 830342)","Stopped (LGR S/N: 830342)","End Of File (LGR S/N: 830342)"
1,05/09/20 08:00:00 PM,16.3553,57.785,Logged,,,,
2,05/09/20 08:30:00 PM,16.3531,57.785,,,,,
3,05/09/20 09:00:00 PM,16.3553,57.785,,,,,
4,05/09/20 09:30:00 PM,16.3553,57.785,,,,,
5,05/09/20 10:00:00 PM,16.3553,57.785,,,,,
6,05/09/20 10:30:00 PM,16.3659,57.614,,,,,
7,05/09/20 11:00:00 PM,16.3614,57.614,,,,,
8,05/09/20 11:30:00 PM,16.3592,57.614,,,,,
9,05/10/20 12:00:00 AM,16.3547,57.614,,,,,
10,05/10/20 12:30:00 AM,16.3547,57.614,,,,,
11,05/10/20 01:00:00 AM,16.3547,57.614,,,,,
12,05/10/20 01:30:00 AM,16.3504,57.614,,,,,
13,05/10/20 02:00:00 AM,16.3431,57.441,,,,,
14,05/10/20 02:30:00 AM,16.3410,57.441,,,,,
15,05/10/20 03:00:00 AM,16.3386,57.441,,,,,
16,05/10/20 03:30:00 AM,16.3410,57.441,,,,,
17,05/10/20 04:00:00 AM,16.3476,57.441,,,,,
18,05/10/20 04:30:00 AM,16.3565,57.441,,,,,
19,05/10/20 05:00:00 AM,16.3632,57.441,,,,,
20,05/10/20 05:30:00 AM,16.3677,57.441,,,,,
21,05/10/20 06:00:00 AM,16.3743,57.441,,,,,
22,05/10/20 06:30:00 AM,16.3832,57.441,,,,,
23,05/10/20 07:00:00 AM,16.3898,57.441,,,,,
24,05/10/20 07:30:00 AM,16.3916,57.268,,,,,
25,05/10/20 08:00:00 AM,16.3959,57.268,,,,,
26,05/10/20 08:30:00 AM,16.3983,57.268,,,,,
27,05/10/20 09:00:00 AM,16.4026,57.268,,,,,
28,05/10/20 09:30:00 AM,16.4071,57.268,,,,,
29,05/10/20 10:00:00 AM,16.4093,57.268,,,,,
30,05/10/20 10:30:00 AM,16.4138,57.268,,,,,
31,05/10/20 11:00:00 AM,16.4160,57.268,,,,,
32,05/10/20 11:30:00 AM,16.4183,57.268,,,,,
33,05/10/20 12:00:00 PM,16.4271,57.268,,,,,
34,05/10/20 12:30:00 PM,16.4316,57.268,,,,,
35,05/10/20 01:00:00 PM,16.4316,57.268,,,,,
36,05/10/20 01:30:00 PM,16.4360,57.268,,,,,
37,05/10/20 02:00:00 PM,16.4360,57.268,,,,,
38,05/10/20 02:30:00 PM,16.4338,57.268,,,,,
39,05/10/20 03:00:00 PM,16.4316,57.268,,,,,
40,05/10/20 03:30:00 PM,16.4338,57.268,,,,,
41,05/10/20 04:00:00 PM,16.4360,57.268,,,,,
42,05/10/20 04:30:00 PM,16.4338,57.268,,,,,
43,05/10/20 05:00:00 PM,16.4405,57.268,,,,,
44,05/10/20 05:30:00 PM,16.4405,57.268,,,,,
45,05/10/20 06:00:00 PM,16.4450,57.268,,,,,
46,05/10/20 06:30:00 PM,16.4450,57.268,,,,,
47,05/10/20 07:00:00 PM,16.4471,57.268,,,,,
48,05/10/20 07:30:00 PM,16.4471,57.268,,,,,
49,05/10/20 08:00:00 PM,16.4450,57.268,,,,,
50,05/10/20 08:30:00 PM,16.4487,57.096,,,,,
51,05/10/20 09:00:00 PM,16.4511,57.096,,,,,
52,05/10/20 09:30:00 PM,16.4511,57.096,,,,,
53,05/10/20 10:00:00 PM,16.4554,57.096,,,,,
54,05/10/20 10:30:00 PM,16.4571,56.923,,,,,
55,05/10/20 11:00:00 PM,16.4593,56.923,,,,,
56,05/10/20 11:30:00 PM,16.4550,56.923,,,,,
57,05/11/20 12:00:00 AM,16.4566,56.750,,,,,
58,05/11/20 12:30:00 AM,16.4566,56.750,,,,,
59,05/11/20 01:00:00 AM,16.4589,56.750,,,,,
60,05/11/20 01:30:00 AM,16.4538,56.577,,,,,
61,05/11/20 02:00:00 AM,16.4538,56.577,,,,,
62,05/11/20 02:30:00 AM,16.4516,56.577,,,,,
