MiniDOT Logger Concatenated Data File
Sensor:             7450-207070
Concatenation Date: 2020Jun12 14:56:33 CDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at pressure: 1013.0 (mbar)

            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1590768780,           2020-05-29 16:13:00,           2020-05-29 11:13:00,      3.160000,     20.808000,         14.403000,                   161.000952,      0.962000
                1590770580,           2020-05-29 16:43:00,           2020-05-29 11:43:00,      3.150000,     20.909000,         14.759000,                   165.307379,      0.963000
                1590772380,           2020-05-29 17:13:00,           2020-05-29 12:13:00,      3.150000,     21.001000,         14.835000,                   166.458080,      0.963000
                1590774180,           2020-05-29 17:43:00,           2020-05-29 12:43:00,      3.150000,     21.134000,         14.857000,                   167.138694,      0.963000
                1590775980,           2020-05-29 18:13:00,           2020-05-29 13:13:00,      3.150000,     21.277000,         14.923000,                   168.349882,      0.963000
                1590777780,           2020-05-29 18:43:00,           2020-05-29 13:43:00,      3.150000,     21.368000,         14.860000,                   167.936305,      0.963000
                1590779580,           2020-05-29 19:13:00,           2020-05-29 14:13:00,      3.150000,     21.511000,         14.766000,                   167.338186,      0.964000
                1590781380,           2020-05-29 19:43:00,           2020-05-29 14:43:00,      3.150000,     21.686000,         14.730000,                   167.497252,      0.963000
                1590783180,           2020-05-29 20:13:00,           2020-05-29 15:13:00,      3.150000,     21.770000,         14.494000,                   165.081614,      0.963000
                1590784980,           2020-05-29 20:43:00,           2020-05-29 15:43:00,      3.150000,     21.887000,          4.903000,                    55.969767,      0.827000
                1590786780,           2020-05-29 21:13:00,           2020-05-29 16:13:00,      3.150000,     21.995000,          7.775000,                    88.939795,      0.911000
                1590788580,           2020-05-29 21:43:00,           2020-05-29 16:43:00,      3.150000,     22.087000,          9.743000,                   111.649666,      0.934000
                1590790380,           2020-05-29 22:13:00,           2020-05-29 17:13:00,      3.150000,     22.154000,         10.989000,                   126.090466,      0.948000
                1590792180,           2020-05-29 22:43:00,           2020-05-29 17:43:00,      3.150000,     22.221000,         12.152000,                   139.614530,      0.953000
                1590793980,           2020-05-29 23:13:00,           2020-05-29 18:13:00,      3.150000,     22.263000,         12.493000,                   143.648002,      0.960000
                1590795780,           2020-05-29 23:43:00,           2020-05-29 18:43:00,      3.150000,     22.313000,         12.955000,                   149.103085,      0.961000
                1590797580,           2020-05-30 00:13:00,           2020-05-29 19:13:00,      3.150000,     22.321000,         13.229000,                   152.279983,      0.963000
                1590799380,           2020-05-30 00:43:00,           2020-05-29 19:43:00,      3.150000,     22.330000,         13.342000,                   153.607224,      0.962000
                1590801180,           2020-05-30 01:13:00,           2020-05-29 20:13:00,      3.150000,     22.346000,         13.493000,                   155.393325,      0.962000
                1590802980,           2020-05-30 01:43:00,           2020-05-29 20:43:00,      3.150000,     22.355000,         13.599000,                   156.641087,      0.962000
                1590804780,           2020-05-30 02:13:00,           2020-05-29 21:13:00,      3.150000,     22.363000,         13.729000,                   158.162735,      0.963000
                1590806580,           2020-05-30 02:43:00,           2020-05-29 21:43:00,      3.150000,     22.346000,         13.767000,                   158.548870,      0.963000
                1590808380,           2020-05-30 03:13:00,           2020-05-29 22:13:00,      3.150000,     22.346000,         13.809000,                   159.032567,      0.964000
                1590810180,           2020-05-30 03:43:00,           2020-05-29 22:43:00,      3.150000,     22.338000,         13.830000,                   159.250006,      0.963000
                1590811980,           2020-05-30 04:13:00,           2020-05-29 23:13:00,      3.150000,     22.330000,         13.817000,                   159.075927,      0.963000
                1590813780,           2020-05-30 04:43:00,           2020-05-29 23:43:00,      3.150000,     22.313000,         13.908000,                   160.071456,      0.964000
                1590815580,           2020-05-30 05:13:00,           2020-05-30 00:13:00,      3.150000,     22.238000,         13.976000,                   160.622892,      0.964000
                1590817380,           2020-05-30 05:43:00,           2020-05-30 00:43:00,      3.150000,     22.154000,         14.034000,                   161.029539,      0.964000
                1590819180,           2020-05-30 06:13:00,           2020-05-30 01:13:00,      3.140000,     22.045000,         14.039000,                   160.749625,      0.964000
                1590820980,           2020-05-30 06:43:00,           2020-05-30 01:43:00,      3.140000,     21.920000,         12.564000,                   143.514556,      0.954000
