KorDSS MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
FILE CREATED:,8/28/2020 20:07,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE,TIME,SITE,DATA ID,GPS Latitude (°),GPS Longitude (°),Barometer (mmHg),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Temp (°F),Sigma-T (s t),Sigma (s),Chlorophyll (RFU),Chlorophyll (µg/L),PC (RFU),PC (ug/L),ODO (% Sat),ODO (mg/L),ODO (% LocalB),pH,pH (mV),Pressure (psi a),Depth (m),Vertical Position (m)
8/28/2020,1:13:25 PM,Pond F,,89.99999 °,179.99998 °,727.4,420.6,402,0.19,400.1,261,81.4,-3.5,-3.5,2.16,8.8,0.18,0,88.7,7.01,92.7,16.19,-609.7,-0.009,-0.007,-0.008
8/28/2020,1:13:25 PM,Pond F,,89.99999 °,179.99998 °,727.4,420.6,402,0.19,400.1,261,81.4,-3.5,-3.5,2.16,8.8,0.18,0,88.7,7.01,92.7,16.19,-609.7,-0.009,-0.007,-0.008
8/28/2020,1:13:25 PM,Pond F,,89.99999 °,179.99998 °,727.4,420.6,402,0.19,400,261,81.4,-3.5,-3.5,2.19,8.92,0.18,0,88.7,7.01,92.7,16.19,-609.7,-0.01,-0.007,-0.008
8/28/2020,1:13:25 PM,Pond F,,89.99999 °,179.99998 °,727.4,420.5,402,0.19,400,261,81.4,-3.5,-3.5,2.2,8.98,0.18,0.01,88.7,7.01,92.7,16.19,-609.7,-0.01,-0.007,-0.01
8/28/2020,1:13:26 PM,Pond F,,89.99999 °,179.99998 °,727.4,420.5,401.9,0.19,400,261,81.4,-3.5,-3.5,2.23,9.08,0.18,0,88.7,7.01,92.7,16.19,-609.7,-0.01,-0.007,-0.011
8/28/2020,1:13:26 PM,Pond F,,89.99999 °,179.99998 °,727.4,420.5,401.9,0.19,399.9,261,81.4,-3.5,-3.5,2.25,9.16,0.18,0,88.7,7.01,92.7,16.19,-609.7,-0.01,-0.007,-0.011
8/28/2020,1:13:26 PM,Pond F,,89.99999 °,179.99998 °,727.4,420.5,401.9,0.19,399.9,261,81.4,-3.5,-3.5,2.25,9.18,0.17,0,88.7,7,92.6,16.19,-609.7,-0.011,-0.007,-0.011
8/28/2020,1:13:26 PM,Pond F,,89.99999 °,179.99998 °,727.4,420.4,401.8,0.19,399.8,261,81.4,-3.5,-3.5,2.27,9.24,0.17,0,88.6,7,92.6,16.19,-609.7,-0.011,-0.008,-0.012
8/28/2020,1:13:27 PM,Pond F,,89.99999 °,179.99998 °,727.4,420.4,401.8,0.19,399.8,261,81.4,-3.5,-3.5,2.26,9.22,0.17,0,88.6,7,92.6,16.19,-609.7,-0.011,-0.008,-0.011
8/28/2020,1:13:27 PM,Pond F,,89.99999 °,179.99998 °,727.4,420.4,401.7,0.19,399.8,261,81.4,-3.5,-3.5,2.26,9.2,0.17,0,88.6,7,92.6,16.19,-609.7,-0.011,-0.008,-0.01
8/28/2020,1:13:27 PM,Pond F,,89.99999 °,179.99998 °,727.4,420.3,401.7,0.19,399.7,261,81.4,-3.5,-3.5,2.25,9.16,0.17,0,88.6,7,92.6,16.19,-609.7,-0.011,-0.008,-0.011
8/28/2020,1:13:27 PM,Pond F,,89.99999 °,179.99998 °,727.4,420.3,401.7,0.19,399.7,261,81.4,-3.5,-3.5,2.24,9.12,0.16,-0.01,88.6,7,92.6,16.19,-609.7,-0.011,-0.008,-0.005
8/28/2020,1:13:28 PM,Pond F,,89.99999 °,179.99998 °,727.4,420.3,401.7,0.19,399.7,261,81.4,-3.5,-3.5,2.22,9.06,0.16,-0.01,88.6,7,92.6,16.19,-609.7,-0.01,-0.007,0.01
8/28/2020,1:13:28 PM,Pond F,,89.99999 °,179.99998 °,727.4,420.2,401.6,0.19,399.6,261,81.4,-3.5,-3.5,2.22,9.04,0.16,0,88.6,7,92.6,16.19,-609.7,-0.009,-0.006,0.014
8/28/2020,1:13:28 PM,Pond F,,89.99999 °,179.99998 °,727.4,420.2,401.6,0.19,399.6,261,81.4,-3.5,-3.5,2.21,9.03,0.17,0,88.6,7,92.5,16.19,-609.7,-0.009,-0.006,0.013
8/28/2020,1:13:28 PM,Pond F,,89.99999 °,179.99998 °,727.4,420.2,401.5,0.19,399.5,261,81.4,-3.5,-3.5,2.21,9,0.16,-0.01,88.6,7,92.5,16.19,-609.7,-0.007,-0.005,0.02
8/28/2020,1:13:29 PM,Pond F,,89.99999 °,179.99998 °,727.4,420.1,401.5,0.19,399.5,261,81.4,-3.5,-3.5,2.2,8.96,0.16,-0.01,88.6,7,92.5,16.19,-609.7,-0.006,-0.004,0.031
8/28/2020,1:13:29 PM,Pond F,,89.99999 °,179.99998 °,727.4,420.1,401.5,0.19,399.5,261,81.4,-3.5,-3.5,2.22,9.04,0.16,-0.01,88.6,7,92.5,16.19,-609.7,-0.004,-0.003,0.041
8/28/2020,1:13:29 PM,Pond F,,89.99999 °,179.99998 °,727.4,420,401.4,0.19,399.4,261,81.4,-3.5,-3.5,2.23,9.09,0.17,0,88.5,6.99,92.5,16.19,-609.7,-0.001,0,0.058
8/28/2020,1:13:29 PM,Pond F,,89.99999 °,179.99998 °,727.4,420,401.3,0.19,399.3,261,81.4,-3.5,-3.5,2.24,9.13,0.17,0,88.5,6.99,92.5,16.19,-609.7,0.001,0.001,0.062
8/28/2020,1:13:30 PM,Pond F,,89.99999 °,179.99998 °,727.4,419.9,401.2,0.19,399.2,261,81.4,-3.5,-3.5,2.24,9.13,0.16,-0.01,88.5,6.99,92.5,16.19,-609.7,0.003,0.002,0.063
8/28/2020,1:13:30 PM,Pond F,,89.99999 °,179.99998 °,727.4,419.8,401.1,0.19,399.1,261,81.4,-3.5,-3.5,2.25,9.16,0.16,-0.01,88.5,6.99,92.5,16.19,-609.7,0.005,0.004,0.065
8/28/2020,1:13:30 PM,Pond F,,89.99999 °,179.99998 °,727.4,419.7,401,0.19,399,261,81.4,-3.5,-3.5,2.26,9.19,0.16,-0.01,88.5,6.99,92.5,16.19,-609.7,0.009,0.006,0.076
8/28/2020,1:13:30 PM,Pond F,,89.99999 °,179.99998 °,727.4,419.6,400.9,0.19,398.9,261,81.4,-3.5,-3.5,2.26,9.23,0.16,-0.01,88.5,6.99,92.5,16.19,-609.7,0.011,0.008,0.085
8/28/2020,1:13:31 PM,Pond F,,89.99999 °,179.99998 °,727.4,419.5,400.8,0.19,398.8,261,81.4,-3.5,-3.5,2.28,9.27,0.16,-0.01,88.5,6.99,92.4,16.19,-609.7,0.013,0.009,0.095
8/28/2020,1:13:31 PM,Pond F,,89.99999 °,179.99998 °,727.4,419.5,400.7,0.19,398.7,260,81.4,-3.5,-3.5,2.3,9.39,0.16,-0.01,88.4,6.99,92.4,16.19,-609.7,0.018,0.013,0.109
8/28/2020,1:13:31 PM,Pond F,,89.99999 °,179.99998 °,727.4,419.4,400.6,0.19,398.6,260,81.4,-3.5,-3.5,2.3,9.39,0.16,-0.01,88.4,6.98,92.4,16.19,-609.7,0.021,0.015,0.109
8/28/2020,1:13:31 PM,Pond F,,89.99999 °,179.99998 °,727.4,419.3,400.6,0.19,398.6,260,81.4,-3.5,-3.5,2.32,9.45,0.16,-0.01,88.4,6.98,92.4,16.19,-609.7,0.023,0.016,0.105
8/28/2020,1:13:32 PM,Pond F,,89.99999 °,179.99998 °,727.4,419.3,400.5,0.19,398.5,260,81.4,-3.5,-3.5,2.33,9.5,0.16,-0.01,88.4,6.98,92.4,16.19,-609.7,0.027,0.019,0.107
8/28/2020,1:13:32 PM,Pond F,,89.99999 °,179.99998 °,727.4,419.2,400.4,0.19,398.4,260,81.4,-3.5,-3.5,2.36,9.6,0.16,-0.01,88.4,6.98,92.3,16.19,-609.7,0.029,0.021,0.115
8/28/2020,1:13:32 PM,Pond F,,89.99999 °,179.99998 °,727.4,419.1,400.3,0.19,398.3,260,81.4,-3.5,-3.5,2.37,9.65,0.16,-0.01,88.3,6.98,92.3,16.19,-609.7,0.032,0.022,0.125
8/28/2020,1:13:32 PM,Pond F,,89.99999 °,179.99998 °,727.4,419,400.2,0.19,398.2,260,81.4,-3.5,-3.5,2.38,9.68,0.17,0,88.3,6.97,92.3,16.19,-609.7,0.037,0.026,0.147
8/28/2020,1:13:33 PM,Pond F,,89.99999 °,179.99998 °,727.4,418.9,400.1,0.19,398.1,260,81.4,-3.5,-3.5,2.38,9.68,0.17,0,88.3,6.97,92.2,16.19,-609.7,0.04,0.028,0.157
8/28/2020,1:13:33 PM,Pond F,,89.99999 °,179.99998 °,727.4,418.9,400.1,0.19,398.1,260,81.4,-3.5,-3.5,2.39,9.71,0.17,0,88.3,6.97,92.2,16.19,-609.7,0.043,0.03,0.161
