"pond_id","week","doy","ch4_rate","co2_rate","n2o_rate"
"A",1,146,0.00456529110687774,0.268450697141365,0.000195620792579364
"A",2,153,0.0143661409486189,0.319472628217525,0.000164593724908383
"A",3,160,0.00848892588426943,0.38735723662273,0.000200601386508445
"A",4,168,0.0155169138953529,0.401581739153282,0.000120520559849707
"A",5,173,0.022294901696986,0.35912139126741,0.000101753732749535
"A",6,180,0.023977616259619,0.371636413999924,0.000158916241580471
"A",7,189,0.0123102673069231,0.32630290197691,0.000187543599783566
"A",8,196,0.0171601670899119,0.459075978529233,0.000209669010202096
"A",9,204,0.00800737605025171,0.412959987066304,0.00016555168858324
"A",10,210,0.0160872184606592,0.383950086887355,0.000175754002028347
"A",11,216,0.0119537854586754,0.390795908005048,0.000109287631851792
"A",12,222,0.0141060623741975,0.431200402250495,0.00014729215497216
"A",13,229,0.0156145419894757,0.430887151952506,0.000163498769276747
"A",14,236,0.0187897657677774,0.328375093972265,0.000129024684109024
"B",1,146,0.00890908867364045,0.29039581177658,0.000447625585526715
"B",2,153,0.0066767514724333,0.331063239714547,0.00018758930403358
"B",3,160,0.00940722255787758,0.375619004799708,0.000308565826083146
"B",4,168,0.0122806131842555,0.29706552652583,0.000296876909471131
"B",5,173,0.00911422029401653,0.356704586649983,0.000292681082366612
"B",6,180,0.0154834714773931,0.309020174871462,0.000251029357370164
"B",7,189,0.0205536996909346,0.407118283481843,0.000147337980433805
"B",8,196,0.0197885475160567,0.419174422354147,0.000284596791418392
"B",9,204,0.0160311256294699,0.328847869263857,0.000336958669493484
"B",10,210,0.0208782247279644,0.36960669168382,0.000252660429410228
"B",11,216,0.00859567908480116,0.382294528992719,0.000208786918100494
"B",12,222,0.0117846992587838,0.368060571748044,0.000187255756274276
"B",13,229,0.012697430128602,0.366596919161866,0.000201566784910921
"B",14,236,0.0150989489676583,0.252606064668444,0.000196567030315686
"C",1,146,0.00313334830295017,0.263960572029743,0.000580750058565044
"C",2,153,0.00889281895514252,0.318978104008687,0.000791454154604185
"C",3,160,0.00885108581891667,0.326779135462164,0.000484816462743655
"C",4,168,0.0199311244465617,0.448273081954896,0.000499755471914906
"C",5,173,0.0105795926149937,0.389857768044557,0.000576137767134026
"C",6,180,0.0207658120642171,0.300260563227992,0.000389199480515665
"C",7,189,0.0193861936765739,0.454986010965566,0.000261877613436359
"C",8,196,0.0200351199063295,0.515420244701617,0.000319009268762362
"C",9,204,0.0242332443897867,0.422743372507323,0.000332162768317052
"C",10,210,0.0208567043013007,0.389828097059596,0.000443667820112947
"C",11,216,0.018608619264311,0.470498835288389,0.000514283992442094
"C",12,222,0.0182136452305795,0.47272897637509,0.00041689266544505
"C",13,229,0.0211180182630329,0.506222359020046,0.000420385493896237
"C",14,236,0.0255596528359285,0.39297106349712,0.000236342779091958
"D",1,146,0.00613884354792447,0.227703726040345,0.000674834755892094
"D",2,153,0.00718247651286688,0.198274586508066,0.00112393392941886
"D",3,160,0.00670884556015386,0.257807954717607,0.000790626775743821
"D",4,168,0.0161522534284579,0.292949313620294,0.000962700550408938
"D",5,173,0.00981759174256463,0.321593863725046,0.000707255591529404
"D",6,180,0.010656608613986,0.252132162080105,0.000528489179510741
"D",7,189,0.0228829433140327,0.439485203504656,0.000431609446811976
"D",8,196,0.0135008532286443,0.387929159205717,0.000439082874748114
"D",9,204,0.0219958588857377,0.436656064647331,0.000345095808776926
"D",10,210,0.0175597488499268,0.344413864804516,0.000460020832551613
"D",11,216,0.0145558731916417,0.392787706398153,0.000479180439896783
"D",12,222,0.01970480917523,0.546369683027987,0.000473070992259029
"D",13,229,0.0159870007526482,0.542910070312059,0.000288427014222238
"D",14,236,0.0244918781389186,0.438662224140582,0.00030567067415005
"E",1,146,0.00212555067261072,0.251729605304655,0.00106120898618082
"E",2,153,0.0137911030676103,0.213926634724044,0.000431450994689608
"E",3,160,0.0115163855020037,0.317771593655104,0.000444138787384519
"E",4,168,0.015356914806141,0.313152027725036,0.000620207270849359
"E",5,173,0.0119065469598952,0.296321232761796,0.000635022470918774
"E",6,180,0.0120162322935348,0.2664764503317,0.000391711824091647
"E",7,189,0.0218340386814897,0.398509335740266,0.000358881970850732
"E",8,196,0.0124579287413549,0.400126584512262,0.000387159117049437
"E",9,204,0.0177812283144767,0.448744743128028,0.000457758707779619
"E",10,210,0.0244489549068866,0.35222199371739,0.000237060608426701
"E",11,216,0.0154057630470105,0.455426946442082,0.000276098954653753
"E",12,222,0.0174083447452395,0.428631011316325,0.00052821298793245
"E",13,229,0.0161947231916158,0.489210598625186,0.000195116936583349
"E",14,236,0.0260132485711574,0.398154555976334,0.00030351319990661
"F",1,146,0.00362743834942069,0.248350966952832,0.00113773788428422
"F",2,153,0.00878756229605782,0.158599322484449,0.000530211131808727
"F",3,160,0.0107839006422547,0.336279343651129,0.000879210929719987
"F",4,168,0.0164959942399682,0.303781916523796,0.000529253669824212
"F",5,173,0.0140163813015268,0.306122373824415,0.00067826633416613
"F",6,180,0.0112136798866879,0.26767934898973,0.000486703731533023
"F",7,189,0.0262737073380356,0.46273205496818,0.000879892827386066
"F",8,196,0.0197464566109707,0.391477056553913,0.000470183990971347
"F",9,204,0.0173028782217801,0.384762535948178,0.000873719431201472
"F",10,210,0.0191914531926718,0.34465593723736,0.000367862567586983
"F",11,216,0.0165920129391918,0.424685334747155,0.000362662697675667
"F",12,222,0.0159544845288636,0.38934802527848,0.000367642613490259
"F",13,229,0.018656169438198,0.429536265557597,0.0003224831220082
"F",14,236,0.0168072973265174,0.307894269308362,0.000390194578525352
