sample_id,pond_id,week,date_collect,date_run,time_start,time_end,incubation_temp,vol_bottle,vol_sediment,vol_water,vol_media,notes
E20A160X1,A,3,6/8/2020,10/10/2020,13:43,15:01,23,120,20,20,2.2,
E20A160X2,A,3,6/8/2020,10/10/2020,13:44,15:02,23,120,20,20,2.2,
E20A160X3,A,3,6/8/2020,10/10/2020,,,,,,,,not enough sediment for sample
E20B160X1,B,3,6/8/2020,10/10/2020,13:46,15:03,23,120,20,20,2.2,
E20B160X2,B,3,6/8/2020,10/10/2020,13:46,15:04,23,120,20,20,2.2,
E20B160X3,B,3,6/8/2020,10/10/2020,13:47,15:04,23,120,20,20,2.2,
E20C160X1,C,3,6/8/2020,10/10/2020,13:48,15:05,23,120,20,20,2.2,
E20C160X2,C,3,6/8/2020,10/10/2020,13:49,15:06,23,120,20,20,2.2,
E20C160X3,C,3,6/8/2020,10/10/2020,13:50,15:06,23,120,20,20,2.2,
E20D160X1,D,3,6/8/2020,10/10/2020,13:59,15:10,23,120,20,20,2.2,
E20D160X2,D,3,6/8/2020,10/10/2020,13:59,15:10,23,120,20,20,2.2,
E20D160X3,D,3,6/8/2020,10/10/2020,,,,,,,,not enough sediment for sample
E20E160X1,E,3,6/8/2020,10/10/2020,14:00,15:12,23,120,20,20,2.2,
E20E160X2,E,3,6/8/2020,10/10/2020,14:00,15:13,23,120,20,20,2.2,
E20E160X3,E,3,6/8/2020,10/10/2020,14:01,15:13,23,120,20,20,2.2,
E20F160X1,F,3,6/8/2020,10/10/2020,14:02,15:14,23,120,20,20,2.2,
E20F160X2,F,3,6/8/2020,10/10/2020,14:03,15:15,23,120,20,20,2.2,
E20F160X3,F,3,6/8/2020,10/10/2020,14:03,15:15,23,120,20,20,2.2,
E20A174X1,A,5,6/21/2020,10/10/2020,17:17,18:33,24,120,20,20,2.2,"label says DOY 174, but sample collected DOY 173"
E20A174X2,A,5,6/21/2020,10/10/2020,17:17,18:33,24,120,20,20,2.2,"label says DOY 174, but sample collected DOY 173"
E20A174X3,A,5,6/21/2020,10/10/2020,17:18,18:34,24,120,20,20,2.2,"label says DOY 174, but sample collected DOY 173"
E20B174X1,B,5,6/21/2020,10/10/2020,17:20,18:35,24,120,20,20,2.2,"label says DOY 174, but sample collected DOY 173"
E20B174X2,B,5,6/21/2020,10/10/2020,17:20,18:36,24,120,20,20,2.2,"label says DOY 174, but sample collected DOY 173"
E20B174X3,B,5,6/21/2020,10/10/2020,17:21,18:36,24,120,20,20,2.2,"label says DOY 174, but sample collected DOY 173"
E20C174X1,C,5,6/21/2020,10/10/2020,17:23,18:37,24,120,20,20,2.2,"label says DOY 174, but sample collected DOY 173"
E20C174X2,C,5,6/21/2020,10/10/2020,17:23,18:38,24,120,20,20,2.2,"label says DOY 174, but sample collected DOY 173"
E20C174X3,C,5,6/21/2020,10/10/2020,17:23,18:38,24,120,20,20,2.2,"label says DOY 174, but sample collected DOY 173"
E20D174X1,D,5,6/21/2020,10/10/2020,17:34,18:46,24,120,20,20,2.2,"label says DOY 174, but sample collected DOY 173"
E20D174X2,D,5,6/21/2020,10/10/2020,17:34,18:47,24,120,20,20,2.2,"label says DOY 174, but sample collected DOY 173"
E20D174X3,D,5,6/21/2020,10/10/2020,,,,,,,,not enough sediment for sample
E20E174X1,E,5,6/21/2020,10/10/2020,17:36,18:48,24,120,20,20,2.2,"label says DOY 174, but sample collected DOY 173"
E20E174X2,E,5,6/21/2020,10/10/2020,,,,,,,,not enough sediment for sample
E20E174X3,E,5,6/21/2020,10/10/2020,17:36,18:48,24,120,20,20,2.2,"label says DOY 174, but sample collected DOY 173"
E20F174X1,F,5,6/21/2020,10/10/2020,17:38,18:49,24,120,20,20,2.2,"label says DOY 174, but sample collected DOY 173"
E20F174X2,F,5,6/21/2020,10/10/2020,17:38,18:50,24,120,20,20,2.2,"label says DOY 174, but sample collected DOY 173"
E20F174X3,F,5,6/21/2020,10/10/2020,17:38,18:50,24,120,20,20,2.2,"label says DOY 174, but sample collected DOY 173"
E20A188X1,A,7,7/7/2020,10/11/2020,11:34,12:50,23.2,120,20,20,2.2,"label says DOY 188, but sample collected on DOY 189; water sample was sub-surface grab sample instead of bottom water"
E20A188X2,A,7,7/7/2020,10/11/2020,11:34,12:50,23.2,120,20,20,2.2,"label says DOY 188, but sample collected on DOY 189; water sample was sub-surface grab sample instead of bottom water"
E20A188X3,A,7,7/7/2020,10/11/2020,11:35,12:50,23.2,120,20,20,2.2,"label says DOY 188, but sample collected on DOY 189; water sample was sub-surface grab sample instead of bottom water"
E20B188X1,B,7,7/7/2020,10/11/2020,11:36,12:52,23.2,120,20,20,2.2,"label says DOY 188, but sample collected on DOY 189; water sample was sub-surface grab sample instead of bottom water"
E20B188X2,B,7,7/7/2020,10/11/2020,11:37,12:52,23.2,120,20,20,2.2,"label says DOY 188, but sample collected on DOY 189; water sample was sub-surface grab sample instead of bottom water"
E20B188X3,B,7,7/7/2020,10/11/2020,11:37,12:53,23.2,120,20,20,2.2,"label says DOY 188, but sample collected on DOY 189; water sample was sub-surface grab sample instead of bottom water"
E20C188X1,C,7,7/7/2020,10/11/2020,11:39,12:54,23.2,120,20,20,2.2,"label says DOY 188, but sample collected on DOY 189; water sample was sub-surface grab sample instead of bottom water"
E20C188X2,C,7,7/7/2020,10/11/2020,11:39,12:54,23.2,120,20,20,2.2,"label says DOY 188, but sample collected on DOY 189; water sample was sub-surface grab sample instead of bottom water"
E20C188X3,C,7,7/7/2020,10/11/2020,11:40,12:55,23.2,120,20,20,2.2,"label says DOY 188, but sample collected on DOY 189; water sample was sub-surface grab sample instead of bottom water"
E20D188X1,D,7,7/7/2020,10/11/2020,11:47,12:56,23.2,120,20,20,2.2,"label says DOY 188, but sample collected on DOY 189; water sample was sub-surface grab sample instead of bottom water"
E20D188X2,D,7,7/7/2020,10/11/2020,11:47,12:56,23.2,120,20,20,2.2,"label says DOY 188, but sample collected on DOY 189; water sample was sub-surface grab sample instead of bottom water"
E20D188X3,D,7,7/7/2020,10/11/2020,11:48,12:56,23.2,120,20,20,2.2,"label says DOY 188, but sample collected on DOY 189; water sample was sub-surface grab sample instead of bottom water"
E20E188X1,E,7,7/7/2020,10/11/2020,11:49,12:57,23.2,120,20,20,2.2,"label says DOY 188, but sample collected on DOY 189; water sample was sub-surface grab sample instead of bottom water"
E20E188X2,E,7,7/7/2020,10/11/2020,11:50,12:58,23.2,120,20,20,2.2,"label says DOY 188, but sample collected on DOY 189; water sample was sub-surface grab sample instead of bottom water"
