"Plot Title: 13_PondF_Deep_Anchor"
"#","Date Time, GMT-05:00","Abs Pres, psi (LGR S/N: 830360, SEN S/N: 830360)","Temp, °F (LGR S/N: 830360, SEN S/N: 830360)","Coupler Detached (LGR S/N: 830360)","Coupler Attached (LGR S/N: 830360)","Host Connected (LGR S/N: 830360)","Stopped (LGR S/N: 830360)","End Of File (LGR S/N: 830360)"
1,05/09/20 08:00:00 PM,17.0018,58.820,Logged,,,,
2,05/09/20 08:30:00 PM,16.9991,58.820,,,,,
3,05/09/20 09:00:00 PM,16.9967,58.820,,,,,
4,05/09/20 09:30:00 PM,16.9967,58.820,,,,,
5,05/09/20 10:00:00 PM,16.9986,58.647,,,,,
6,05/09/20 10:30:00 PM,17.0063,58.647,,,,,
7,05/09/20 11:00:00 PM,17.0012,58.647,,,,,
8,05/09/20 11:30:00 PM,16.9961,58.647,,,,,
9,05/10/20 12:00:00 AM,16.9961,58.647,,,,,
10,05/10/20 12:30:00 AM,16.9931,58.476,,,,,
11,05/10/20 01:00:00 AM,16.9931,58.476,,,,,
12,05/10/20 01:30:00 AM,16.9899,58.303,,,,,
13,05/10/20 02:00:00 AM,16.9817,58.131,,,,,
14,05/10/20 02:30:00 AM,16.9817,58.131,,,,,
15,05/10/20 03:00:00 AM,16.9762,57.958,,,,,
16,05/10/20 03:30:00 AM,16.9832,57.785,,,,,
17,05/10/20 04:00:00 AM,16.9852,57.614,,,,,
18,05/10/20 04:30:00 AM,16.9922,57.441,,,,,
19,05/10/20 05:00:00 AM,16.9987,57.096,,,,,
20,05/10/20 05:30:00 AM,17.0051,56.750,,,,,
21,05/10/20 06:00:00 AM,17.0096,56.577,,,,,
22,05/10/20 06:30:00 AM,17.0192,56.404,,,,,
23,05/10/20 07:00:00 AM,17.0237,56.230,,,,,
24,05/10/20 07:30:00 AM,17.0282,56.057,,,,,
25,05/10/20 08:00:00 AM,17.0300,55.884,,,,,
26,05/10/20 08:30:00 AM,17.0351,55.884,,,,,
27,05/10/20 09:00:00 AM,17.0345,55.711,,,,,
28,05/10/20 09:30:00 AM,17.0402,55.884,,,,,
29,05/10/20 10:00:00 AM,17.0408,56.057,,,,,
30,05/10/20 10:30:00 AM,17.0414,56.230,,,,,
31,05/10/20 11:00:00 AM,17.0464,56.230,,,,,
32,05/10/20 11:30:00 AM,17.0464,56.230,,,,,
33,05/10/20 12:00:00 PM,17.0483,56.057,,,,,
34,05/10/20 12:30:00 PM,17.0585,56.057,,,,,
35,05/10/20 01:00:00 PM,17.0579,55.884,,,,,
36,05/10/20 01:30:00 PM,17.0630,55.884,,,,,
37,05/10/20 02:00:00 PM,17.0630,55.884,,,,,
38,05/10/20 02:30:00 PM,17.0599,55.711,,,,,
39,05/10/20 03:00:00 PM,17.0579,55.884,,,,,
40,05/10/20 03:30:00 PM,17.0635,56.057,,,,,
41,05/10/20 04:00:00 PM,17.0609,56.057,,,,,
42,05/10/20 04:30:00 PM,17.0585,56.057,,,,,
43,05/10/20 05:00:00 PM,17.0660,56.057,,,,,
44,05/10/20 05:30:00 PM,17.0604,55.884,,,,,
45,05/10/20 06:00:00 PM,17.0654,55.884,,,,,
46,05/10/20 06:30:00 PM,17.0693,55.537,,,,,
47,05/10/20 07:00:00 PM,17.0669,55.537,,,,,
48,05/10/20 07:30:00 PM,17.0638,55.364,,,,,
49,05/10/20 08:00:00 PM,17.0633,55.189,,,,,
50,05/10/20 08:30:00 PM,17.0678,55.017,,,,,
51,05/10/20 09:00:00 PM,17.0696,54.842,,,,,
52,05/10/20 09:30:00 PM,17.0696,54.842,,,,,
53,05/10/20 10:00:00 PM,17.0741,54.669,,,,,
54,05/10/20 10:30:00 PM,17.0762,54.495,,,,,
55,05/10/20 11:00:00 PM,17.0786,54.495,,,,,
56,05/10/20 11:30:00 PM,17.0756,54.322,,,,,
57,05/11/20 12:00:00 AM,17.0756,54.322,,,,,
58,05/11/20 12:30:00 AM,17.0750,54.147,,,,,
59,05/11/20 01:00:00 AM,17.0750,54.147,,,,,
60,05/11/20 01:30:00 AM,17.0720,53.973,,,,,
61,05/11/20 02:00:00 AM,17.0720,53.973,,,,,
62,05/11/20 02:30:00 AM,17.0663,53.798,,,,,
63,05/11/20 03:00:00 AM,17.0683,53.623,,,,,
64,05/11/20 03:30:00 AM,17.0657,53.623,,,,,
65,05/11/20 04:00:00 AM,17.0678,53.449,,,,,
66,05/11/20 04:30:00 AM,17.0672,53.274,,,,,
67,05/11/20 05:00:00 AM,17.0666,53.100,,,,,
68,05/11/20 05:30:00 AM,17.0666,53.100,,,,,
69,05/11/20 06:00:00 AM,17.0711,52.925,,,,,
70,05/11/20 06:30:00 AM,17.0736,52.925,,,,,
71,05/11/20 07:00:00 AM,17.0762,52.925,,,,,
72,05/11/20 07:30:00 AM,17.0780,52.750,,,,,
73,05/11/20 08:00:00 AM,17.0831,52.750,,,,,
74,05/11/20 08:30:00 AM,17.0857,52.750,,,,,
75,05/11/20 09:00:00 AM,17.0857,52.750,,,,,
76,05/11/20 09:30:00 AM,17.0857,52.750,,,,,
77,05/11/20 10:00:00 AM,17.0837,52.925,,,,,
78,05/11/20 10:30:00 AM,17.0818,53.100,,,,,
79,05/11/20 11:00:00 AM,17.0753,53.449,,,,,
