sample_id,pond_id,week,date,sample_type,tray_id,mass_tin,mass_dry_tin.sample,mass_ash_tin.sample
E20A173R1,A,5,6/21/2020,organic_matter,,0.7922,1.6669,1.6303
E20A173R2,A,5,6/21/2020,organic_matter,,0.8076,1.6991,1.6535
E20A173R3,A,5,6/21/2020,organic_matter,,0.8028,1.8253,1.7818
E20B173R1,B,5,6/21/2020,organic_matter,,0.8047,2.9451,2.8568
E20B173R2,B,5,6/21/2020,organic_matter,,0.7967,2.861,2.7727
E20B173R3,B,5,6/21/2020,organic_matter,,0.8161,3.1861,3.088
E20C173R1,C,5,6/21/2020,organic_matter,,0.8059,2.3771,NA
E20C173R2,C,5,6/21/2020,organic_matter,,0.8048,2.4666,2.3861
E20C173R3,C,5,6/21/2020,organic_matter,,0.8005,2.5119,2.4333
E20D173R1,D,5,6/21/2020,organic_matter,,0.8042,2.6997,NA
E20D173R2,D,5,6/21/2020,organic_matter,,0.8039,2.2222,NA
E20D173R3,D,5,6/21/2020,organic_matter,,0.8019,1.8137,NA
E20E173R1,E,5,6/21/2020,organic_matter,,0.786,3.1793,3.1172
E20E173R2,E,5,6/21/2020,organic_matter,,0.8026,2.4222,2.3555
E20E173R3,E,5,6/21/2020,organic_matter,,0.8059,2.4061,2.3416
E20F173R1,F,5,6/21/2020,organic_matter,,0.7846,3.1625,3.072
E20F173R2,F,5,6/21/2020,organic_matter,,0.7897,2.6671,2.5762
E20F173R3,F,5,6/21/2020,organic_matter,,0.8004,2.6848,2.5949
E20A195R1,A,8,7/14/2020,organic_matter,A,0.7915,0.886,0.8802
E20A195R2,A,8,7/14/2020,organic_matter,B,0.8015,0.9243,0.9171
E20A195R3,A,8,7/14/2020,organic_matter,C,0.7946,0.9316,0.9222
E20B195R1,B,8,7/14/2020,organic_matter,E,0.7952,0.9179,0.9109
E20B195R2,B,8,7/14/2020,organic_matter,F,0.8032,0.9473,0.939
E20B195R3,B,8,7/14/2020,organic_matter,G,0.8057,0.8973,0.891
E20C195R1,C,8,7/14/2020,organic_matter,I,0.7883,0.8683,0.8603
E20C195R2,C,8,7/14/2020,organic_matter,J,0.7858,0.8599,0.8535
E20C195R3,C,8,7/14/2020,organic_matter,K,0.7933,0.8534,0.8486
E20D195R1,D,8,7/14/2020,organic_matter,M,0.7973,0.896,0.8878
E20D195R2,D,8,7/14/2020,organic_matter,N,0.8072,0.9598,0.9497
E20D195R3,D,8,7/14/2020,organic_matter,O,0.7976,0.9368,0.9276
E20E195R1,E,8,7/14/2020,organic_matter,Q,0.7956,0.8735,0.8667
E20E195R2,E,8,7/14/2020,organic_matter,R,0.7962,0.8889,0.8808
E20E195R3,E,8,7/14/2020,organic_matter,S,0.8023,0.8997,0.8916
E20F195R1,F,8,7/14/2020,organic_matter,U,0.8055,0.9304,0.9226
E20F195R2,F,8,7/14/2020,organic_matter,V,0.8173,0.9443,0.9363
E20F195R3,F,8,7/14/2020,organic_matter,W,0.8001,0.9373,0.9286
E20A216R1,A,11,8/3/2020,organic_matter,A1,0.8034,0.9299,0.9247
E20A216R2,A,11,8/3/2020,organic_matter,A2,0.8135,0.9727,NA
E20A216R3,A,11,8/3/2020,organic_matter,A3,0.7737,0.9469,0.9386
E20B216R1,B,11,8/3/2020,organic_matter,B1,0.8007,0.9777,0.9659
E20B216R2,B,11,8/3/2020,organic_matter,B2,0.8191,0.9965,0.9849
E20B216R3,B,11,8/3/2020,organic_matter,B3,0.7839,1.0203,1.0059
E20C216R1,C,11,8/3/2020,organic_matter,C1,0.8037,0.9875,0.9779
E20C216R2,C,11,8/3/2020,organic_matter,C2,0.8076,1.0078,0.9967
E20C216R3,C,11,8/3/2020,organic_matter,C3,0.8046,1.0503,1.0361
E20D216R1,D,11,8/3/2020,organic_matter,D1,0.8129,1.0297,1.0138
E20D216R2,D,11,8/3/2020,organic_matter,D2,0.8101,1.0575,1.0415
E20D216R3,D,11,8/3/2020,organic_matter,D3,0.8084,1.078,1.0607
E20E216R1,E,11,8/3/2020,organic_matter,E1,0.7943,1.0439,1.028
E20E216R2,E,11,8/3/2020,organic_matter,E2,0.8146,1.0609,1.0454
E20E216R3,E,11,8/3/2020,organic_matter,E3,0.8139,1.0627,1.0465
E20F216R1,F,11,8/3/2020,organic_matter,F1,0.8139,1.0738,1.0593
E20F216R2,F,11,8/3/2020,organic_matter,F2,0.8226,1.0661,1.0519
E20F216R3,F,11,8/3/2020,organic_matter,F3,0.813,1.0785,1.064
