KorDSS MEASUREMENT DATA FILE EXPORT

FILE CREATED:,7/13/2020 6:55:57 PM


DATE,TIME,SITE,DATA ID,GPS Latitude (°),GPS Longitude (°),Barometer (mmHg),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Temp (°F),Sigma-T (s t),Sigma (s),Chlorophyll (RFU),Chlorophyll (µg/L),PC (RFU),PC (ug/L),ODO (% Sat),ODO (mg/L),ODO (% LocalB),pH,pH (mV),Pressure (psi a),Depth (m),Vertical Position (m)
7/13/2020,9:24:39 AM,Pond F,,89.99999 °,179.99998 °,733.4,284.6,280.3,0.13,279.8,182,78.4,-3.1,-3.1,0.35,1.65,-0.30,-0.31,84.3,6.86,87.3,16.24,-609.7,0.003,0.002,0.001
7/13/2020,9:24:39 AM,Pond F,,89.99999 °,179.99998 °,733.4,284.6,280.3,0.13,279.8,182,78.4,-3.1,-3.1,0.35,1.65,-0.30,-0.31,84.3,6.86,87.3,16.24,-609.7,0.003,0.002,0.001
7/13/2020,9:24:39 AM,Pond F,,89.99999 °,179.99998 °,733.4,284.5,280.2,0.13,279.8,182,78.4,-3.1,-3.1,0.35,1.66,-0.30,-0.31,84.2,6.85,87.3,16.24,-609.7,0.003,0.002,0.002
7/13/2020,9:24:39 AM,Pond F,,89.99999 °,179.99998 °,733.4,284.5,280.2,0.13,279.8,182,78.4,-3.1,-3.1,0.35,1.67,-0.30,-0.31,84.2,6.85,87.2,16.24,-609.7,0.003,0.002,0.002
7/13/2020,9:24:40 AM,Pond F,,89.99999 °,179.99998 °,733.4,284.5,280.2,0.13,279.8,182,78.4,-3.1,-3.1,0.35,1.66,-0.30,-0.31,84.1,6.85,87.2,16.24,-609.7,0.003,0.002,0.002
7/13/2020,9:24:40 AM,Pond F,,89.99999 °,179.99998 °,733.4,284.5,280.2,0.13,279.8,182,78.4,-3.1,-3.1,0.35,1.66,-0.30,-0.31,84.1,6.84,87.2,16.24,-609.7,0.003,0.002,0.001
7/13/2020,9:24:40 AM,Pond F,,89.99999 °,179.99998 °,733.4,284.5,280.2,0.13,279.8,182,78.4,-3.1,-3.1,0.35,1.65,-0.30,-0.30,84.1,6.84,87.1,16.24,-609.7,0.003,0.002,0.005
7/13/2020,9:24:40 AM,Pond F,,89.99999 °,179.99998 °,733.4,284.5,280.2,0.13,279.8,182,78.4,-3.1,-3.1,0.35,1.66,-0.30,-0.30,84.0,6.84,87.1,16.24,-609.7,0.005,0.004,0.017
7/13/2020,9:24:41 AM,Pond F,,89.99999 °,179.99998 °,733.4,284.5,280.2,0.13,279.8,182,78.4,-3.1,-3.1,0.35,1.66,-0.30,-0.31,84.0,6.83,87.0,16.24,-609.7,0.005,0.004,0.017
7/13/2020,9:24:41 AM,Pond F,,89.99999 °,179.99998 °,733.4,284.5,280.2,0.13,279.8,182,78.4,-3.1,-3.1,0.35,1.67,-0.30,-0.30,84.0,6.83,87.0,16.24,-609.7,0.008,0.006,0.031
7/13/2020,9:24:41 AM,Pond F,,89.99999 °,179.99998 °,733.4,284.5,280.2,0.13,279.8,182,78.4,-3.1,-3.1,0.35,1.68,-0.29,-0.30,83.9,6.83,87.0,16.24,-609.7,0.008,0.006,0.031
7/13/2020,9:24:41 AM,Pond F,,89.99999 °,179.99998 °,733.4,284.5,280.2,0.13,279.8,182,78.4,-3.1,-3.1,0.36,1.69,-0.29,-0.30,83.9,6.83,86.9,16.24,-609.7,0.013,0.009,0.042
7/13/2020,9:24:42 AM,Pond F,,89.99999 °,179.99998 °,733.4,284.6,280.3,0.13,279.8,182,78.4,-3.1,-3.1,0.36,1.69,-0.29,-0.30,83.9,6.82,86.9,16.24,-609.7,0.016,0.011,0.051
7/13/2020,9:24:42 AM,Pond F,,89.99999 °,179.99998 °,733.4,284.6,280.3,0.13,279.8,182,78.4,-3.1,-3.1,0.36,1.70,-0.29,-0.30,83.8,6.82,86.9,16.24,-609.7,0.018,0.013,0.057
7/13/2020,9:24:42 AM,Pond F,,89.99999 °,179.99998 °,733.4,284.6,280.3,0.13,279.8,182,78.4,-3.1,-3.1,0.36,1.72,-0.29,-0.30,83.8,6.82,86.8,16.24,-609.7,0.021,0.015,0.068
7/13/2020,9:24:42 AM,Pond F,,89.99999 °,179.99998 °,733.4,284.6,280.3,0.13,279.9,182,78.4,-3.1,-3.1,0.36,1.70,-0.29,-0.30,83.7,6.81,86.8,16.24,-609.7,0.029,0.020,0.089
7/13/2020,9:24:43 AM,Pond F,,89.99999 °,179.99998 °,733.4,284.6,280.3,0.13,279.9,182,78.4,-3.1,-3.1,0.36,1.70,-0.29,-0.30,83.7,6.81,86.8,16.24,-609.7,0.033,0.023,0.096
7/13/2020,9:24:43 AM,Pond F,,89.99999 °,179.99998 °,733.4,284.6,280.3,0.13,279.9,182,78.4,-3.1,-3.1,0.36,1.69,-0.29,-0.30,83.7,6.81,86.7,16.24,-609.7,0.037,0.026,0.105
7/13/2020,9:24:43 AM,Pond F,,89.99999 °,179.99998 °,733.4,284.7,280.4,0.13,279.9,182,78.4,-3.1,-3.1,0.36,1.69,-0.29,-0.30,83.6,6.81,86.7,16.24,-609.7,0.046,0.032,0.119
7/13/2020,9:24:43 AM,Pond F,,89.99999 °,179.99998 °,733.4,284.7,280.4,0.13,279.9,182,78.4,-3.1,-3.1,0.35,1.68,-0.29,-0.30,83.6,6.80,86.6,16.24,-609.7,0.050,0.036,0.127
