MiniDOT Logger Concatenated Data File,,,,,,,
Sensor:             7450-200037,,,,,,,
Concatenation Date: 2020Aug28 16:17:11 CDT,,,,,,,
,,,,,,,
DO concentration compensated for salinity: 0.0 (ppt),,,,,,,
Saturation computed at pressure: 1013.0 (mbar),,,,,,,
,,,,,,,
            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
1594404660,           2020-07-10 18:11:00,           2020-07-10 13:11:00,3.11,26.209,9.258,114.573629,0.978
1594406460,           2020-07-10 18:41:00,           2020-07-10 13:41:00,3.11,26.294,10.113,125.347562,0.979
1594408260,           2020-07-10 19:11:00,           2020-07-10 14:11:00,3.11,26.395,10.691,132.753938,0.979
1594410060,           2020-07-10 19:41:00,           2020-07-10 14:41:00,3.11,26.548,11.073,137.877657,0.973
1594411860,           2020-07-10 20:11:00,           2020-07-10 15:11:00,3.11,26.7,11.252,140.490687,0.979
1594413660,           2020-07-10 20:41:00,           2020-07-10 15:41:00,3.11,26.836,11.354,142.111322,0.974
1594415460,           2020-07-10 21:11:00,           2020-07-10 16:11:00,3.11,26.955,12.194,152.951459,0.976
1594417260,           2020-07-10 21:41:00,           2020-07-10 16:41:00,3.11,27.082,11.074,139.219586,0.975
1594419060,           2020-07-10 22:11:00,           2020-07-10 17:11:00,3.11,27.167,12.327,155.207892,0.978
1594420860,           2020-07-10 22:41:00,           2020-07-10 17:41:00,3.1,27.261,12.594,158.8363,0.978
1594422660,           2020-07-10 23:11:00,           2020-07-10 18:11:00,3.1,27.303,12.471,157.403027,0.979
1594424460,           2020-07-10 23:41:00,           2020-07-10 18:41:00,3.1,27.346,12.503,157.928071,0.978
1594426260,           2020-07-11 00:11:00,           2020-07-10 19:11:00,3.1,27.405,12.436,157.247164,0.978
1594428060,           2020-07-11 00:41:00,           2020-07-10 19:41:00,3.1,27.414,12.445,157.386215,0.979
1594429860,           2020-07-11 01:11:00,           2020-07-10 20:11:00,3.1,27.465,11.73,148.478822,0.98
1594431660,           2020-07-11 01:41:00,           2020-07-10 20:41:00,3.1,27.456,11.793,149.252345,0.978
1594433460,           2020-07-11 02:11:00,           2020-07-10 21:11:00,3.1,27.49,11.053,139.971643,0.979
1594435260,           2020-07-11 02:41:00,           2020-07-10 21:41:00,3.1,27.499,7.745,98.095914,0.978
1594437060,           2020-07-11 03:11:00,           2020-07-10 22:11:00,3.1,27.507,7.76,98.299901,0.978
1594438860,           2020-07-11 03:41:00,           2020-07-10 22:41:00,3.1,27.507,7.754,98.223896,0.978
1594440660,           2020-07-11 04:11:00,           2020-07-10 23:11:00,3.1,27.524,7.674,97.23992,0.978
1594442460,           2020-07-11 04:41:00,           2020-07-10 23:41:00,3.1,27.559,7.121,90.288887,0.978
1594444260,           2020-07-11 05:11:00,           2020-07-11 00:11:00,3.1,27.533,7.166,90.817423,0.977
1594446060,           2020-07-11 05:41:00,           2020-07-11 00:41:00,3.1,27.524,7.245,91.803912,0.978
1594447860,           2020-07-11 06:11:00,           2020-07-11 01:11:00,3.1,27.482,7.294,92.355714,0.978
1594449660,           2020-07-11 06:41:00,           2020-07-11 01:41:00,3.1,27.431,7.493,94.789258,0.978
1594451460,           2020-07-11 07:11:00,           2020-07-11 02:11:00,3.1,27.337,7.724,97.547832,0.978
1594453260,           2020-07-11 07:41:00,           2020-07-11 02:41:00,3.1,27.252,7.997,100.84244,0.978
1594455060,           2020-07-11 08:11:00,           2020-07-11 03:11:00,3.1,27.15,8.226,103.541166,0.979
1594456860,           2020-07-11 08:41:00,           2020-07-11 03:41:00,3.1,27.065,8.353,104.979885,0.978
1594458660,           2020-07-11 09:11:00,           2020-07-11 04:11:00,3.1,26.98,8.371,105.045988,0.978
1594460460,           2020-07-11 09:41:00,           2020-07-11 04:41:00,3.11,26.879,8.218,102.93932,0.978
1594462260,           2020-07-11 10:11:00,           2020-07-11 05:11:00,3.11,26.751,8.238,102.952778,0.979
1594464060,           2020-07-11 10:41:00,           2020-07-11 05:41:00,3.11,26.616,8.148,101.580872,0.979
1594465860,           2020-07-11 11:11:00,           2020-07-11 06:11:00,3.1,26.497,8.057,100.231077,0.978
1594467660,           2020-07-11 11:41:00,           2020-07-11 06:41:00,3.1,26.345,7.976,98.951343,0.979
1594469460,           2020-07-11 12:11:00,           2020-07-11 07:11:00,3.1,26.235,7.862,97.343076,0.979
1594471260,           2020-07-11 12:41:00,           2020-07-11 07:41:00,3.1,26.15,7.769,96.043552,0.978
1594473060,           2020-07-11 13:11:00,           2020-07-11 08:11:00,3.1,26.167,7.665,94.787071,0.977
1594474860,           2020-07-11 13:41:00,           2020-07-11 08:41:00,3.1,26.201,7.589,93.905082,0.979
1594476660,           2020-07-11 14:11:00,           2020-07-11 09:11:00,3.1,26.252,7.517,93.100126,0.978
1594478460,           2020-07-11 14:41:00,           2020-07-11 09:41:00,3.1,26.294,7.427,92.055408,0.978
1594480260,           2020-07-11 15:11:00,           2020-07-11 10:11:00,3.1,26.37,7.468,92.690913,0.978
1594482060,           2020-07-11 15:41:00,           2020-07-11 10:41:00,3.1,26.472,7.569,94.117759,0.978
1594483860,           2020-07-11 16:11:00,           2020-07-11 11:11:00,3.11,26.607,7.758,96.70307,0.978
1594485660,           2020-07-11 16:41:00,           2020-07-11 11:41:00,3.11,26.734,6.237,77.921846,0.977
1594487460,           2020-07-11 17:11:00,           2020-07-11 12:11:00,3.11,26.87,6.897,86.37841,0.977
1594489260,           2020-07-11 17:41:00,           2020-07-11 12:41:00,3.1,26.989,7.254,91.04367,0.977
1594491060,           2020-07-11 18:11:00,           2020-07-11 13:11:00,3.1,27.15,7.717,97.134352,0.978
1594492860,           2020-07-11 18:41:00,           2020-07-11 13:41:00,3.1,27.269,8.219,103.673345,0.977
1594494660,           2020-07-11 19:11:00,           2020-07-11 14:11:00,3.1,27.431,8.82,111.576305,0.977
1594496460,           2020-07-11 19:41:00,           2020-07-11 14:41:00,3.11,27.584,8.578,108.810927,0.978
1594498260,           2020-07-11 20:11:00,           2020-07-11 15:11:00,3.11,27.72,9.32,118.509189,0.979
1594500060,           2020-07-11 20:41:00,           2020-07-11 15:41:00,3.11,27.763,9.719,123.677068,0.978
1594501860,           2020-07-11 21:11:00,           2020-07-11 16:11:00,3.11,27.797,9.571,121.867217,0.978
1594503660,           2020-07-11 21:41:00,           2020-07-11 16:41:00,3.11,27.814,9.723,123.839961,0.979
1594505460,           2020-07-11 22:11:00,           2020-07-11 17:11:00,3.11,27.831,9.856,125.571804,0.979
1594507260,           2020-07-11 22:41:00,           2020-07-11 17:41:00,3.1,28.301,10.563,135.702192,0.98
1594509060,           2020-07-11 23:11:00,           2020-07-11 18:11:00,3.1,28.138,11.042,141.448533,0.978
1594510860,           2020-07-11 23:41:00,           2020-07-11 18:41:00,3.1,28.01,11.172,142.790427,0.979
1594512660,           2020-07-12 00:11:00,           2020-07-11 19:11:00,3.1,28.027,10.251,131.058437,0.978
1594514460,           2020-07-12 00:41:00,           2020-07-11 19:41:00,3.1,28.07,10.296,131.733874,0.979
1594516260,           2020-07-12 01:11:00,           2020-07-11 20:11:00,3.1,28.036,10.366,132.5498,0.978
1594518060,           2020-07-12 01:41:00,           2020-07-11 20:41:00,3.1,27.968,10.402,132.850217,0.979
1594519860,           2020-07-12 02:11:00,           2020-07-11 21:11:00,3.1,27.891,10.329,131.738144,0.979
1594521660,           2020-07-12 02:41:00,           2020-07-11 21:41:00,3.11,27.823,10.357,131.936151,0.979
1594523460,           2020-07-12 03:11:00,           2020-07-11 22:11:00,3.11,27.678,10.34,131.38104,0.979
1594525260,           2020-07-12 03:41:00,           2020-07-11 22:41:00,3.1,27.559,10.315,130.786389,0.98
1594527060,           2020-07-12 04:11:00,           2020-07-11 23:11:00,3.1,27.405,10.18,128.721143,0.979
1594528860,           2020-07-12 04:41:00,           2020-07-11 23:41:00,3.1,27.235,9.956,125.50737,0.979
1594530660,           2020-07-12 05:11:00,           2020-07-12 00:11:00,3.1,27.048,9.884,124.183562,0.98
1594532460,           2020-07-12 05:41:00,           2020-07-12 00:41:00,3.1,26.87,9.66,120.982375,0.979
1594534260,           2020-07-12 06:11:00,           2020-07-12 01:11:00,3.11,26.675,9.498,118.537169,0.979
1594536060,           2020-07-12 06:41:00,           2020-07-12 01:41:00,3.1,26.472,9.388,116.736361,0.978
1594537860,           2020-07-12 07:11:00,           2020-07-12 02:11:00,3.1,26.302,9.196,113.998127,0.979
1594539660,           2020-07-12 07:41:00,           2020-07-12 02:41:00,3.1,26.125,9,111.211247,0.978
1594541460,           2020-07-12 08:11:00,           2020-07-12 03:11:00,3.1,25.972,8.788,108.290359,0.979
1594543260,           2020-07-12 08:41:00,           2020-07-12 03:41:00,3.1,25.854,8.625,106.0539,0.979
