DATE,TIME,SITE,DATA ID,GPS Latitude (°),GPS Longitude (°),Barometer (mmHg),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Temp (°F),Sigma-T (s t),Sigma (s),Chlorophyll (RFU),Chlorophyll (µg/L),PC (RFU),PC (ug/L),ODO (% Sat),ODO (mg/L),pH,pH (mV),Pressure (psi a),Depth (m),Vertical Position (m)
5/21/2020,12:44:11 PM,Pond E,,89.99999 °,179.99998 °,734.9,338.1,398.4,0.19,403.5,259,62.7,-1.1,-1.1,2.29,8.22,0.21,0.36,122.2,11.78,8.39,-121.9,-0.05,-0.035,0
5/21/2020,12:44:11 PM,Pond E,,89.99999 °,179.99998 °,734.9,338.1,398.4,0.19,403.6,259,62.7,-1.1,-1.1,2.29,8.24,0.21,0.36,122.4,11.79,8.4,-121.9,-0.05,-0.035,-0.002
5/21/2020,12:44:11 PM,Pond E,,89.99999 °,179.99998 °,734.9,338.1,398.4,0.19,403.6,259,62.7,-1.1,-1.1,2.29,8.22,0.21,0.35,122.4,11.8,8.4,-122,-0.05,-0.035,-0.003
5/21/2020,12:44:11 PM,Pond E,,89.99999 °,179.99998 °,734.9,338.1,398.5,0.19,403.6,259,62.7,-1.1,-1.1,2.29,8.22,0.21,0.35,122.5,11.81,8.4,-122,-0.05,-0.035,-0.005
5/21/2020,12:44:12 PM,Pond E,,89.99999 °,179.99998 °,734.9,338.2,398.5,0.19,403.6,259,62.7,-1.1,-1.1,2.29,8.22,0.2,0.35,122.6,11.81,8.4,-122,-0.05,-0.035,-0.006
5/21/2020,12:44:12 PM,Pond E,,89.99999 °,179.99998 °,734.9,338.2,398.5,0.19,403.7,259,62.7,-1.1,-1.1,2.29,8.22,0.2,0.35,122.6,11.82,8.4,-122.1,-0.049,-0.035,-0.007
5/21/2020,12:44:12 PM,Pond E,,89.99999 °,179.99998 °,734.9,338.2,398.5,0.19,403.7,259,62.7,-1.1,-1.1,2.29,8.24,0.19,0.35,122.7,11.83,8.4,-122.1,-0.049,-0.035,-0.004
5/21/2020,12:44:12 PM,Pond E,,89.99999 °,179.99998 °,734.9,338.2,398.5,0.19,403.7,259,62.7,-1.1,-1.1,2.3,8.27,0.18,0.34,122.8,11.84,8.4,-122.1,-0.048,-0.034,0.002
5/21/2020,12:44:13 PM,Pond E,,89.99999 °,179.99998 °,734.9,338.2,398.5,0.19,403.7,259,62.7,-1.1,-1.1,2.31,8.31,0.18,0.34,122.9,11.84,8.4,-122.2,-0.048,-0.034,0
5/21/2020,12:44:13 PM,Pond E,,89.99999 °,179.99998 °,734.9,338.2,398.5,0.19,403.7,259,62.7,-1.1,-1.1,2.31,8.29,0.18,0.34,122.9,11.85,8.4,-122.2,-0.048,-0.034,-0.001
5/21/2020,12:44:13 PM,Pond E,,89.99999 °,179.99998 °,734.9,338.2,398.6,0.19,403.7,259,62.7,-1.1,-1.1,2.31,8.29,0.18,0.34,123,11.86,8.4,-122.2,-0.047,-0.033,0.011
5/21/2020,12:44:13 PM,Pond E,,89.99999 °,179.99998 °,734.9,338.2,398.6,0.19,403.7,259,62.7,-1.1,-1.1,2.3,8.28,0.18,0.34,123.1,11.86,8.4,-122.3,-0.047,-0.033,0.024
5/21/2020,12:44:14 PM,Pond E,,89.99999 °,179.99998 °,734.9,338.2,398.6,0.19,403.7,259,62.7,-1.1,-1.1,2.3,8.27,0.18,0.34,123.1,11.87,8.4,-122.3,-0.046,-0.032,0.044
5/21/2020,12:44:14 PM,Pond E,,89.99999 °,179.99998 °,734.9,338.2,398.6,0.19,403.7,259,62.7,-1.1,-1.1,2.32,8.33,0.18,0.34,123.2,11.88,8.4,-122.3,-0.044,-0.031,0.084
5/21/2020,12:44:14 PM,Pond E,,89.99999 °,179.99998 °,734.9,338.2,398.5,0.19,403.7,259,62.7,-1.1,-1.1,2.33,8.37,0.17,0.33,123.3,11.88,8.4,-122.3,-0.043,-0.03,0.099
5/21/2020,12:44:14 PM,Pond E,,89.99999 °,179.99998 °,734.9,338.2,398.5,0.19,403.7,259,62.7,-1.1,-1.1,2.33,8.39,0.17,0.33,123.3,11.89,8.4,-122.4,-0.042,-0.029,0.112
5/21/2020,12:44:15 PM,Pond E,,89.99999 °,179.99998 °,734.9,338.1,398.5,0.19,403.7,259,62.7,-1.1,-1.1,2.34,8.41,0.17,0.33,123.4,11.89,8.4,-122.4,-0.039,-0.028,0.137
