sample_id,ch4_ppm,co2_ppm,n2o_ppm,data_flag,notes_gc
E20A146R1,2173.161406,2479.50659,0,,
E20A146R2,1543.855512,2557.862203,0,,
E20A146R3,1679.846477,2247.826988,0,,
E20B146R1,1788.793162,2939.010161,0,,
E20B146R2,2037.804666,3261.204279,0,,
E20B146R3,1943.734894,3658.168817,0,,
E20C146R1,686.8288614,2866.658408,0,,
E20C146R2,443.0582863,2172.515221,0,,
E20C146R3,838.2903749,2141.131059,0,,
E20D146R1,862.7544005,2737.018241,0,,
E20D146R2,1008.381263,2385.778901,0,,
E20D146R3,928.6417351,2139.364402,0,,
E20E146R1,670.1648264,2641.639777,0,,
E20E146R2,600.8759426,3065.610117,0,,
E20E146R3,1558.368955,3003.981279,0,,
E20F146R1,359.402302,2368.940851,0,,
E20F146R2,826.7991177,2137.688585,0,,
E20F146R3,440.8440529,3004.605624,0,,
E20A153R1,2066.124841,3175.005067,0,,
E20A153R2,2182.658369,3608.99157,0,,
E20A153R3,2377.776238,3458.192932,0,,
E20B153R1,2305.067675,5079.257669,0,,
E20B153R2,1958.819687,4943.88755,0,,
E20B153R3,2088.378507,4760.800521,0,,
E20C153R1,1399.255407,2575.936993,0,,
E20C153R2,1437.377786,2639.883897,0,,
E20C153R3,1446.214405,2634.354831,0,,
E20D153R1,1974.259019,2439.914895,0,,
E20D153R2,2208.813832,2594.088932,0,,
E20D153R3,2712.488826,3081.453923,0,,
E20E153R1,1559.343567,2582.274557,0,,
E20E153R2,2022.942749,2665.383148,0,,
E20E153R3,1709.029159,3106.925663,0,,
E20F153R1,476.8669738,1906.072163,0,,
E20F153R2,981.4335561,3605.382653,0,,
E20F153R3,502.7614452,2007.431049,0,,
E20A160R1,22.07059382,369.2418871,0,,
E20A160R2,24.74117233,342.6850701,0,,
E20A160R3,36.3614636,387.0575462,0,,
E20B160R1,19.7711555,379.7872398,0,,
E20B160R2,53.00595659,544.7623408,0,,
E20B160R3,26.51454378,480.6155569,0,,
E20C160R1,17.41384982,352.2343568,0,,
E20C160R2,20.30826978,348.4859322,0,,
E20C160R3,13.32972961,303.5620816,0,,
E20D160R1,54.4376476,524.296665,0,,
E20D160R2,24.95949008,363.5722125,0,,
E20D160R3,11.34908781,420.4196329,0.099486329,,
E20E160R1,83.52835686,542.3810582,0,,
E20E160R2,73.93684251,532.437539,0,,
E20E160R3,98.26769866,592.8319637,0,,
E20F160R1,25.58051203,370.3959081,-0.10781841,,
E20F160R2,21.70550341,335.4091165,0,,
E20F160R3,29.87295473,417.7823303,0,,
E20A167R1,85.90116572,605.4497161,0,,
E20A167R2,91.65495936,684.4309768,0,,
E20A167R3,74.11643954,577.4964034,0,,
E20B167R1,48.5055904,512.5105557,0,,
E20B167R2,40.5768359,436.2290308,0,,
E20B167R3,75.19232861,669.2461136,0,,
E20C167R1,76.55325979,557.2740949,0,,
E20C167R2,42.5144373,428.6192972,0,,
E20C167R3,62.59093834,532.3075244,0,,
E20D167R1,46.49282357,478.8246977,0,,
E20D167R2,96.09712248,541.4397643,0,,
E20D167R3,53.02980592,476.3656785,0,,
E20E167R1,105.0620894,579.9762763,0,,
E20E167R2,117.7139668,570.5420878,0,,
E20E167R3,105.4844387,568.6437996,0,,
E20F167R1,82.45723065,606.8325451,0,,
E20F167R2,57.01251809,500.812022,0,,
E20F167R3,81.55515328,529.4281714,0,,
E20A174R1,25.32689064,356.9133643,0,,
E20A174R2,17.61804042,318.0176908,0,,
E20A174R3,11.91018612,432.3285403,0,,
E20B174R1,16.23407835,319.3262968,0,,
E20B174R2,12.67711431,267.9231632,0,,
E20B174R3,22.65718919,319.6577585,0,,
E20C174R1,15.31166974,287.8041151,0,,
E20C174R2,15.1494394,304.6931204,0,,
E20C174R3,15.2579033,332.8261432,0,,
E20D174R1,15.16061165,249.663009,0,,
