MiniDOT Logger Concatenated Data File
Sensor:             7450-396810
Concatenation Date: 2020May29 10:23:50 CDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at pressure: 1013.0 (mbar)

            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1589052060,           2020-05-09 19:21:00,           2020-05-09 14:21:00,      3.180000,     16.111000,         13.403000,                   136.145828,      1.003000
                1589053860,           2020-05-09 19:51:00,           2020-05-09 14:51:00,      3.170000,     16.323000,         13.155000,                   134.227020,      1.003000
                1589055660,           2020-05-09 20:21:00,           2020-05-09 15:21:00,      3.170000,     16.519000,         13.281000,                   136.073495,      1.004000
                1589057460,           2020-05-09 20:51:00,           2020-05-09 15:51:00,      3.180000,     16.782000,         13.119000,                   135.157773,      1.002000
                1589059260,           2020-05-09 21:21:00,           2020-05-09 16:21:00,      3.180000,     16.816000,         13.216000,                   136.254075,      1.003000
                1589061060,           2020-05-09 21:51:00,           2020-05-09 16:51:00,      3.180000,     16.900000,         13.510000,                   139.530101,      1.003000
                1589062860,           2020-05-09 22:21:00,           2020-05-09 17:21:00,      3.180000,     16.926000,         13.812000,                   142.726662,      1.003000
                1589064660,           2020-05-09 22:51:00,           2020-05-09 17:51:00,      3.180000,     16.917000,         13.811000,                   142.689492,      1.002000
                1589066460,           2020-05-09 23:21:00,           2020-05-09 18:21:00,      3.180000,     16.773000,         14.032000,                   144.536656,      1.003000
                1589068260,           2020-05-09 23:51:00,           2020-05-09 18:51:00,      3.170000,     16.621000,         14.072000,                   144.487304,      1.003000
                1589070060,           2020-05-10 00:21:00,           2020-05-09 19:21:00,      3.170000,     16.434000,         13.947000,                   142.641674,      1.004000
                1589071860,           2020-05-10 00:51:00,           2020-05-09 19:51:00,      3.180000,     16.272000,         13.927000,                   141.951172,      1.003000
                1589073660,           2020-05-10 01:21:00,           2020-05-09 20:21:00,      3.180000,     16.119000,         13.808000,                   140.283531,      1.004000
                1589075460,           2020-05-10 01:51:00,           2020-05-09 20:51:00,      3.180000,     16.051000,         13.610000,                   138.072823,      1.003000
                1589077260,           2020-05-10 02:21:00,           2020-05-09 21:21:00,      3.180000,     15.966000,         13.598000,                   137.702495,      1.004000
                1589079060,           2020-05-10 02:51:00,           2020-05-09 21:51:00,      3.180000,     15.880000,         13.529000,                   136.753610,      1.004000
                1589080860,           2020-05-10 03:21:00,           2020-05-09 22:21:00,      3.180000,     15.787000,         13.619000,                   137.391147,      1.003000
                1589082660,           2020-05-10 03:51:00,           2020-05-09 22:51:00,      3.170000,     15.599000,         13.559000,                   136.238357,      1.003000
                1589084460,           2020-05-10 04:21:00,           2020-05-09 23:21:00,      3.170000,     15.487000,         13.369000,                   134.007883,      1.003000
                1589086260,           2020-05-10 04:51:00,           2020-05-09 23:51:00,      3.180000,     15.385000,         13.242000,                   132.445085,      1.004000
