MiniDOT Logger Concatenated Data File,,,,,,,
Sensor:             7450-192908,,,,,,,
Concatenation Date: 2020Aug28 16:42:51 CDT,,,,,,,
,,,,,,,
DO concentration compensated for salinity: 0.0 (ppt),,,,,,,
Saturation computed at pressure: 1013.0 (mbar),,,,,,,
,,,,,,,
            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
1594405920,           2020-07-10 18:32:00,           2020-07-10 13:32:00,3.12,26.987,3.879,48.682897,0.936
1594407720,           2020-07-10 19:02:00,           2020-07-10 14:02:00,3.12,27.072,2.975,37.394267,0.924
1594409520,           2020-07-10 19:32:00,           2020-07-10 14:32:00,3.11,27.208,3.695,46.557454,0.933
1594411320,           2020-07-10 20:02:00,           2020-07-10 15:02:00,3.11,27.335,4.061,51.285293,0.941
1594413120,           2020-07-10 20:32:00,           2020-07-10 15:32:00,3.11,27.497,4.425,56.043765,0.943
1594414920,           2020-07-10 21:02:00,           2020-07-10 16:02:00,3.12,27.633,4.575,58.083926,0.945
1594416720,           2020-07-10 21:32:00,           2020-07-10 16:32:00,3.12,27.752,5.022,63.893919,0.945
1594418520,           2020-07-10 22:02:00,           2020-07-10 17:02:00,3.11,27.845,4.978,63.438678,0.946
1594420320,           2020-07-10 22:32:00,           2020-07-10 17:32:00,3.11,27.905,5.43,69.27249,0.947
1594422120,           2020-07-10 23:02:00,           2020-07-10 18:02:00,3.11,27.964,5.117,65.347667,0.946
1594423920,           2020-07-10 23:32:00,           2020-07-10 18:32:00,3.11,27.998,5.248,67.060965,0.947
1594425720,           2020-07-11 00:02:00,           2020-07-10 19:02:00,3.11,28.041,4.831,61.779346,0.946
1594427520,           2020-07-11 00:32:00,           2020-07-10 19:32:00,3.11,28.058,5.098,65.213369,0.946
1594429320,           2020-07-11 01:02:00,           2020-07-10 20:02:00,3.11,28.075,5.297,67.779332,0.947
1594431120,           2020-07-11 01:32:00,           2020-07-10 20:32:00,3.11,28.067,5.289,67.667397,0.947
1594432920,           2020-07-11 02:02:00,           2020-07-10 21:02:00,3.11,28.05,5.48,70.089981,0.947
1594434720,           2020-07-11 02:32:00,           2020-07-10 21:32:00,3.11,28.05,5.345,68.363311,0.946
1594436520,           2020-07-11 03:02:00,           2020-07-10 22:02:00,3.11,28.084,5.402,69.133886,0.946
1594438320,           2020-07-11 03:32:00,           2020-07-10 22:32:00,3.11,28.075,5.063,64.785116,0.946
1594440120,           2020-07-11 04:02:00,           2020-07-10 23:02:00,3.11,28.092,4.636,59.339136,0.946
1594441920,           2020-07-11 04:32:00,           2020-07-10 23:32:00,3.11,28.092,4.824,61.745468,0.946
1594443720,           2020-07-11 05:02:00,           2020-07-11 00:02:00,3.11,28.135,4.766,61.049447,0.946
1594445520,           2020-07-11 05:32:00,           2020-07-11 00:32:00,3.11,28.118,5.077,65.013635,0.947
1594447320,           2020-07-11 06:02:00,           2020-07-11 01:02:00,3.11,28.126,4.99,63.908585,0.946
1594449120,           2020-07-11 06:32:00,           2020-07-11 01:32:00,3.11,28.101,4.741,60.692749,0.946
1594450920,           2020-07-11 07:02:00,           2020-07-11 02:02:00,3.11,28.007,4.504,57.563011,0.947
1594452720,           2020-07-11 07:32:00,           2020-07-11 02:32:00,3.11,27.871,4.574,58.317047,0.947
1594454520,           2020-07-11 08:02:00,           2020-07-11 03:02:00,3.11,27.718,4.183,53.187375,0.946
1594456320,           2020-07-11 08:32:00,           2020-07-11 03:32:00,3.11,27.582,3.991,50.623567,0.946
1594458120,           2020-07-11 09:02:00,           2020-07-11 04:02:00,3.11,27.48,3.879,49.113662,0.946
1594459920,           2020-07-11 09:32:00,           2020-07-11 04:32:00,3.11,27.378,3.416,43.172865,0.946
1594461720,           2020-07-11 10:02:00,           2020-07-11 05:02:00,3.11,27.276,3.447,43.485424,0.946
1594463520,           2020-07-11 10:32:00,           2020-07-11 05:32:00,3.11,27.148,3.404,42.844824,0.946
1594465320,           2020-07-11 11:02:00,           2020-07-11 06:02:00,3.11,27.055,3.115,39.142078,0.946
1594467120,           2020-07-11 11:32:00,           2020-07-11 06:32:00,3.11,26.945,2.706,33.93574,0.946
1594468920,           2020-07-11 12:02:00,           2020-07-11 07:02:00,3.11,26.852,2.121,26.554937,0.937
1594470720,           2020-07-11 12:32:00,           2020-07-11 07:32:00,3.11,26.767,2.605,32.564841,0.946
1594472520,           2020-07-11 13:02:00,           2020-07-11 08:02:00,3.11,26.793,2.67,33.393004,0.946
1594474320,           2020-07-11 13:32:00,           2020-07-11 08:32:00,3.11,26.818,3.013,37.69975,0.946
1594476120,           2020-07-11 14:02:00,           2020-07-11 09:02:00,3.11,26.86,2.771,34.697926,0.941
1594477920,           2020-07-11 14:32:00,           2020-07-11 09:32:00,3.11,26.92,2.911,36.49026,0.94
1594479720,           2020-07-11 15:02:00,           2020-07-11 10:02:00,3.11,27.004,2.133,26.778104,0.924
1594481520,           2020-07-11 15:32:00,           2020-07-11 10:32:00,3.11,27.098,2.682,33.7271,0.939
1594483320,           2020-07-11 16:02:00,           2020-07-11 11:02:00,3.11,27.165,2.122,26.716911,0.931
1594485120,           2020-07-11 16:32:00,           2020-07-11 11:32:00,3.11,27.335,2.278,28.768259,0.94
1594486920,           2020-07-11 17:02:00,           2020-07-11 12:02:00,3.11,27.454,3.535,44.737407,0.946
1594488720,           2020-07-11 17:32:00,           2020-07-11 12:32:00,3.11,27.573,3.623,45.94834,0.946
1594490520,           2020-07-11 18:02:00,           2020-07-11 13:02:00,3.11,27.709,3.491,44.381414,0.941
1594492320,           2020-07-11 18:32:00,           2020-07-11 13:32:00,3.11,27.837,3.553,45.27233,0.944
1594494120,           2020-07-11 19:02:00,           2020-07-11 14:02:00,3.11,27.998,3.906,49.912372,0.945
1594495920,           2020-07-11 19:32:00,           2020-07-11 14:32:00,3.11,28.169,4.162,53.344604,0.945
1594497720,           2020-07-11 20:02:00,           2020-07-11 15:02:00,3.11,28.322,4.431,56.945845,0.946
1594499520,           2020-07-11 20:32:00,           2020-07-11 15:32:00,3.11,28.374,0.988,12.709106,0.934
1594501320,           2020-07-11 21:02:00,           2020-07-11 16:02:00,3.11,28.408,1.401,18.032508,0.94
1594503120,           2020-07-11 21:32:00,           2020-07-11 16:32:00,3.11,28.408,1.672,21.520595,0.944
1594504920,           2020-07-11 22:02:00,           2020-07-11 17:02:00,3.11,28.442,2.11,27.17442,0.943
1594506720,           2020-07-11 22:32:00,           2020-07-11 17:32:00,3.11,28.442,2.652,34.154768,0.938
1594508520,           2020-07-11 23:02:00,           2020-07-11 18:02:00,3.11,28.672,4.917,63.581791,0.946
1594510320,           2020-07-11 23:32:00,           2020-07-11 18:32:00,3.11,28.476,2.664,34.329838,0.906
1594512120,           2020-07-12 00:02:00,           2020-07-11 19:02:00,3.11,28.561,3.449,44.512248,0.928
1594513920,           2020-07-12 00:32:00,           2020-07-11 19:32:00,3.11,28.578,4.182,53.988348,0.937
1594515720,           2020-07-12 01:02:00,           2020-07-11 20:02:00,3.11,28.544,4.385,56.575217,0.943
