sample_id,ch4_ppm,co2_ppm,n2o_ppm,data_flag,notes_gc
E20A152P1,2.812918914,411.9054981,0.272103929,,
E20B152P1,3.666878993,498.3076636,0.268919574,,
E20B152P2,3.183590961,412.6985643,0.263905658,,
E20B152P3,2.891643359,418.5689971,0.263254499,,
E20C152P1,2.835869092,419.0956079,0.261953613,,
E20D152P1,2.870828082,420.026266,0.264348713,,
E20E152P1,7.124616724,417.4769043,0.2672338,,
E20F152P1,2.642927486,415.0135114,0.267859573,,
E20F152P2,2.738197408,439.4633932,0.269813322,,
E20F152P3,2.623980247,413.6445019,0.267759999,,
E20A153P1,2223.491804,153.9301334,0.301838405,,
E20B153P1,4185.778381,95.08469973,0.260644283,,
E20B153P2,3431.563508,91.27119084,0.260750923,,
E20B153P3,2712.259591,125.5609393,0.263886863,,
E20C153P1,66.37450188,156.9186805,0.269001036,,
E20D153P1,4.228090882,414.7276319,0.251055238,,
E20E153P1,810.0096099,159.3605056,0.255775074,,
E20F153P1,407.7255623,105.9418026,0.258283057,,
E20F153P2,112.0314775,164.5958339,0.264546333,,
E20F153P3,240.500698,115.3753511,0.260199903,,
E20A159P1,3.078264354,411.0539358,0.239155077,,
E20B159P1,7.546676417,408.4352836,0.241815949,,
E20B159P2,14.59597258,417.9198658,0.24513876,,
E20B159P3,400.8187556,410.6764806,0.241318237,,
E20C159P1,7.481444124,406.9154229,0.243360602,,
E20D159P1,3.102726464,412.8514054,0.239513796,,
E20E159P1,2.292057405,417.572512,0.244216187,,
E20F159P1,2.343874992,428.9118491,0.243354746,,
E20F159P2,2.173955391,415.5824972,0.247387151,,
E20F159P3,2.413578854,422.101548,0.240176685,,
E20A160P1,3783.834906,187.6479556,0.236476724,,
E20B160P1,5626.190291,427.2600832,0.240412149,,
E20B160P2,1038.512291,169.4408576,0.244122124,,
E20B160P3,2557.652712,120.2925326,0.2485433,,
E20C160P1,107.386805,78.23259024,0.251959741,,
E20D160P1,903.8044494,92.58015017,0.252926318,,
E20E160P1,521.9609102,103.8706511,0.235696386,,
E20F160P1,311.0656964,100.0956105,0.235982267,,
E20F160P2,315.9231349,89.83519688,0.234215388,,
E20F160P3,369.6379826,79.82358632,0.236905074,,
E20A166P1,3.807507816,407.400921,0.272611444,,
E20B166P1,2.593384521,406.7120366,0.271211037,,
E20B166P2,2.676177564,409.5158508,0.269990844,,
E20B166P3,2.615654801,404.6388428,0.271094784,,
E20C166P1,2.462120867,403.2558016,0.270187961,,
E20D166P1,2.321425094,407.2143061,0.277018199,,
E20E166P1,2.299940824,408.9272877,0.274398256,,
E20F166P1,2.271120461,412.3460172,0.271574103,,
E20F166P2,2.251732216,413.2655098,0.26997961,,
E20F166P3,2.445614659,416.7408583,0.269845969,,
E20A167P1,564.4492448,393.4688378,0.26135171,,
E20B167P1,4307.318882,131.8002044,0.219955586,,
E20B167P2,503.8900639,250.8958957,0.25901118,,
E20B167P3,1820.407393,152.0783486,0.237041555,,
E20C167P1,52.36300752,98.59490756,0.254264502,,
E20D167P1,727.5203612,99.1647683,0.227863504,,
E20E167P1,557.1160344,117.6113435,0.250717165,,
E20F167P1,778.3571236,86.46659505,0.224307182,,
E20F167P2,715.3049813,102.9605513,0.225380708,,
E20F167P3,554.3395854,89.80573086,0.230884967,,
E20A173P1,6.950639605,461.5075854,0.293696546,,
E20A173P2,7.182696479,464.389651,0.296339678,,
E20A173P3,7.021397167,448.9677666,0.295549365,,
E20B173P1,7.031405638,460.2580202,0.294245941,,
E20B173P2,7.045138192,429.4355336,0.295827113,,
E20B173P3,6.844736016,428.3892458,0.293151687,,
E20C173P1,6.822391523,427.0206758,0.298048734,,
E20C173P3,6.823788054,454.4044747,0.29600223,,
E20D173P1,6.832167239,505.9361038,0.294866377,,
E20D173P2,6.725332629,460.5871542,0.292531336,,
E20D173P3,6.826115605,425.4337173,0.295377764,,
E20E173P1,6.836356831,460.6457472,0.290303534,,
E20E173P2,6.848692854,451.8494587,0.293254933,,
E20E173P3,6.762107942,688.3318643,0.289971223,,
E20F173P1,6.990673489,454.793964,0.292233183,,
E20F173P2,6.914097048,504.8016589,0.290951371,,
E20F173P3,6.960648076,433.4476792,0.289161235,,
E20A174P1,6876.305915,557.1664261,0.234954265,,
E20A174P2,6353.470372,558.2037649,0.235135953,,
E20A174P3,2725.670325,530.8780134,0.254591968,,
E20B174P1,3325.689102,144.0087829,0.262575024,,
E20B174P2,2588.709054,126.957922,0.269187684,,
E20B174P3,2442.180616,134.2177865,0.270343424,,
E20C174P1,1060.96204,0,0.296431096,,
E20C174P3,122.1274257,0,0.288710198,,
E20D174P1,857.9402059,96.62747959,0.269590202,,
E20D174P2,1213.226729,0,0.253755665,,
E20D174P3,1068.213759,0,0.259911429,,
E20E174P1,2299.426303,0,0.265087202,,
E20E174P2,785.9953594,0,0.290872021,,
E20E174P3,490.0330012,0,0.282169133,,
E20F174P1,3661.660905,75.35776086,0.272574798,,
E20F174P2,4209.59327,85.02842143,0.260929096,,
E20F174P3,3246.723895,0,0.25668369,,
E20A180P1,8.925805968,424.9564887,0.278272707,,
E20A180P2,7.912574212,444.8064752,0.281261911,,
E20A180P3,10.01154379,430.2595411,0.279088924,,
E20B180P1,8.356876569,415.2085586,0.277174095,,
E20B180P2,7.307275955,409.7344866,0.277011014,,
E20B180P3,8.336723125,417.9226385,0.276020123,,
E20C180P1,7.248437166,426.3759243,0.270295423,,
E20C180P2,8.724734828,434.5327424,0.261035117,,
E20C180P3,7.430744754,423.316386,0.265376199,,
E20D180P1,9.744684398,413.8335381,0.270580869,,
E20D180P2,10.46789188,414.3494685,0.277170964,,
E20D180P3,7.402715252,419.8190331,0.272865836,,
E20E180P1,7.482865729,417.4606198,0.278086216,,
E20E180P2,7.505104012,459.8841819,0.276776442,,
E20E180P3,7.483097378,422.4956172,0.278764041,,
E20F180P1,7.709649883,431.0548619,0.280476806,,
E20F180P2,7.751578312,452.6094799,0.278451319,,
E20F180P3,8.248233292,416.0409177,0.279492679,,
E20A181P1,2297.65465,754.6001594,0.236721625,,
E20A181P2,3037.198702,787.1834973,0.235739236,,
E20A181P3,1891.995943,672.1909372,0.245843989,,
E20B181P1,2258.744605,275.4001957,0.248670295,,
E20B181P2,2642.291047,241.0103765,0.244750557,,
E20B181P3,4962.9309,191.4366003,0.234531248,,
E20C181P1,1299.234286,94.73394884,0.263081911,,
E20C181P2,868.5480135,115.9464987,0.266076993,,
E20C181P3,822.1971778,142.2697596,0.268956384,,
E20D181P1,1487.589761,148.1005046,0.25647744,,
E20D181P2,1793.309857,105.0067061,0.256230905,,
E20D181P3,2806.625701,147.5196638,0.25452806,,
E20E181P1,2729.685876,108.2557721,0.256212531,,
E20E181P2,994.4078909,121.5082631,0.260906333,,
E20E181P3,1104.375272,104.8188142,0.257707483,,
E20F181P1,2416.823816,162.4532651,0.247720759,,
E20F181P2,3129.959444,89.62521046,0.243884223,,
E20F181P3,2571.806346,107.3658294,0.244928863,,
E20A187P1,10.75772645,440.6871125,0.225586895,,
E20A187P2,15.14857171,433.9758012,0.223556675,,
E20A187P3,8.349306426,573.9019219,0.225315073,,
E20B187P1,10.86110303,434.4089792,0.229648038,,
E20B187P2,7.532700789,441.4541332,0.22607548,,
E20B187P3,7.464476869,432.7453472,0.227981753,,
E20C187P1,7.574560212,449.5962874,0.226869449,,
E20C187P2,7.421461109,451.5837248,0.228955474,,
E20C187P3,7.808602949,444.4812756,0.231045437,,
E20D187P1,9.271601322,417.141504,0.21757628,,
E20D187P2,7.764199584,423.7674583,0.228055572,,
E20D187P3,7.55698388,430.4773077,0.225839904,,
E20E187P1,8.772757267,591.6472421,0.223902053,,
E20E187P2,7.362025355,423.2321972,0.226632197,,
E20E187P3,7.417529561,426.4044758,0.229524006,,
E20F187P1,7.364569298,456.2321829,0.227922316,,
E20F187P2,7.459851519,426.7515359,0.231862554,,
E20F187P3,7.811840694,433.6898398,0.229511495,,
E20A188P1,3947.027005,1374.877032,0.147346465,,
E20A188P2,3557.127069,1313.196228,0.153879863,,
E20A188P3,5772.439863,1463.743405,0.13357493,,
E20B188P1,4563.675963,465.5211464,0.181255797,,
E20B188P2,4681.208201,450.169207,0.173368056,,
E20B188P3,3132.503701,446.8193701,0.180243968,,
E20C188P1,1709.155452,79.1927053,0.193922843,,
E20C188P2,1189.800974,301.7297756,0.210276675,,
E20C188P3,1485.905739,92.02642378,0.194133897,,
E20D188P1,4715.316461,90.74316414,0.180125266,,
E20D188P2,3508.973007,101.5104862,0.181062618,,
E20D188P3,3456.142716,145.7782754,0.182854966,,
E20E188P1,1827.37363,93.89348977,0.196976247,,
E20E188P2,1893.5284,67.02349483,0.197276449,,
E20E188P3,2468.804753,66.92759635,0.190984117,,
E20F188P1,2018.307175,110.3737664,0.184263726,,
E20F188P2,2679.865742,90.50201303,0.178380401,,
E20F188P3,2199.106577,123.9165467,0.183816544,,
E20A194P1,10.74476864,435.6091623,0.274845791,,
E20A194P2,8.179069363,434.9126976,0.27426305,,
E20A194P3,8.527643392,419.9609902,0.273134547,,
E20B194P1,9.428704943,443.5976557,0.272054302,,
E20B194P2,9.025044182,413.2756488,0.27200615,,
E20B194P3,19.43134455,472.1848852,0.271217978,,
E20C194P1,11.70114838,408.9003279,0.272187908,,
E20C194P2,8.076071061,414.1990018,0.274597132,,
E20C194P3,7.661994741,402.6444383,0.271551943,,
E20D194P1,15.72710898,412.4437086,0.268204469,,
E20D194P2,8.01866976,395.5314148,0.271743657,,
E20D194P3,7.932567809,391.7805125,0.270302158,,
E20E194P1,7.76082682,399.5401318,0.27002626,,
